breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([1815.79485962,  471.83572173, 1363.13125001])]","[array([ 0.50700423,  0.10812704,  0.72499743, -2.38216968,  1.2531234 ,
       -0.0071189 ])]"
1666,movel_fit,"[array([1837.61939544,  481.64252634, 1349.98371303])]","[array([ 0.50362698,  0.12877682,  0.7094134 , -2.38855912,  1.24351499,
       -0.00794328])]"
3333,movel_fit,"[array([1858.71888223,  495.11343972, 1339.38565557])]","[array([ 0.5015258 ,  0.14866542,  0.69315255, -2.39746683,  1.23418623,
       -0.0100083 ])]"
4999,movel_fit,"[array([1879.06921672,  511.88688537, 1331.30240589])]","[array([ 0.5004961 ,  0.16773865,  0.67632592, -2.4088339 ,  1.22516623,
       -0.01334104])]"
6666,movel_fit,"[array([1898.78854313,  531.56430724, 1325.60506828])]","[array([ 0.50027795,  0.18606849,  0.65892988, -2.42260886,  1.21638505,
       -0.01795556])]"
8333,movel_fit,"[array([1918.01782069,  553.56645784, 1322.0532348 ])]","[array([ 0.50056476,  0.20374717,  0.64096737, -2.43861962,  1.20773288,
       -0.02380183])]"
9999,movel_fit,"[array([1936.91221746,  577.10677625, 1320.20653026])]","[array([ 0.50102635,  0.22090147,  0.62248363, -2.45648691,  1.19907958,
       -0.03071771])]"
11666,movel_fit,"[array([1955.5942163 ,  601.26982275, 1319.39000948])]","[array([ 0.50137878,  0.23768564,  0.60360721, -2.47557595,  1.19031776,
       -0.03839729])]"
13333,movel_fit,"[array([1973.99907871,  625.07140958, 1318.71975639])]","[array([ 0.50147805,  0.25418211,  0.58467102, -2.49491542,  1.18144597,
       -0.04634938])]"
14999,movel_fit,"[array([1991.86511402,  647.71034301, 1317.16304784])]","[array([ 0.50139309,  0.27041521,  0.56618152, -2.51331528,  1.17255584,
       -0.05394507])]"
16666,movel_fit,"[array([2008.80209593,  668.75379855, 1313.59785052])]","[array([ 0.50139812,  0.28639843,  0.54872949, -2.52955589,  1.16375292,
       -0.06051055])]"
18332,movel_fit,"[array([2024.30195964,  687.98456001, 1306.83781623])]","[array([ 0.50188058,  0.30209845,  0.53300604, -2.54241468,  1.15511933,
       -0.06535818])]"
19999,movel_fit,"[array([2037.91469949,  705.21312971, 1295.56344388])]","[array([ 0.50319834,  0.31754556,  0.51969079, -2.55070758,  1.14663853,
       -0.06781416])]"
21666,movel_fit,"[array([2049.32319036,  719.76944429, 1278.25004768])]","[array([ 0.50550166,  0.33283713,  0.50947129, -2.55311307,  1.13822101,
       -0.06714577])]"
23332,movel_fit,"[array([2058.59861884,  730.13137992, 1253.19308888])]","[array([ 0.50852203,  0.3482617 ,  0.50284066, -2.54817271,  1.1296369 ,
       -0.06256196])]"
24999,movel_fit,"[array([2066.5885732 ,  734.03754603, 1218.88978014])]","[array([ 0.51139915,  0.36446251,  0.49957268, -2.53469205,  1.12023711,
       -0.05339612])]"
26666,movel_fit,"[array([2075.29537637,  729.86555286, 1175.43568351])]","[array([ 0.51272649,  0.38239321,  0.49780555, -2.51313512,  1.10843681,
       -0.03977432])]"
28332,movel_fit,"[array([2087.57850508,  719.65535227, 1126.58544381])]","[array([ 0.51132903,  0.40279967,  0.49355664, -2.48759559,  1.09172885,
       -0.02356548])]"
29999,movel_fit,"[array([2104.65705722,  710.39175743, 1080.02519688])]","[array([ 0.50784921,  0.42489521,  0.48317077, -2.46495705,  1.06921179,
       -0.00810483])]"
31666,movel_fit,"[array([2123.58011   ,  709.56896583, 1042.96933875])]","[array([ 0.50501153,  0.44602938,  0.46740589, -2.4502205 ,  1.04432829,
        0.00376436])]"
33332,movel_fit,"[array([2139.34918861,  720.25695513, 1017.41798581])]","[array([ 0.50543539,  0.46384709,  0.45073904, -2.44438009,  1.02264004,
        0.01078764])]"
34999,movel_fit,"[array([2148.00517672,  741.98950183, 1001.76554053])]","[array([ 0.51038367,  0.4774175 ,  0.4376537 , -2.44679215,  1.00873774,
        0.01253434])]"
36665,movel_fit,"[array([2147.2394848 ,  773.74748719,  995.8044231 ])]","[array([ 0.52023877,  0.48606865,  0.43071893, -2.45737164,  1.00577731,
        0.00854302])]"
