breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-905.69394232, -201.77355477,  523.46133161])]","[array([-0.29441564, -0.51333629, -3.16127639,  0.62532831,  0.50356369,
        0.53206489])]"
1665,moveabsj,"[array([-903.12071479, -212.08246661,  525.94390283])]","[array([-0.28369601, -0.51107289, -3.15833503,  0.62243531,  0.50202114,
        0.53232619])]"
3332,moveabsj,"[array([-900.99940013, -222.44338212,  533.20813513])]","[array([-0.27242375, -0.50538063, -3.15229819,  0.61913838,  0.50265804,
        0.53309158])]"
4999,moveabsj,"[array([-899.22987013, -232.82147855,  545.28933808])]","[array([-0.26069068, -0.49630732, -3.14317332,  0.61548743,  0.50547698,
        0.53439187])]"
6665,moveabsj,"[array([-897.62301121, -243.16580608,  562.11172604])]","[array([-0.24863795, -0.48401962, -3.13105453,  0.61155356,  0.51041817,
        0.53625316])]"
8332,moveabsj,"[array([-895.90689297, -253.40989451,  583.38849963])]","[array([-0.23645044, -0.46885655, -3.11617972,  0.60743206,  0.51732049,
        0.53868583])]"
9999,moveabsj,"[array([-893.76545135, -263.44160189,  608.3929363 ])]","[array([-0.22438368, -0.45145849, -3.09907055,  0.60326   ,  0.52583818,
        0.54165729])]"
11665,moveabsj,"[array([-890.90983233, -273.15110582,  635.85398866])]","[array([-0.21269176, -0.43279134, -3.08058212,  0.59920338,  0.5353964 ,
        0.54507619])]"
13332,moveabsj,"[array([-887.17135972, -282.49793311,  664.01366102])]","[array([-0.20152705, -0.41406625, -3.06185664,  0.59543486,  0.54520663,
        0.54879682])]"
14999,moveabsj,"[array([-882.59425109, -291.52647927,  690.66969508])]","[array([-0.19090724, -0.39669631, -3.0443067 ,  0.59213473,  0.55427514,
        0.55262544])]"
16665,moveabsj,"[array([-877.45109766, -300.40951224,  713.44810874])]","[array([-0.18065991, -0.38213575, -3.02946155,  0.58948079,  0.56149342,
        0.55636103])]"
18332,moveabsj,"[array([-872.17831317, -309.44127522,  729.96636502])]","[array([-0.17044405, -0.37182192, -3.01889001,  0.58766376,  0.56569234,
        0.55983054])]"
19999,moveabsj,"[array([-867.29209068, -318.94192245,  737.69964704])]","[array([-0.15988859, -0.3673159 , -3.01430386,  0.58692962,  0.56560431,
        0.56288177])]"
21665,moveabsj,"[array([-863.21883721, -329.18810102,  733.90127652])]","[array([-0.14871397, -0.37041515, -3.01760729,  0.58760287,  0.55985181,
        0.5653879 ])]"
23332,moveabsj,"[array([-860.02354839, -340.31194198,  715.54374248])]","[array([-0.13690045, -0.38328633, -3.03092512,  0.5901036 ,  0.54694233,
        0.5672658 ])]"
24999,moveabsj,"[array([-856.9707836 , -352.1503792 ,  679.85549649])]","[array([-0.12489431, -0.40828146, -3.05625191,  0.59489888,  0.52548234,
        0.56855792])]"
26665,moveabsj,"[array([-852.04197547, -364.22980978,  626.13735631])]","[array([-0.11357527, -0.44693959, -3.09429051,  0.60226307,  0.49479678,
        0.56958963])]"
28332,moveabsj,"[array([-842.33898348, -376.01608939,  559.12678687])]","[array([-0.103733  , -0.49750235, -3.14216517,  0.61162475,  0.45628173,
        0.57089247])]"
29999,moveabsj,"[array([-826.63559502, -387.26572961,  490.90949754])]","[array([-0.09526211, -0.55213511, -3.19174274,  0.62091739,  0.41504757,
        0.57252837])]"
31665,moveabsj,"[array([-807.75711731, -397.9825858 ,  434.88058679])]","[array([-0.08716006, -0.59962289, -3.23329821,  0.62763723,  0.3786122 ,
        0.57376707])]"
33332,moveabsj,"[array([-790.8353431 , -408.11670583,  398.71533687])]","[array([-0.07840611, -0.6312267 , -3.26044152,  0.63045856,  0.35341852,
        0.57385535])]"
34999,moveabsj,"[array([-780.5556223 , -417.51503177,  385.88566817])]","[array([-0.06843949, -0.6413192 , -3.26949389,  0.62895224,  0.34407779,
        0.57238982])]"
36665,moveabsj,"[array([-779.82224106, -426.02374778,  399.49401432])]","[array([-0.05718351, -0.62576353, -3.25734472,  0.62263474,  0.35395405,
        0.56907735])]"
38332,moveabsj,"[array([-787.75701608, -434.00782831,  442.44960771])]","[array([-0.04458696, -0.58303071, -3.22186841,  0.61046473,  0.38378744,
        0.56353665])]"
39999,moveabsj,"[array([-797.96507366, -442.74797865,  514.0476183 ])]","[array([-0.03009169, -0.51732319, -3.16431776,  0.59130542,  0.42919807,
        0.55579679])]"
41665,moveabsj,"[array([-801.05246967, -453.22403409,  599.6612824 ])]","[array([-0.01371724, -0.44502618, -3.09664602,  0.5677646 ,  0.47741447,
        0.54830642])]"
43332,moveabsj,"[array([-794.89773408, -464.13851805,  671.99486556])]","[array([ 2.28497893e-03, -3.88407090e-01, -3.04032944e+00,  5.47703905e-01,
        5.13695749e-01,  5.44507204e-01])]"
44999,moveabsj,"[array([-786.0728125 , -474.06425362,  709.75576123])]","[array([ 0.01587912, -0.36042426, -3.01191703,  0.53783448,  0.53005487,
        0.54473142])]"
46665,moveabsj,"[array([-780.90439229, -482.52396959,  700.45679222])]","[array([ 0.02607209, -0.36812694, -3.02145854,  0.54235123,  0.52178641,
        0.5484704 ])]"
48332,moveabsj,"[array([-778.24577835, -489.13624357,  643.73127693])]","[array([ 0.03245049, -0.41333774, -3.06968549,  0.56173464,  0.48778263,
        0.55684774])]"
49999,moveabsj,"[array([-768.32369172, -495.94680439,  555.16638696])]","[array([ 0.03852638, -0.48879562, -3.14421839,  0.59010885,  0.43139995,
        0.57128376])]"
