primitives,points,q_bp
moveabsj,"[array([-259.16176668,  504.52363044,  562.19239245])]","[array([ 1.08454531,  0.3445924 ,  1.11205403, -0.60836755, -0.67572138,
        5.05528233])]"
moveabsj,"[array([-351.31120315,  481.21219641,  590.22444747])]","[array([ 1.30224293,  0.32350285,  0.96526112, -0.58515197, -0.64801611,
        5.04729278])]"
moveabsj,"[array([-354.94803672,  480.38806548,  592.82633592])]","[array([ 1.31140751,  0.32147221,  0.95701868, -0.58301638, -0.64726744,
        5.04694332])]"
moveabsj,"[array([-357.80055459,  480.2930955 ,  596.44693728])]","[array([ 1.31947559,  0.31850964,  0.94747219, -0.57972316, -0.64715992,
        5.04649166])]"
moveabsj,"[array([-359.8485444 ,  480.85595307,  601.1817328 ])]","[array([ 1.32628   ,  0.31434423,  0.936688  , -0.57564828, -0.64753351,
        5.04616918])]"
moveabsj,"[array([-361.13367063,  482.07920122,  606.99522097])]","[array([ 1.33191109,  0.30920009,  0.92456802, -0.5706261 , -0.64843866,
        5.04581008])]"
moveabsj,"[array([-361.72821579,  483.85292184,  613.848773  ])]","[array([ 1.33646341,  0.30314322,  0.91124899, -0.56448402, -0.64995356,
        5.04519768])]"
moveabsj,"[array([-361.6729468 ,  486.06598012,  621.72429837])]","[array([ 1.33992953,  0.29616832,  0.8967994 , -0.55737212, -0.65201317,
        5.04432995])]"
moveabsj,"[array([-361.04164578,  488.5962173 ,  630.5684578 ])]","[array([ 1.3423759 ,  0.28832928,  0.88127717, -0.54943294, -0.65452754,
        5.04319134])]"
moveabsj,"[array([-359.91856824,  491.33399708,  640.27795824])]","[array([ 1.34388353,  0.27981341,  0.86466708, -0.5409036 , -0.65739732,
        5.04179393])]"
moveabsj,"[array([-358.46505012,  494.07713212,  650.66993827])]","[array([ 1.34466192,  0.27082259,  0.84718705, -0.53186423, -0.66064473,
        5.03998386])]"
moveabsj,"[array([-356.88034015,  496.58681459,  661.56112941])]","[array([ 1.34497382,  0.26142854,  0.82914732, -0.52253719, -0.66418508,
        5.03774143])]"
moveabsj,"[array([-355.36429722,  498.68249404,  672.7026873 ])]","[array([ 1.34510258,  0.25189755,  0.81076925, -0.51321594, -0.6679599 ,
        5.03508915])]"
moveabsj,"[array([-354.1499462 ,  500.15394214,  683.79912828])]","[array([ 1.34540086,  0.24246505,  0.79246422, -0.50413038, -0.67196716,
        5.03202404])]"
moveabsj,"[array([-353.46696168,  500.87408731,  694.5612271 ])]","[array([ 1.34627873,  0.23339018,  0.77458078, -0.49552078, -0.67609383,
        5.02865292])]"
moveabsj,"[array([-353.48809875,  500.75892419,  704.69760164])]","[array([ 1.3480554 ,  0.22492981,  0.75750949, -0.48773839, -0.68021171,
        5.02520429])]"
moveabsj,"[array([-354.40178254,  499.73831817,  713.89590988])]","[array([ 1.35113706,  0.21730519,  0.74180577, -0.48088218, -0.68422309,
        5.02178015])]"
moveabsj,"[array([-356.30835226,  497.81859278,  721.8637575 ])]","[array([ 1.35578491,  0.2107652 ,  0.7279498 , -0.47522508, -0.687954  ,
        5.01864267])]"
moveabsj,"[array([-359.28268533,  495.1116881 ,  728.32012111])]","[array([ 1.36227771,  0.20567191,  0.71626135, -0.47098535, -0.69112042,
        5.01606306])]"
moveabsj,"[array([-363.39308778,  491.74144979,  732.9633167 ])]","[array([ 1.37088591,  0.20242971,  0.70707928, -0.46834786, -0.69343293,
        5.01426628])]"
moveabsj,"[array([-368.72330658,  487.75275167,  735.46974528])]","[array([ 1.38186307,  0.20134559,  0.70091058, -0.46752852, -0.69460952,
        5.01345089])]"
moveabsj,"[array([-375.42342357,  483.06395321,  735.42933791])]","[array([ 1.39554202,  0.20272998,  0.69846856, -0.46864513, -0.69451102,
        5.01363361])]"
moveabsj,"[array([-383.64240202,  477.63162219,  732.50170022])]","[array([ 1.41223801,  0.2069771 ,  0.70002464, -0.47222314, -0.69266659,
        5.01514194])]"
moveabsj,"[array([-393.67689301,  471.05234238,  726.11712877])]","[array([ 1.4324468 ,  0.21447775,  0.70643057, -0.47840206, -0.68911849,
        5.01771686])]"
moveabsj,"[array([-405.83302042,  462.91027867,  715.81226051])]","[array([ 1.45667813,  0.22577291,  0.71779206, -0.48778802, -0.68348724,
        5.02138198])]"
moveabsj,"[array([-420.44675948,  452.37879502,  701.04723908])]","[array([ 1.48544012,  0.24126447,  0.73444016, -0.50085387, -0.675646  ,
        5.02572619])]"
moveabsj,"[array([-437.68166885,  438.50196414,  681.41696168])]","[array([ 1.51903565,  0.2613751 ,  0.7562279 , -0.51790806, -0.6653931 ,
        5.03006219])]"
moveabsj,"[array([-457.23502316,  420.45404353,  656.90054394])]","[array([ 1.55717613,  0.28640494,  0.7823836 , -0.53879717, -0.65249639,
        5.03351722])]"
