primitives,points,q_bp
moveabsj,"[array([-922.50235361, -104.64266169,  500.3738394 ])]","[array([-0.39532076, -0.53359161, -3.18913027,  0.64677976,  0.51667549,
        0.53379472])]"
moveabsj,"[array([-903.1370585 , -212.07629298,  525.91295036])]","[array([-0.28369831, -0.51114513, -3.15830383,  0.62238763,  0.50205332,
        0.53237926])]"
moveabsj,"[array([-900.99757441, -222.44458728,  533.24838337])]","[array([-0.27242262, -0.50532514, -3.15227775,  0.61922057,  0.50259677,
        0.53299842])]"
moveabsj,"[array([-899.25638408, -232.80495166,  545.33362604])]","[array([-0.26070617, -0.49630766, -3.14305508,  0.61558298,  0.50537286,
        0.53427421])]"
moveabsj,"[array([-897.61365578, -243.17091004,  562.09367274])]","[array([-0.24863347, -0.4840218 , -3.13109838,  0.61151424,  0.51045814,
        0.53630056])]"
moveabsj,"[array([-895.88067554, -253.43735795,  583.33079437])]","[array([-0.23641569, -0.46886113, -3.11632096,  0.60734603,  0.51745814,
        0.53880197])]"
moveabsj,"[array([-893.70878336, -263.48928279,  608.31181983])]","[array([-0.22432651, -0.45141668, -3.09933721,  0.60313742,  0.5260531 ,
        0.54182531])]"
moveabsj,"[array([-890.85008952, -273.20562876,  635.74410129])]","[array([-0.21262312, -0.43276178, -3.08089679,  0.59904637,  0.53566791,
        0.54528777])]"
moveabsj,"[array([-887.11615947, -282.54370742,  663.95126321])]","[array([-0.20147   , -0.41399548, -3.06210971,  0.59535859,  0.54538779,
        0.54890792])]"
moveabsj,"[array([-882.58367203, -291.55884838,  690.56916931])]","[array([-0.19085691, -0.39674802, -3.04447379,  0.59201681,  0.55448354,
        0.5527816 ])]"
moveabsj,"[array([-877.4892364 , -300.41028726,  713.34191581])]","[array([-0.18064701, -0.38229793, -3.02948615,  0.58933564,  0.56165559,
        0.55653658])]"
moveabsj,"[array([-872.25228343, -309.41317936,  729.91789514])]","[array([-0.17046973, -0.37202161, -3.01872772,  0.58759216,  0.56570967,
        0.55990785])]"
moveabsj,"[array([-867.36943498, -318.89099382,  737.85187746])]","[array([-0.15995304, -0.36738317, -3.01385573,  0.58716462,  0.56525254,
        0.56258531])]"
moveabsj,"[array([-863.34487906, -329.12944582,  733.96661995])]","[array([-0.1487807 , -0.37064742, -3.01713382,  0.58771406,  0.5596152 ,
        0.56523749])]"
moveabsj,"[array([-860.08601221, -340.28913612,  715.59186655])]","[array([-0.13692427, -0.38338345, -3.03067576,  0.59020504,  0.54680308,
        0.56713953])]"
moveabsj,"[array([-856.82424352, -352.23041461,  680.03785401])]","[array([-0.12479101, -0.40779981, -3.05650011,  0.5952973 ,  0.52534393,
        0.56813526])]"
moveabsj,"[array([-851.6523823 , -364.39447275,  626.26453764])]","[array([-0.11337362, -0.44600636, -3.09535739,  0.60248483,  0.49501216,
        0.5694268 ])]"
moveabsj,"[array([-841.79786016, -376.23434406,  559.24072735])]","[array([-0.10345974, -0.49631598, -3.14372225,  0.61172203,  0.45672306,
        0.57092958])]"
moveabsj,"[array([-826.2679431 , -387.47330664,  491.17245787])]","[array([-0.09496737, -0.55108721, -3.19274194,  0.62159682,  0.41514934,
        0.57196835])]"
moveabsj,"[array([-807.71135932, -398.06719524,  435.12943503])]","[array([-0.08702001, -0.59913876, -3.23338796,  0.62852885,  0.37835649,
        0.57290361])]"
moveabsj,"[array([-790.99482081, -408.08937606,  398.89028469])]","[array([-0.07843218, -0.63117337, -3.25996121,  0.6312528 ,  0.35297634,
        0.57298992])]"
moveabsj,"[array([-780.78179278, -417.45936318,  385.57769816])]","[array([-0.06851065, -0.64219566, -3.26886483,  0.62838148,  0.34424783,
        0.57294355])]"
moveabsj,"[array([-779.93055063, -425.97996728,  399.53424127])]","[array([-0.05724971, -0.62586509, -3.25702333,  0.62282975,  0.35374701,
        0.56882179])]"
moveabsj,"[array([-787.32329787, -434.12166252,  442.4779571 ])]","[array([-0.044423  , -0.58226409, -3.22312262,  0.61013612,  0.38426104,
        0.56399999])]"
moveabsj,"[array([-796.95674799, -443.009017  ,  514.17831131])]","[array([-0.02969805, -0.51530933, -3.1671936 ,  0.5910711 ,  0.43010187,
        0.55627733])]"
moveabsj,"[array([-800.17505948, -453.63479971,  599.48525376])]","[array([-0.01304263, -0.443475  , -3.0993872 ,  0.56780342,  0.4787518 ,
        0.54855905])]"
moveabsj,"[array([-794.7037441 , -464.21796066,  671.96673805])]","[array([ 2.42035599e-03, -3.88028653e-01, -3.04092732e+00,  5.47736171e-01,
        5.13950700e-01,  5.44514192e-01])]"
moveabsj,"[array([-786.36672168, -473.9640903 ,  710.07609408])]","[array([ 0.01570078, -0.36081612, -3.01063512,  0.53831826,  0.52920161,
        0.54412366])]"
moveabsj,"[array([-781.20132403, -482.47482063,  700.47880458])]","[array([ 0.02597543, -0.36873254, -3.02057248,  0.54243977,  0.52149784,
        0.54834092])]"
moveabsj,"[array([-777.35431323, -489.26661657,  643.81430187])]","[array([ 0.03272039, -0.4114639 , -3.07217621,  0.56161166,  0.48844017,
        0.55708938])]"
moveabsj,"[array([-746.25098721, -504.59922744,  460.4688639 ])]","[array([ 0.04992334, -0.57536981, -3.2293531 ,  0.63261085,  0.36895654,
        0.57999135])]"
