primitives,p_bp,q_bp
moveabsj,"[array([-261.33441447,  499.28992727,  578.53079999])]","[array([ 1.07779477,  0.2543705 ,  1.1305949 , -0.70198091, -0.59786899,
        5.15413912])]"
moveabsj,"[array([-353.76622685,  480.6836103 ,  616.88851197])]","[array([ 1.30838133,  0.24376302,  0.9564002 , -0.6513977 , -0.58055473,
        5.12953931])]"
moveabsj,"[array([-358.4940195 ,  480.52440003,  622.96264418])]","[array([ 1.3217366 ,  0.24091582,  0.93970996, -0.64433988, -0.58117396,
        5.12676909])]"
moveabsj,"[array([-361.07169887,  482.14535317,  632.06456042])]","[array([ 1.33177406,  0.23542555,  0.91934239, -0.63410316, -0.58332771,
        5.12336518])]"
moveabsj,"[array([-361.70188809,  485.33296819,  644.05893974])]","[array([ 1.3387541 ,  0.22783175,  0.89526941, -0.62038735, -0.58708015,
        5.11878764])]"
moveabsj,"[array([-360.68536432,  489.49423299,  658.74856911])]","[array([ 1.34288892,  0.21819399,  0.86797692, -0.60367631, -0.59228953,
        5.1128797 ])]"
moveabsj,"[array([-358.46598142,  494.00333237,  675.69948343])]","[array([ 1.34461785,  0.20694066,  0.83775292, -0.5853006 , -0.5984532 ,
        5.1060056 ])]"
moveabsj,"[array([-355.9022805 ,  497.90042942,  693.95463891])]","[array([ 1.345115  ,  0.19483598,  0.80582567, -0.56602507, -0.60548576,
        5.09784209])]"
moveabsj,"[array([-353.87267491,  500.39089584,  712.44490353])]","[array([ 1.34560607,  0.18273925,  0.7733033 , -0.54786559, -0.61290404,
        5.08921015])]"
moveabsj,"[array([-353.47577455,  500.76824619,  729.72023775])]","[array([ 1.34802953,  0.17169998,  0.74231695, -0.53168187, -0.6204742 ,
        5.08036209])]"
moveabsj,"[array([-355.50979897,  498.65058301,  744.39683213])]","[array([ 1.35397873,  0.16245191,  0.71537646, -0.51875011, -0.62759842,
        5.07232692])]"
moveabsj,"[array([-360.46094068,  494.24497077,  755.14900893])]","[array([ 1.36484301,  0.15616354,  0.69454168, -0.51016799, -0.63326468,
        5.06634139])]"
moveabsj,"[array([-368.69958674,  487.90056532,  760.49480812])]","[array([ 1.38187418,  0.15424626,  0.68210225, -0.50683688, -0.63635066,
        5.06340772])]"
moveabsj,"[array([-380.67305542,  479.62469265,  758.92254342])]","[array([ 1.40623371,  0.15782772,  0.68047837, -0.51051669, -0.63533697,
        5.06493132])]"
moveabsj,"[array([-397.4138459 ,  468.56310714,  748.30624726])]","[array([ 1.43990395,  0.16868299,  0.69231858, -0.52269686, -0.6292613 ,
        5.07119549])]"
moveabsj,"[array([-420.33545569,  452.17997704,  726.25673956])]","[array([ 1.485116  ,  0.18846931,  0.71982668, -0.54600273, -0.61733774,
        5.08193155])]"
moveabsj,"[array([-450.26757457,  426.65705407,  691.10080076])]","[array([ 1.54337421,  0.21882065,  0.76223771, -0.5831505 , -0.59812378,
        5.09573055])]"
moveabsj,"[array([-484.77034022,  389.38841218,  643.93905477])]","[array([ 1.61212253,  0.26083807,  0.8147089 , -0.63172573, -0.57120082,
        5.10871154])]"
moveabsj,"[array([-516.84838064,  344.34300299,  592.32878345])]","[array([ 1.68187341,  0.31182951,  0.86653077, -0.68167651, -0.53933906,
        5.11781995])]"
moveabsj,"[array([-540.44031793,  301.20016045,  548.05263919])]","[array([ 1.74124714,  0.36082464,  0.90638253, -0.72392973, -0.50825415,
        5.12483897])]"
moveabsj,"[array([-554.82896208,  268.79019771,  519.11507038])]","[array([ 1.78393288,  0.39630219,  0.92798889, -0.75314497, -0.48548786,
        5.12997545])]"
moveabsj,"[array([-562.21319132,  252.05187362,  509.16700765])]","[array([ 1.80887533,  0.41100073,  0.92994826, -0.75982712, -0.47918179,
        5.12621019])]"
moveabsj,"[array([-562.97991007,  255.92510744,  523.50248858])]","[array([ 1.81106133,  0.39489232,  0.907405  , -0.75177347, -0.48934189,
        5.12205757])]"
moveabsj,"[array([-555.93699273,  281.13924741,  563.71878811])]","[array([ 1.78882774,  0.35183963,  0.85628996, -0.7208645 , -0.51839121,
        5.11257669])]"
moveabsj,"[array([-537.60590039,  318.84178409,  628.5609648 ])]","[array([ 1.74244502,  0.28631311,  0.77911899, -0.67213213, -0.55982463,
        5.10061415])]"
moveabsj,"[array([-513.21984096,  349.52185693,  700.13247302])]","[array([ 1.68970621,  0.22114393,  0.68761045, -0.61660712, -0.60269755,
        5.08231528])]"
moveabsj,"[array([-495.69666375,  358.74893208,  754.0624935 ])]","[array([ 1.65536958,  0.17473193,  0.60937536, -0.57709076, -0.63804926,
        5.06273541])]"
moveabsj,"[array([-491.48090579,  353.16406802,  779.81168708])]","[array([ 1.65079938,  0.15344991,  0.56745843, -0.55994808, -0.65824391,
        5.05187073])]"
moveabsj,"[array([-500.12127174,  341.85307403,  773.54328338])]","[array([ 1.67485151,  0.15956508,  0.5772493 , -0.56808585, -0.65609172,
        5.05716243])]"
moveabsj,"[array([-522.65908792,  321.81105841,  733.32407941])]","[array([ 1.72996781,  0.19659427,  0.6353467 , -0.60652719, -0.62910936,
        5.079383  ])]"
moveabsj,"[array([-585.63888747,  212.0898953 ,  584.43300649])]","[array([ 1.9163283 ,  0.34624655,  0.81975055, -0.72354845, -0.54366013,
        5.11890108])]"
