primitives,p_bp,q_bp
moveabsj,"[array([1687.35463118, -798.48404508, 1281.73943879])]","[array([-0.80964222,  0.21922556,  0.48224948,  1.70754864,  1.47178121,
        2.30456246])]"
moveabsj,"[array([1730.32851328, -519.50794187, 1291.70751492])]","[array([-0.67073563,  0.16023781,  0.55390901,  1.72692945,  1.47716752,
        2.29478564])]"
moveabsj,"[array([1731.35550251, -503.04443258, 1293.75395389])]","[array([-0.6625406 ,  0.15649781,  0.55781534,  1.72877118,  1.47840362,
        2.29333644])]"
moveabsj,"[array([1731.96594705, -486.76774057, 1297.34080507])]","[array([-0.65449874,  0.15237494,  0.5615487 ,  1.73136484,  1.48047478,
        2.29098701])]"
moveabsj,"[array([1732.19696145, -470.68024755, 1302.40382417])]","[array([-0.64658961,  0.14791467,  0.56509781,  1.73471202,  1.48335376,
        2.28773698])]"
moveabsj,"[array([1732.08785786, -454.7468918 , 1308.9056652 ])]","[array([-0.63877225,  0.14315434,  0.56844651,  1.73882458,  1.48702417,
        2.28359169])]"
moveabsj,"[array([1731.69440551, -438.9445286 , 1316.79950837])]","[array([-0.63100704,  0.13814109,  0.57153585,  1.74366357,  1.49143464,
        2.27863513])]"
moveabsj,"[array([1731.00698452, -423.21770134, 1325.95783358])]","[array([-0.62325213,  0.13290309,  0.57445802,  1.74928403,  1.49656389,
        2.27279293])]"
moveabsj,"[array([1730.11307101, -407.52707688, 1336.25792302])]","[array([-0.61544833,  0.12754887,  0.57713385,  1.75561823,  1.50235238,
        2.2661604 ])]"
moveabsj,"[array([1729.06437792, -391.80640224, 1347.5563103 ])]","[array([-0.60754226,  0.12207997,  0.57950473,  1.76248097,  1.50859972,
        2.25904346])]"
moveabsj,"[array([1727.88245407, -376.00328944, 1359.54761057])]","[array([-0.59948504,  0.11665345,  0.58168041,  1.76990642,  1.51532222,
        2.25129758])]"
moveabsj,"[array([1726.61357795, -360.06625969, 1371.95274121])]","[array([-0.59123873,  0.11132589,  0.58365502,  1.77768746,  1.52233225,
        2.24318634])]"
moveabsj,"[array([1725.27723335, -343.95943743, 1384.42279702])]","[array([-0.58278594,  0.106176  ,  0.58549076,  1.78564231,  1.52948574,
        2.2348839 ])]"
moveabsj,"[array([1723.91063823, -327.65136747, 1396.58388512])]","[array([-0.5741203 ,  0.1012569 ,  0.58721896,  1.7934897 ,  1.53655795,
        2.22670001])]"
moveabsj,"[array([1722.47809788, -311.1666712 , 1408.0429878 ])]","[array([-0.56528791,  0.09660937,  0.58898304,  1.80103342,  1.54341864,
        2.21879233])]"
moveabsj,"[array([1720.9529002 , -294.55033598, 1418.40458911])]","[array([-0.55635446,  0.09224755,  0.59090766,  1.80801443,  1.54988649,
        2.21140119])]"
moveabsj,"[array([1719.2746808 , -277.86173648, 1427.31726415])]","[array([-0.54740787,  0.08813994,  0.59314836,  1.81419373,  1.55580037,
        2.20475197])]"
moveabsj,"[array([1717.36792208, -261.177217  , 1434.46047369])]","[array([-0.53855543,  0.08421514,  0.59586518,  1.81931965,  1.56098207,
        2.19910021])]"
moveabsj,"[array([1715.15877626, -244.61419884, 1439.56766082])]","[array([-0.52992922,  0.08039758,  0.59918429,  1.8231423 ,  1.56527067,
        2.19471698])]"
moveabsj,"[array([1712.51520426, -228.28459763, 1442.36480447])]","[array([-0.52168005,  0.07649339,  0.60330824,  1.82538246,  1.5684026 ,
        2.19196747])]"
moveabsj,"[array([1709.33337197, -212.33786655, 1442.48768865])]","[array([-0.51393651,  0.07256919,  0.60850481,  1.82602196,  1.57045525,
        2.19068834])]"
moveabsj,"[array([1705.55464449, -196.84921109, 1439.73607094])]","[array([-0.50682977,  0.06836885,  0.61478615,  1.82457139,  1.57095406,
        2.19165256])]"
moveabsj,"[array([1701.11086865, -181.94329246, 1433.6139621 ])]","[array([-0.50047273,  0.06395788,  0.62238412,  1.8208638 ,  1.56979432,
        2.19492197])]"
moveabsj,"[array([1696.03432242, -167.64921301, 1423.74987434])]","[array([-0.49490972,  0.05926667,  0.63130893,  1.81451553,  1.56651822,
        2.20112525])]"
moveabsj,"[array([1690.37666898, -153.9448533 , 1409.61144124])]","[array([-0.49011232,  0.05438642,  0.641638  ,  1.80527526,  1.56076078,
        2.21063865])]"
moveabsj,"[array([1684.42797961, -140.58354235, 1390.60608117])]","[array([-0.48580279,  0.04993533,  0.65322445,  1.7931231 ,  1.55252692,
        2.22326772])]"
moveabsj,"[array([1678.48963622, -127.22184804, 1366.60936011])]","[array([-0.48163435,  0.04587916,  0.6656168 ,  1.77766029,  1.54089958,
        2.24013834])]"
moveabsj,"[array([1673.00384962, -113.33234081, 1337.89835138])]","[array([-0.47697262,  0.04272899,  0.67824489,  1.75934436,  1.52585148,
        2.26101479])]"
moveabsj,"[array([1668.52244647,  -98.35844302, 1305.64782042])]","[array([-0.47107032,  0.04097882,  0.69021005,  1.73914113,  1.50775739,
        2.28516469])]"
moveabsj,"[array([1665.2311572 ,  -82.0731384 , 1272.18188411])]","[array([-0.4634928 ,  0.04068176,  0.70078622,  1.71869801,  1.4878515 ,
        2.31097214])]"
moveabsj,"[array([1663.0600741 ,  -64.53679165, 1240.17880667])]","[array([-0.4541957 ,  0.04160127,  0.70954673,  1.69977698,  1.46790174,
        2.33617568])]"
moveabsj,"[array([1661.4622777 ,  -46.20818168, 1212.11115797])]","[array([-0.4437167 ,  0.04314998,  0.71662824,  1.68383354,  1.45004912,
        2.35833016])]"
moveabsj,"[array([1659.5527055 ,  -27.82619725, 1189.78599337])]","[array([-0.43297301,  0.04410171,  0.72254676,  1.67132695,  1.43562686,
        2.37636178])]"
moveabsj,"[array([1656.46103794,  -10.07564541, 1173.94711088])]","[array([-0.42285466,  0.04338776,  0.72791153,  1.66191122,  1.42534387,
        2.39005982])]"
moveabsj,"[array([1651.45745876,    6.48706643, 1164.64392887])]","[array([-0.41406133,  0.04033886,  0.73356234,  1.65549615,  1.41971904,
        2.39887409])]"
moveabsj,"[array([1644.19809776,   21.34829918, 1162.34201721])]","[array([-0.40714894,  0.0346943 ,  0.73977019,  1.65220167,  1.41960382,
        2.40220592])]"
moveabsj,"[array([1634.48599599,   33.99797048, 1166.86882393])]","[array([-0.402552  ,  0.02704322,  0.74751556,  1.65365335,  1.42641198,
        2.39692536])]"
moveabsj,"[array([1622.67940968,   44.17870246, 1179.26736577])]","[array([-0.40024844,  0.01658184,  0.75584312,  1.65913142,  1.43922014,
        2.38504429])]"
moveabsj,"[array([1609.34505104,   52.28035306, 1201.0835152 ])]","[array([-0.39967445,  0.00324983,  0.76393731,  1.66966182,  1.45827374,
        2.36638313])]"
moveabsj,"[array([1595.72598653,   58.92963742, 1232.19160992])]","[array([-0.39968808, -0.01098325,  0.77127918,  1.6875591 ,  1.48412967,
        2.33824031])]"
moveabsj,"[array([1583.39028018,   65.64404054, 1271.82162476])]","[array([-0.39828257, -0.02530408,  0.77598681,  1.71213619,  1.51390268,
        2.30411552])]"
moveabsj,"[array([1573.84112961,   73.81550233, 1315.66758499])]","[array([-0.39372698, -0.03780187,  0.77715709,  1.74133383,  1.54362735,
        2.26803248])]"
moveabsj,"[array([1567.4212565 ,   84.26687562, 1357.25012513])]","[array([-0.38568299, -0.04746503,  0.77528175,  1.7704744 ,  1.56884432,
        2.23567642])]"
moveabsj,"[array([1562.93013381,   96.80758679, 1390.83718878])]","[array([-0.3754377 , -0.05417856,  0.77261002,  1.79525738,  1.5879401 ,
        2.20996632])]"
moveabsj,"[array([1558.29577732,  110.65284203, 1413.66484664])]","[array([-0.36493022, -0.05944215,  0.77164055,  1.81263867,  1.60096881,
        2.19250442])]"
moveabsj,"[array([1551.53183176,  124.48950825, 1424.2894501 ])]","[array([-0.35600835, -0.06442485,  0.77502815,  1.82173404,  1.60937587,
        2.18231378])]"
moveabsj,"[array([1541.54975711,  137.15061735, 1422.23789819])]","[array([-0.35029133, -0.07109012,  0.78346868,  1.82022219,  1.61209771,
        2.18229385])]"
moveabsj,"[array([1528.68385596,  147.96416934, 1406.72295625])]","[array([-0.34831131, -0.0794915 ,  0.79689405,  1.80735458,  1.6081405 ,
        2.19370618])]"
moveabsj,"[array([1514.56738666,  157.42304162, 1377.227308  ])]","[array([-0.34893599, -0.08735973,  0.81422294,  1.78442185,  1.59742542,
        2.21536892])]"
moveabsj,"[array([1501.50687066,  167.33999865, 1333.98979637])]","[array([-0.34976307, -0.09375385,  0.83278709,  1.7516712 ,  1.57624865,
        2.25014073])]"
moveabsj,"[array([1468.86040844,  202.79177705, 1190.59831897])]","[array([-0.33923781, -0.11082319,  0.87618205,  1.64136869,  1.47887994,
        2.39417861])]"
