breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 460.20907862, -507.11253554,  787.46360022])]","[array([-0.74180795, -0.44613892, -0.601642  , -1.53847006, -0.64365039,
       -1.08773063])]"
999,movel_fit,"[array([ 459.92114049, -486.58544676,  787.42298958])]","[array([-0.72077102, -0.47214077, -0.61689182, -1.52762913, -0.64310527,
       -1.10603999])]"
1999,movel_fit,"[array([ 459.39646151, -466.03945538,  787.41472379])]","[array([-0.70075131, -0.49999309, -0.6329985 , -1.52323858, -0.64444749,
       -1.11982437])]"
2999,movel_fit,"[array([ 458.63477632, -445.49814822,  787.43384143])]","[array([-0.68166505, -0.52978474, -0.65000358, -1.5253409 , -0.64714829,
       -1.12883997])]"
3999,movel_fit,"[array([ 457.63596262, -424.96764555,  787.47193497])]","[array([-0.66342364, -0.56162435, -0.66797189, -1.53382593, -0.6508512 ,
       -1.13298833])]"
4999,movel_fit,"[array([ 456.40049686, -404.45010802,  787.51725336])]","[array([-0.64595058, -0.59561816, -0.68697423, -1.54845337, -0.65540481,
       -1.13228844])]"
5999,movel_fit,"[array([ 454.93034942, -383.94783201,  787.55485144])]","[array([-0.62917868, -0.63185136, -0.70707343, -1.56883952, -0.66085661,
       -1.12688273])]"
6999,movel_fit,"[array([ 453.23003743, -363.46327533,  787.56694589])]","[array([-0.61303443, -0.6703692 , -0.72831055, -1.59442222, -0.66741358,
       -1.11706388])]"
7999,movel_fit,"[array([ 451.30785563, -342.99852828,  787.53359698])]","[array([-0.59741271, -0.71115429, -0.7506881 , -1.6244189 , -0.67537051,
       -1.10330669])]"
8999,movel_fit,"[array([ 449.17721704, -322.55411565,  787.43382163])]","[array([-0.58214272, -0.75410248, -0.77415106, -1.65779871, -0.6850129 ,
       -1.08628486])]"
9999,movel_fit,"[array([ 446.85850516, -302.13108665,  787.24725545])]","[array([-0.56695285, -0.79899177, -0.79856277, -1.69328154, -0.6965132 ,
       -1.06685771])]"
10999,movel_fit,"[array([ 444.3806361 , -281.72878601,  786.95640309])]","[array([-0.55143844, -0.84546372, -0.82368825, -1.72938443, -0.70985632,
       -1.04601361])]"
