breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([303.324433  , -18.8479778 , 777.22646361])]","[array([-0.64719776, -0.75829402, -0.2955223 , -0.178693  , -1.92415257,
       -1.26204177])]"
1666,movel_fit,"[array([334.18233904, -33.64763352, 778.18967477])]","[array([-0.61739704, -0.72702814, -0.2890197 , -0.17242864, -1.8770307 ,
       -1.25268096])]"
3333,movel_fit,"[array([365.28019222, -47.97056145, 779.54670702])]","[array([-0.57055833, -0.69987677, -0.27955557, -0.15344839, -1.8245545 ,
       -1.23891143])]"
4999,movel_fit,"[array([396.57236905, -61.77372903, 781.26186871])]","[array([-0.50941746, -0.67563112, -0.26844517, -0.12084955, -1.76866885,
       -1.22101597])]"
6666,movel_fit,"[array([428.09778386, -75.04634002, 783.27750716])]","[array([-0.43686567, -0.65277421, -0.25690473, -0.07452901, -1.7115743 ,
       -1.19876429])]"
8333,movel_fit,"[array([459.83886316, -87.760236  , 785.5047862 ])]","[array([-0.35721756, -0.62940029, -0.24572161, -0.01608662, -1.65615034,
       -1.17187041])]"
9999,movel_fit,"[array([491.76932966, -99.91472641, 787.82751006])]","[array([-0.27639969, -0.60330152, -0.23487476,  0.05070424, -1.60548001,
       -1.14049289])]"
11666,movel_fit,"[array([ 523.90400664, -111.58454776,  790.11567958])]","[array([-0.20098498, -0.57244536, -0.22346332,  0.12040616, -1.56188248,
       -1.10572185])]"
13333,movel_fit,"[array([ 556.17416007, -122.91118858,  792.23540977])]","[array([-0.13703639, -0.53577424, -0.21014315,  0.18688074, -1.52624562,
       -1.06986724])]"
14999,movel_fit,"[array([ 588.46647179, -134.16085299,  794.07912229])]","[array([-0.08889069, -0.49357108, -0.19365749,  0.24464347, -1.49774776,
       -1.03597044])]"
16666,movel_fit,"[array([ 620.66888796, -145.77325168,  795.59384164])]","[array([-0.05907064, -0.44713872, -0.1730506 ,  0.28940796, -1.47442397,
       -1.00702485])]"
18332,movel_fit,"[array([ 652.51160737, -158.30943108,  796.78187181])]","[array([-0.04925595, -0.39833464, -0.14763142,  0.31735817, -1.45420457,
       -0.9856622 ])]"
19999,movel_fit,"[array([ 683.69927445, -172.43616693,  797.67690311])]","[array([-0.06118197, -0.34863745, -0.11663576,  0.32425158, -1.43563665,
       -0.97396868])]"
21666,movel_fit,"[array([ 713.82787603, -188.71310388,  798.25171513])]","[array([-0.09758615, -0.29858346, -0.07913104,  0.30396267, -1.41874   ,
       -0.97356768])]"
23332,movel_fit,"[array([ 742.54483218, -207.35012976,  798.29658444])]","[array([-0.16251225, -0.24683931, -0.03410057,  0.24753292, -1.40602457,
       -0.98494212])]"
24999,movel_fit,"[array([ 769.81363372, -228.06532316,  797.34822208])]","[array([-0.26059968, -0.18929011,  0.01856034,  0.14363282, -1.40367726,
       -1.00558516])]"
26666,movel_fit,"[array([ 795.95441552, -250.05914744,  794.78343177])]","[array([-0.39186102, -0.12000913,  0.07408858, -0.01464328, -1.42066011,
       -1.02773225])]"
28332,movel_fit,"[array([ 821.60852979, -272.25035089,  790.11818729])]","[array([-0.53988754, -0.03569422,  0.1190407 , -0.2130243 , -1.46063553,
       -1.0410618 ])]"
29999,movel_fit,"[array([ 847.5521049 , -293.59268365,  783.43752981])]","[array([-0.66981131,  0.05907872,  0.14235651, -0.40943236, -1.51221781,
       -1.04100239])]"
31666,movel_fit,"[array([ 874.48560572, -313.35169209,  775.82255366])]","[array([-0.75563016,  0.15242447,  0.15303904, -0.56370965, -1.55602234,
       -1.02909969])]"
33332,movel_fit,"[array([ 902.96123289, -331.2721685 ,  769.54045444])]","[array([-0.79713307,  0.23126164,  0.17056882, -0.66181499, -1.57858015,
       -1.00823456])]"
34999,movel_fit,"[array([ 933.14194508, -347.26014277,  767.67467556])]","[array([-0.80339347,  0.28531057,  0.2084456 , -0.70168033, -1.57287724,
       -0.98040631])]"
36665,movel_fit,"[array([ 964.25591106, -360.6465525 ,  772.25117666])]","[array([-0.77697089,  0.30866587,  0.27077628, -0.67494995, -1.5352327 ,
       -0.94428375])]"
38332,movel_fit,"[array([ 995.61558134, -370.48726765,  781.8230812 ])]","[array([-0.71029198,  0.30571093,  0.35205245, -0.56594385, -1.46803416,
       -0.89152802])]"
39999,movel_fit,"[array([1027.5586822 , -376.4452375 ,  792.64743992])]","[array([-0.59537483,  0.29460221,  0.43606269, -0.36952051, -1.38663744,
       -0.80704473])]"
41665,movel_fit,"[array([1060.52471874, -379.40922073,  801.35586704])]","[array([-0.45789651,  0.30295421,  0.50769375, -0.13866788, -1.32422937,
       -0.68520014])]"
43332,movel_fit,"[array([1094.27110356, -382.20073378,  806.47089086])]","[array([-0.353508  ,  0.34649469,  0.58225164,  0.03245922, -1.30489922,
       -0.55315149])]"
44999,movel_fit,"[array([1127.48941782, -389.94111756,  808.61893526])]","[array([-0.31210624,  0.41687905,  0.68036998,  0.09748048, -1.31863521,
       -0.45292107])]"
46665,movel_fit,"[array([1156.77488359, -407.34615074,  808.96093554])]","[array([-0.34403693,  0.49506984,  0.79359359,  0.03915681, -1.34363919,
       -0.4108074 ])]"
48332,movel_fit,"[array([1180.33819984, -432.01807025,  806.57416355])]","[array([-0.44541111,  0.56737426,  0.88276056, -0.14758713, -1.36590934,
       -0.43406292])]"
49999,movel_fit,"[array([1201.39077362, -458.06271112,  799.4779547 ])]","[array([-0.58386375,  0.6403379 ,  0.91116868, -0.42725228, -1.38729772,
       -0.51172937])]"
