breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 706.95849094, -468.17898751,  472.76400327])]","[array([-1.22251961,  0.91794614,  0.70633827,  0.16797474,  1.16598595,
       -4.69807569])]"
999,movel_fit,"[array([ 709.59726174, -467.0023922 ,  467.68855177])]","[array([-1.21791898,  0.92101956,  0.70601134,  0.17114264,  1.16471924,
       -4.69324115])]"
1999,movel_fit,"[array([ 712.39664941, -465.09468813,  463.73401282])]","[array([-1.21274487,  0.92312415,  0.70650567,  0.17423069,  1.16423426,
       -4.68886239])]"
2999,movel_fit,"[array([ 715.35943203, -462.45152393,  460.92477713])]","[array([-1.20699103,  0.92423732,  0.70782728,  0.17726901,  1.16455979,
       -4.68496543])]"
3999,movel_fit,"[array([ 718.48358886, -459.07274251,  459.27097786])]","[array([-1.20065586,  0.92434683,  0.70997838,  0.18028449,  1.16571647,
       -4.68156192])]"
4999,movel_fit,"[array([ 721.76086677, -454.96296297,  458.76840641])]","[array([-1.19374477,  0.92345267,  0.71295499,  0.18329789,  1.1677146 ,
       -4.67865248])]"
5999,movel_fit,"[array([ 725.17649636, -450.13320774,  459.39296163])]","[array([-1.18627159,  0.92157317,  0.71674177,  0.186323  ,  1.17054929,
       -4.67622732])]"
6999,movel_fit,"[array([ 728.70955719, -444.60307743,  461.09343545])]","[array([-1.17825938,  0.91875251,  0.72130603,  0.18936633,  1.17419494,
       -4.6742662 ])]"
7999,movel_fit,"[array([ 732.33366348, -438.40363671,  463.7844818 ])]","[array([-1.16974173,  0.91506825,  0.72659139,  0.1924272 ,  1.17859984,
       -4.67273874])]"
8999,movel_fit,"[array([ 736.01814237, -431.58068365,  467.34111821])]","[array([-1.16076388,  0.91063737,  0.7325122 ,  0.19549818,  1.18368207,
       -4.67160549])]"
9999,movel_fit,"[array([ 739.72910723, -424.19931018,  471.59526948])]","[array([-1.15138546,  0.90562053,  0.73894851,  0.19856546,  1.18932623,
       -4.67081966])]"
10999,movel_fit,"[array([ 743.43185307, -416.34654415,  476.33665948])]","[array([-1.14168073,  0.90022171,  0.74574485,  0.20161041,  1.19538384,
       -4.67032921])]"
11999,movel_fit,"[array([ 747.09374372, -408.13213872,  481.31827149])]","[array([-1.1317376 ,  0.89468321,  0.75271252,  0.20461141,  1.20167685,
       -4.67007933])]"
12999,movel_fit,"[array([ 750.6861623 , -399.68955942,  486.26388061])]","[array([-1.12165823,  0.88927867,  0.75963312,  0.20754501,  1.20800159,
       -4.67001506])]"
13999,movel_fit,"[array([ 754.18772943, -391.17116109,  490.87950951])]","[array([-1.11155412,  0.88430172,  0.76626707,  0.21038793,  1.21413672,
       -4.67008321])]"
14999,movel_fit,"[array([ 757.5851654 , -382.74502027,  494.86232396])]","[array([-1.10154492,  0.88005734,  0.77235984,  0.21311713,  1.21984815,
       -4.67023367])]"
15999,movel_fit,"[array([ 760.8752577 , -374.58528579,  497.90930562])]","[array([-1.09175059,  0.87685328,  0.77765074,  0.2157106 ,  1.22489591,
       -4.6704199 ])]"
16999,movel_fit,"[array([ 764.06233726, -366.87034875,  499.71728291])]","[array([-1.08229363,  0.87500044,  0.78187286,  0.21814457,  1.22903251,
       -4.67059852])]"
17999,movel_fit,"[array([ 767.15636061, -359.77664376,  499.98057768])]","[array([-1.0732967 ,  0.8748155 ,  0.78475312,  0.22039112,  1.23200125,
       -4.67072865])]"
18999,movel_fit,"[array([ 770.16839991, -353.47537834,  498.38360319])]","[array([-1.06488468,  0.87662879,  0.78600716,  0.22241369,  1.23352971,
       -4.67077155])]"
19999,movel_fit,"[array([ 773.1029292 , -348.13028421,  494.59552769])]","[array([-1.05719105,  0.88078992,  0.78533438,  0.22416061,  1.23332263,
       -4.67069135])]"
20999,movel_fit,"[array([ 775.955767  , -343.87708804,  488.25896219])]","[array([-1.05034294,  0.88768094,  0.78241386,  0.22556175,  1.23105596,
       -4.67045797])]"
21999,movel_fit,"[array([ 778.70159945, -340.81263291,  478.99152221])]","[array([-1.04446616,  0.89771741,  0.7769028 ,  0.22651808,  1.22637068,
       -4.67005358])]"
22999,movel_fit,"[array([ 781.28746239, -338.95451908,  466.40305792])]","[array([-1.03966123,  0.91133715,  0.76845233,  0.22689562,  1.21888127,
       -4.66948559])]"
23999,movel_fit,"[array([ 783.63322986, -338.17616182,  450.11699412])]","[array([-1.03595348,  0.92899128,  0.75672742,  0.22652316,  1.20818495,
       -4.66880859])]"
24999,movel_fit,"[array([ 785.63696845, -338.11934601,  429.84083052])]","[array([-1.03322393,  0.95108962,  0.74145891,  0.22520069,  1.19389543,
       -4.6681601 ])]"
25999,movel_fit,"[array([ 787.19722239, -338.08803997,  405.51157444])]","[array([-1.03110849,  0.97786551,  0.72255035,  0.22274375,  1.17572573,
       -4.66780568])]"
26999,movel_fit,"[array([ 788.25726072, -336.99114685,  377.50958981])]","[array([-1.02890228,  1.00914281,  0.70024076,  0.21909234,  1.153636  ,
       -4.66815921])]"
27999,movel_fit,"[array([ 788.85307544, -333.48322949,  346.89500258])]","[array([-1.02558355,  1.04401218,  0.67530978,  0.21448168,  1.12806507,
       -4.66970113])]"
28999,movel_fit,"[array([ 789.11949465, -326.43257491,  315.42230462])]","[array([-1.02009984,  1.08066983,  0.64915319,  0.20954687,  1.10010875,
       -4.67274069])]"
29999,movel_fit,"[array([ 789.22115869, -315.54986886,  285.21098191])]","[array([-1.01188015,  1.11664241,  0.62359468,  0.20517161,  1.07149111,
       -4.67715177])]"
30999,movel_fit,"[array([ 789.27293742, -301.66521528,  258.1728337 ])]","[array([-1.00119239,  1.14943156,  0.60042661,  0.20209984,  1.04422211,
       -4.68235251])]"
31999,movel_fit,"[array([ 789.34044284, -286.45510539,  235.7013903 ])]","[array([-0.98907327,  1.17700193,  0.5810816 ,  0.20065192,  1.02026986,
       -4.68753857])]"
32999,movel_fit,"[array([ 789.50505445, -271.87026241,  218.62770431])]","[array([-0.9769213 ,  1.19797403,  0.56651991,  0.20072712,  1.00131906,
       -4.69193835])]"
33999,movel_fit,"[array([ 789.91490935, -259.74221012,  207.48251506])]","[array([-0.96613825,  1.21137707,  0.55742954,  0.20200004,  0.98879898,
       -4.69489197])]"
34999,movel_fit,"[array([ 790.78391165, -251.56242657,  202.72528453])]","[array([-0.95787774,  1.21639136,  0.55443194,  0.20412453,  0.98389271,
       -4.69583749])]"
