breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([139.10429983, 514.89660183, 764.9874549 ])]","[array([ 0.08570234, -0.36353869,  0.15006451,  0.81703597,  0.40344632,
       -5.42705097])]"
499,movel_fit,"[array([139.38860151, 515.27822075, 762.63325507])]","[array([ 0.08871846, -0.36210764,  0.14856355,  0.81927409,  0.40425748,
       -5.42515197])]"
999,movel_fit,"[array([139.42735901, 515.65881059, 760.39687026])]","[array([ 0.09183952, -0.36082785,  0.14725236,  0.82138174,  0.40519914,
       -5.42332121])]"
1499,movel_fit,"[array([139.21559359, 516.03709682, 758.28291999])]","[array([ 0.09506552, -0.35970664,  0.14613462,  0.82335755,  0.40628   ,
       -5.42156326])]"
1999,movel_fit,"[array([138.74970918, 516.41227053, 756.29115116])]","[array([ 0.09840167, -0.35874804,  0.14521083,  0.82520442,  0.40750946,
       -5.41987863])]"
2499,movel_fit,"[array([138.02681355, 516.78319267, 754.42144114])]","[array([ 0.10185207, -0.35795575,  0.14448157,  0.82692476,  0.40889579,
       -5.41826786])]"
2999,movel_fit,"[array([137.04472641, 517.14844365, 752.67352994])]","[array([ 0.10542017, -0.3573329 ,  0.14394719,  0.82852068,  0.41044624,
       -5.41673135])]"
3499,movel_fit,"[array([135.80211794, 517.50630387, 751.0471238 ])]","[array([ 0.10910839, -0.35688204,  0.1436078 ,  0.82999387,  0.41216687,
       -5.41526956])]"
3999,movel_fit,"[array([134.29824553, 517.85486317, 749.54141582])]","[array([ 0.11291916, -0.35660487,  0.14346301,  0.83134601,  0.4140629 ,
       -5.41388265])]"
4499,movel_fit,"[array([132.53339372, 518.19192965, 748.15553518])]","[array([ 0.11685378, -0.35650226,  0.1435119 ,  0.83257835,  0.4161382 ,
       -5.41257095])]"
4999,movel_fit,"[array([130.50868711, 518.51513318, 746.88812111])]","[array([ 0.12091319, -0.35657404,  0.14375283,  0.8336921 ,  0.41839555,
       -5.41133468])]"
5499,movel_fit,"[array([128.22635013, 518.821923  , 745.73738751])]","[array([ 0.12509765, -0.35681885,  0.14418321,  0.83468835,  0.4208364 ,
       -5.41017412])]"
5999,movel_fit,"[array([125.68994889, 519.10960175, 744.70104233])]","[array([ 0.12940657, -0.35723392,  0.1447993 ,  0.83556817,  0.42346069,
       -5.40908957])]"
6499,movel_fit,"[array([122.90418617, 519.37541592, 743.7760396 ])]","[array([ 0.1338391 , -0.357815  ,  0.14559606,  0.83633284,  0.42626712,
       -5.40808123])]"
6999,movel_fit,"[array([119.87529952, 519.61657601, 742.95862761])]","[array([ 0.13839366, -0.35855608,  0.14656688,  0.83698383,  0.42925278,
       -5.40714932])]"
7499,movel_fit,"[array([116.61118426, 519.83032731, 742.24424783])]","[array([ 0.14306797, -0.3594493 ,  0.14770335,  0.83752296,  0.43241315,
       -5.40629403])]"
7999,movel_fit,"[array([113.12159845, 520.01402149, 741.62748142])]","[array([ 0.147859  , -0.3604847 ,  0.14899509,  0.8379525 ,  0.43574187,
       -5.40551555])]"
8499,movel_fit,"[array([109.41746996, 520.16523077, 741.10189912])]","[array([ 0.15276398, -0.36165042,  0.15042979,  0.83827535,  0.4392315 ,
       -5.40481387])]"
8999,movel_fit,"[array([105.51286503, 520.28174916, 740.66034619])]","[array([ 0.15777789, -0.36293199,  0.15199243,  0.83849496,  0.44287169,
       -5.40418921])]"
9499,movel_fit,"[array([101.42269389, 520.36177892, 740.29463286])]","[array([ 0.16289659, -0.36431303,  0.15366605,  0.83861561,  0.44665134,
       -5.40364155])]"
9999,movel_fit,"[array([ 97.16383978, 520.4039563 , 739.99579794])]","[array([ 0.16811528, -0.36577493,  0.1554313 ,  0.83864231,  0.45055756,
       -5.4031709 ])]"
10499,movel_fit,"[array([ 92.75626806, 520.40744465, 739.75424636])]","[array([ 0.17342716, -0.36729652,  0.15726598,  0.8385809 ,  0.45457466,
       -5.40277738])]"
10999,movel_fit,"[array([ 88.22000282, 520.37203051, 739.55969271])]","[array([ 0.17882702, -0.36885518,  0.15914633,  0.83843805,  0.45868688,
       -5.402461  ])]"
11499,movel_fit,"[array([ 83.57784282, 520.29817865, 739.4014875 ])]","[array([ 0.18430778, -0.37042608,  0.161046  ,  0.83822123,  0.4628759 ,
       -5.40222186])]"
11999,movel_fit,"[array([ 78.85459707, 520.18712194, 739.26870934])]","[array([ 0.18986132, -0.37198258,  0.16293653,  0.83793873,  0.46712152,
       -5.40206013])]"
12499,movel_fit,"[array([ 74.07501873, 520.04086287, 739.15027989])]","[array([ 0.19548064, -0.3734971 ,  0.16478836,  0.83759953,  0.47140348,
       -5.40197592])]"
12999,movel_fit,"[array([ 69.26603647, 519.86226158, 739.0351844 ])]","[array([ 0.20115707, -0.37494065,  0.1665701 ,  0.83721333,  0.47569938,
       -5.40196941])]"
13499,movel_fit,"[array([ 64.45477399, 519.65501335, 738.91254534])]","[array([ 0.20688233, -0.37628359,  0.16824953,  0.83679045,  0.47998648,
       -5.4020407 ])]"
13999,movel_fit,"[array([ 59.66986539, 519.42371981, 738.77175281])]","[array([ 0.21264678, -0.37749551,  0.16979332,  0.83634182,  0.48424046,
       -5.40218983])]"
14499,movel_fit,"[array([ 54.94023464, 519.17385643, 738.60249698])]","[array([ 0.21844065, -0.37854572,  0.17116769,  0.83587896,  0.48843653,
       -5.40241668])]"
14999,movel_fit,"[array([ 50.29441822, 518.91173333, 738.39474969])]","[array([ 0.22425475, -0.37940355,  0.1723387 ,  0.8354138 ,  0.49254998,
       -5.40272102])]"
15499,movel_fit,"[array([ 45.76118126, 518.64452356, 738.13873139])]","[array([ 0.23007963, -0.3800382 ,  0.17327211,  0.83495879,  0.49655566,
       -5.40310236])]"
15999,movel_fit,"[array([ 41.37120807, 518.38036894, 737.8249541 ])]","[array([ 0.23590328, -0.38041866,  0.17393321,  0.83452709,  0.50042648,
       -5.40355983])]"
16499,movel_fit,"[array([ 37.15279813, 518.12811897, 737.44382911])]","[array([ 0.24171671, -0.3805142 ,  0.17428757,  0.83413211,  0.5041372 ,
       -5.40409241])]"
16999,movel_fit,"[array([ 33.13582754, 517.89756267, 736.98574159])]","[array([ 0.24750882, -0.3802938 ,  0.17430027,  0.83378799,  0.50766094,
       -5.40469863])]"
17499,movel_fit,"[array([ 29.35016492, 517.69932789, 736.44076219])]","[array([ 0.25326847, -0.37972626,  0.1739361 ,  0.83350946,  0.51097057,
       -5.40537664])]"
17999,movel_fit,"[array([ 25.82537683, 517.54486373, 735.79832754])]","[array([ 0.25898516, -0.37877984,  0.1731592 ,  0.83331184,  0.51403893,
       -5.40612429])]"
18499,movel_fit,"[array([ 22.59208377, 517.44649533, 735.04718762])]","[array([ 0.264647  , -0.37742233,  0.17193315,  0.83321118,  0.51683759,
       -5.40693888])]"
18999,movel_fit,"[array([ 19.68050273, 517.41734323, 734.17483596])]","[array([ 0.27024315, -0.37562043,  0.1702203 ,  0.83322421,  0.51933808,
       -5.40781748])]"
