breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([139.10429983, 514.89660183, 764.9874549 ])]","[array([ 0.08570234, -0.36353869,  0.15006451,  0.81703597,  0.40344632,
       -5.42705097])]"
5172,movec_fit,"[array([137.87281862, 516.84792978, 754.10500068]), array([129.74796808, 518.6232778 , 746.47685549])]","[array([ 0.10247141, -0.35783376,  0.14437339,  0.8272146 ,  0.40915657,
       -5.41799205]), array([ 0.12234693, -0.35663928,  0.14388047,  0.83405005,  0.41921933,
       -5.41092453])]"
5967,movel_fit,"[array([125.85979894, 519.09181626, 744.76399549])]","[array([ 0.12912709, -0.35720234,  0.1447544 ,  0.83551533,  0.42328726,
       -5.4091567 ])]"
9227,movec_fit,"[array([115.93781169, 519.86916603, 742.11456651]), array([103.6696167 , 520.32286521, 740.4846808 ])]","[array([ 0.14400743, -0.35964337,  0.14794716,  0.83761663,  0.43305909,
       -5.40613379]), array([ 0.16009951, -0.36355053,  0.15274302,  0.83856197,  0.44457881,
       -5.4039299 ])]"
11665,movec_fit,"[array([ 93.22100769, 520.40889583, 739.7769979 ]), array([ 82.01761272, 520.26535314, 739.35513305])]","[array([ 0.17287053, -0.36713614,  0.15707262,  0.8385912 ,  0.45415216,
       -5.40281472]), array([ 0.18614371, -0.37094574,  0.16167606,  0.8381343 ,  0.46428006,
       -5.40215958])]"
13853,movec_fit,"[array([ 71.56671698, 519.95145478, 739.09047786]), array([ 61.06261934, 519.4934365 , 738.81535293])]","[array([ 0.19843711, -0.37426134,  0.16572919,  0.83740316,  0.4736456 ,
       -5.40196282]), array([ 0.2109601 , -0.37715698,  0.16935854,  0.83647481,  0.48300319,
       -5.40213824])]"
15655,movec_fit,"[array([ 52.54968774, 519.04077151, 738.50157705]), array([ 44.37473716, 518.56137664, 738.04747559])]","[array([ 0.22141504, -0.37901082,  0.1717947 ,  0.83564035,  0.49055417,
       -5.40256282]), array([ 0.23189725, -0.38018563,  0.17350922,  0.83482097,  0.49777907,
       -5.40323697])]"
17164,movec_fit,"[array([ 37.88139615, 518.17122606, 737.51620354]), array([ 31.85951239, 517.82802675, 736.81600291])]","[array([ 0.2406949 , -0.38051942,  0.17424899,  0.83419834,  0.50349697,
       -5.4039933 ]), array([ 0.24941365, -0.38014643,  0.1742235 ,  0.83368809,  0.50877813,
       -5.40491454])]"
18615,movec_fit,"[array([ 26.56311613, 517.57391417, 735.94589993]), array([ 21.8867058 , 517.43306677, 734.85605365])]","[array([ 0.25775457, -0.37901796,  0.17336379,  0.83334688,  0.513398  ,
       -5.40595702]), array([ 0.26595177, -0.37704506,  0.17158047,  0.83320344,  0.51744542,
       -5.40713716])]"
20003,movec_fit,"[array([ 18.04598574, 517.44022236, 733.56527496]), array([ 14.93369742, 517.62449152, 732.00114812])]","[array([ 0.27368449, -0.37426091,  0.16889285,  0.83329731,  0.52072948,
       -5.40839456]), array([ 0.28122737, -0.37052478,  0.16515778,  0.83366445,  0.52333598,
       -5.40975932])]"
22356,movec_fit,"[array([ 11.51597438, 518.45837102, 728.57064628]), array([ 10.79601232, 520.12043769, 723.92406246])]","[array([ 0.29359085, -0.361692  ,  0.15607649,  0.83505704,  0.52600639,
       -5.41230288]), array([ 0.30522665, -0.34932872,  0.14310911,  0.83762961,  0.5261023 ,
       -5.41506074])]"
24084,movec_fit,"[array([ 12.18372275, 521.98958168, 719.4983406 ]), array([ 15.29681683, 524.47553102, 714.01569656])]","[array([ 0.31328689, -0.33764869,  0.13073922,  0.84042675,  0.52429749,
       -5.41718196]), array([ 0.32088558, -0.32357581,  0.11577405,  0.84408602,  0.52075126,
       -5.41932632])]"
25278,movec_fit,"[array([ 18.48478042, 526.58662664, 709.47089654]), array([ 22.48360212, 529.01383181, 704.2411715 ])]","[array([ 0.3259015 , -0.31230274,  0.10377639,  0.84717122,  0.51721304,
       -5.4207989 ]), array([ 0.33071727, -0.299771  ,  0.0904561 ,  0.85071217,  0.51278234,
       -5.42222888])]"
26427,movec_fit,"[array([ 27.07955213, 531.65956458, 698.45140632]), array([ 32.28217811, 534.56467331, 691.91962629])]","[array([ 0.33522333, -0.28641098,  0.07629784,  0.85457711,  0.50764377,
       -5.42354907]), array([ 0.33959576, -0.27191959,  0.06101293,  0.85883649,  0.50172155,
       -5.42477538])]"
27542,movec_fit,"[array([ 37.84487508, 537.62826179, 684.7806302 ]), array([ 43.69481537, 540.85179502, 676.94797583])]","[array([ 0.34379577, -0.25669281,  0.0450551 ,  0.86335081,  0.49521787,
       -5.42586428]), array([ 0.34795422, -0.24060851,  0.02833313,  0.86812605,  0.48812563,
       -5.4268245 ])]"
28714,movec_fit,"[array([ 49.99663815, 544.37870098, 667.96320834]), array([ 56.14470366, 547.93795918, 658.42575946])]","[array([ 0.35238335, -0.22282011,  0.01001981,  0.87337518,  0.48010006,
       -5.42769809]), array([ 0.35690612, -0.20456406, -0.00856298,  0.87868875,  0.47174167,
       -5.42843272])]"
29832,movec_fit,"[array([ 61.64781844, 551.30378717, 648.94997371]), array([ 66.53100851, 554.54393816, 639.39103105])]","[array([ 0.36140442, -0.18694006, -0.02629056,  0.88371886,  0.4636236 ,
       -5.42902722]), array([ 0.36611716, -0.16958468, -0.0435427 ,  0.8885607 ,  0.45564899,
       -5.42953676])]"
30786,movec_fit,"[array([ 70.09497821, 557.18190743, 631.27829265]), array([ 72.97924893, 559.64574945, 623.41779504])]","[array([ 0.37038196, -0.15513863, -0.0577495 ,  0.89250483,  0.44908046,
       -5.42992215]), array([ 0.37486302, -0.14136558, -0.07116837,  0.89620042,  0.44292979,
       -5.43026555])]"
31671,movec_fit,"[array([ 75.02037266, 561.7743885 , 616.38820124]), array([ 76.40123804, 563.70965414, 609.78143846])]","[array([ 0.37926802, -0.12922917, -0.08289455,  0.89941861,  0.4376513 ,
       -5.4305494 ]), array([ 0.38386299, -0.11798504, -0.09368046,  0.90238802,  0.43293404,
       -5.43079147])]"
32646,movec_fit,"[array([ 77.169924  , 565.63068604, 602.98090286]), array([ 77.1475667 , 567.29163984, 596.84793016])]","[array([ 0.38920848, -0.10659729, -0.10453231,  0.9054148 ,  0.42840338,
       -5.43100305]), array([ 0.39476848, -0.0965288 , -0.11407223,  0.9081513 ,  0.42470719,
       -5.43113999])]"
33843,movec_fit,"[array([ 76.06931479, 568.98089025, 590.24288133]), array([ 73.89164521, 570.24159107, 584.84417101])]","[array([ 0.40193859, -0.08598928, -0.12401285,  0.91116569,  0.42135419,
       -5.43118433]), array([ 0.40935633, -0.07776739, -0.13174933,  0.91377259,  0.4194496 ,
       -5.43106398])]"
35669,movec_fit,"[array([ 68.54266483, 571.29497427, 579.10385475]), array([ 60.90743739, 571.18934474, 576.72212961])]","[array([ 0.42111372, -0.07000802, -0.13908516,  0.9169942 ,  0.419533  ,
       -5.43050353]), array([ 0.43314657, -0.06864017, -0.14051519,  0.91921973,  0.42352005,
       -5.42943591])]"
