breakpoints,primitives,points,q_bp
0,moveabsj_fit,"[array([1090.16121592, -506.72253706,  994.04660312])]","[array([-0.58589046, -0.03341733,  0.40482559,  0.35001582,  1.61501502,
       -2.18489397])]"
499,movel_fit,"[array([1090.04687826, -496.46903944,  994.02209401])]","[array([-0.57940933, -0.03779039,  0.40923147,  0.35123931,  1.61486126,
       -2.18459186])]"
999,movel_fit,"[array([1089.87327781, -486.19544825,  994.00599248])]","[array([-0.57317617, -0.04277318,  0.41409951,  0.35293162,  1.61408705,
       -2.18504078])]"
1499,movel_fit,"[array([1089.64054027, -475.92225621,  993.99804387])]","[array([-0.56719999, -0.04836978,  0.41942278,  0.35508081,  1.61268597,
       -2.18622459])]"
1999,movel_fit,"[array([1089.34859884, -465.64945684,  993.9977267 ])]","[array([-0.561476  , -0.05458951,  0.42520158,  0.35767591,  1.61065639,
       -2.18813609])]"
2499,movel_fit,"[array([1088.99740386, -455.37788576,  994.00430852])]","[array([-0.55600052, -0.06144076,  0.4314366 ,  0.36070752,  1.60799757,
       -2.19076852])]"
2999,movel_fit,"[array([1088.58691366, -445.10814966,  994.01684436])]","[array([-0.55077021, -0.06893143,  0.4381293 ,  0.36416795,  1.60470971,
       -2.19411511])]"
3499,movel_fit,"[array([1088.11715065, -434.84158494,  994.03417595])]","[array([-0.5457825 , -0.07706797,  0.44528109,  0.36805073,  1.60079438,
       -2.19816828])]"
3999,movel_fit,"[array([1087.58809998, -424.57764696,  994.05493793])]","[array([-0.54103419, -0.08585717,  0.45289494,  0.37235149,  1.59625387,
       -2.20292008])]"
4499,movel_fit,"[array([1086.99987396, -414.3171558 ,  994.07755603])]","[array([-0.53652284, -0.09530335,  0.46097279,  0.37706663,  1.59109262,
       -2.20836029])]"
4999,movel_fit,"[array([1086.35263422, -404.06010941,  994.10025636])]","[array([-0.53224562, -0.10540969,  0.46951681,  0.3821939 ,  1.58531674,
       -2.21447662])]"
5499,movel_fit,"[array([1085.64667455, -393.80674007,  994.12107183])]","[array([-0.52819949, -0.11617688,  0.47852817,  0.38773178,  1.5789349 ,
       -2.22125343])]"
5999,movel_fit,"[array([1084.88248678, -383.55783338,  994.13785448])]","[array([-0.52438111, -0.12760214,  0.48800625,  0.39367889,  1.57195906,
       -2.2286705 ])]"
6499,movel_fit,"[array([1084.0606945 , -373.31328276,  994.14829603])]","[array([-0.52078598, -0.13968026,  0.49794935,  0.40003445,  1.56440397,
       -2.23670302])]"
6999,movel_fit,"[array([1083.18217479, -363.07327667,  994.14994898])]","[array([-0.51740865, -0.15240175,  0.50835319,  0.40679732,  1.55628837,
       -2.24531985])]"
7499,movel_fit,"[array([1082.24809716, -352.83814431,  994.14025803])]","[array([-0.51424233, -0.16575245,  0.51921042,  0.41396561,  1.54763526,
       -2.25448238])]"
7999,movel_fit,"[array([1081.25999299, -342.6085296 ,  994.11660013])]","[array([-0.51127858, -0.17971268,  0.53050978,  0.42153603,  1.53847241,
       -2.2641432 ])]"
8499,movel_fit,"[array([1080.21958148, -332.38315407,  994.076324  ])]","[array([-0.50850648, -0.19425996,  0.5422382 ,  0.42950526,  1.5288305 ,
       -2.27424709])]"
8999,movel_fit,"[array([1079.12935438, -322.16411695,  994.01682485])]","[array([-0.50591379, -0.20936123,  0.55437427,  0.43786535,  1.51874798,
       -2.28472466])]"
