primitives,points,q_bp
moveabsj_fit,"[array([1091.02645384, -607.12758237,  994.31392833])]","[array([-0.647014  ,  0.01217735,  0.35819128,  0.33883033,  1.61641512,
       -2.18577219])]"
movel_fit,"[array([1090.15378758, -496.47591482,  993.63111423])]","[array([-0.57928333, -0.03738278,  0.4092365 ,  0.35112826,  1.61475535,
       -2.18442689])]"
movel_fit,"[array([1090.08621584, -486.19287083,  993.33986419])]","[array([-0.57300012, -0.04221935,  0.41409371,  0.35280443,  1.61392029,
       -2.18483072])]"
movel_fit,"[array([1089.93505409, -475.91169726,  993.17051655])]","[array([-0.56698219, -0.04776067,  0.4193347 ,  0.35495002,  1.61255701,
       -2.1859514 ])]"
movel_fit,"[array([1089.68917448, -465.63929578,  993.38251941])]","[array([-0.5612482 , -0.05406196,  0.42485675,  0.35753624,  1.6107926 ,
       -2.18775446])]"
movel_fit,"[array([1089.3245786 , -455.36222722,  994.07950447])]","[array([-0.55578047, -0.06115908,  0.43065258,  0.36055577,  1.60866875,
       -2.19019747])]"
movel_fit,"[array([1088.84885886, -445.11046553,  994.71630536])]","[array([-0.5506012 , -0.06890187,  0.43706931,  0.36401416,  1.60578855,
       -2.19344959])]"
movel_fit,"[array([1088.24813445, -434.83050256,  993.73656134])]","[array([-0.54574238, -0.07696224,  0.44520587,  0.36799897,  1.60090815,
       -2.19805091])]"
movel_fit,"[array([1087.72034963, -424.56305434,  992.95171074])]","[array([-0.54102875, -0.0855002 ,  0.45347281,  0.3723495 ,  1.59563349,
       -2.20313942])]"
movel_fit,"[array([1087.20561121, -414.29617564,  993.23255609])]","[array([-0.53645696, -0.09484309,  0.46140017,  0.37705116,  1.59055873,
       -2.20847337])]"
movel_fit,"[array([1086.61992658, -404.04022992,  993.38535369])]","[array([-0.5321329 , -0.10485608,  0.46982363,  0.3821624 ,  1.58483506,
       -2.21451252])]"
movel_fit,"[array([1085.95400057, -393.7853648 ,  993.49262457])]","[array([-0.52804116, -0.11554998,  0.478726  ,  0.38768458,  1.5785031 ,
       -2.22121524])]"
movel_fit,"[array([1085.19301432, -383.52544389,  993.55719439])]","[array([-0.52419393, -0.12695902,  0.48812993,  0.39362264,  1.57158128,
       -2.22857822])]"
movel_fit,"[array([1084.36728484, -373.28145631,  993.63974035])]","[array([-0.52058811, -0.13904562,  0.49799101,  0.39996559,  1.56410584,
       -2.23656501])]"
movel_fit,"[array([1083.47682162, -363.05558097,  993.71298262])]","[array([-0.51721325, -0.1517943 ,  0.50831772,  0.40671657,  1.55607424,
       -2.24514885])]"
movel_fit,"[array([1082.53073652, -352.80791787,  993.74838871])]","[array([-0.51403951, -0.1651948 ,  0.51914502,  0.4138874 ,  1.54746494,
       -2.25428866])]"
movel_fit,"[array([1081.5324386 , -342.58664642,  993.77414406])]","[array([-0.5110894 , -0.1791882 ,  0.53041093,  0.42145612,  1.53834091,
       -2.26395051])]"
movel_fit,"[array([1080.48012146, -332.36145714,  993.76791311])]","[array([-0.5083247 , -0.19378657,  0.54213668,  0.42943451,  1.52870951,
       -2.27406459])]"
movel_fit,"[array([1079.37859067, -322.13717432,  993.73459715])]","[array([-0.5057469 , -0.2089308 ,  0.55427879,  0.43780507,  1.51862243,
       -2.28456767])]"
movel_fit,"[array([1078.22674585, -311.93684538,  993.69530174])]","[array([-0.5033317 , -0.22460163,  0.56680279,  0.4465581 ,  1.50814552,
       -2.29535911])]"
movel_fit,"[array([1077.02338197, -301.71074923,  993.63766457])]","[array([-0.50106459, -0.24077281,  0.57969695,  0.45569237,  1.49730311,
       -2.3063645 ])]"
movel_fit,"[array([1075.7875685 , -291.53267507,  993.54510198])]","[array([-0.49893239, -0.25734508,  0.59290009,  0.46517351,  1.48615992,
       -2.31747018])]"
movel_fit,"[array([1074.5003513 , -281.30957408,  993.4359111 ])]","[array([-0.49688966, -0.27433974,  0.606411  ,  0.47500948,  1.47475529,
       -2.32854674])]"
movel_fit,"[array([1073.18271733, -271.14152602,  993.29843933])]","[array([-0.49494995, -0.2916368 ,  0.62014922,  0.48515794,  1.4631566 ,
       -2.33948873])]"
movel_fit,"[array([1071.84053668, -260.94536149,  993.11635079])]","[array([-0.49304128, -0.30918837,  0.63409009,  0.49560442,  1.45140052,
       -2.35010847])]"
movel_fit,"[array([1070.46580545, -250.7553172 ,  992.91228955])]","[array([-0.49115731, -0.32696219,  0.6481869 ,  0.50632843,  1.43954678,
       -2.36026754])]"
movel_fit,"[array([1069.08746913, -240.57157657,  992.66794194])]","[array([-0.48925934, -0.34483924,  0.66236402,  0.51728901,  1.42764419,
       -2.36977803])]"
movel_fit,"[array([1067.70403568, -230.40533043,  992.39719451])]","[array([-0.48731283, -0.36276569,  0.67656355,  0.52845116,  1.41575699,
       -2.378438  ])]"
movel_fit,"[array([1066.32552681, -220.22005   ,  992.09745527])]","[array([-0.48528104, -0.38067994,  0.69073752,  0.53979079,  1.40391049,
       -2.38605561])]"
movel_fit,"[array([1064.98022197, -210.02436507,  991.76546383])]","[array([-0.4830904 , -0.39848695,  0.70481286,  0.55125837,  1.39214278,
       -2.3923715 ])]"
movel_fit,"[array([1063.65729713, -199.85180169,  991.41930138])]","[array([-0.48075991, -0.41611885,  0.71871896,  0.56281051,  1.38050927,
       -2.39721402])]"
movel_fit,"[array([1062.36601971, -189.63889223,  991.05307598])]","[array([-0.47819983, -0.43354795,  0.73243143,  0.57441961,  1.36900097,
       -2.40032113])]"
movel_fit,"[array([1061.14655019, -179.45252535,  990.68124908])]","[array([-0.4753967 , -0.45061513,  0.7458183 ,  0.58600013,  1.35767114,
       -2.40146127])]"
movel_fit,"[array([1059.98187487, -169.23702122,  990.31305236])]","[array([-0.47227022, -0.46734007,  0.75887174,  0.59751746,  1.34651093,
       -2.40037576])]"
movel_fit,"[array([1058.89718126, -159.02586785,  989.94944746])]","[array([-0.46880466, -0.48359536,  0.77148736,  0.60888671,  1.33554012,
       -2.39685591])]"
movel_fit,"[array([1057.92774087, -148.80521283,  989.60913889])]","[array([-0.46489044, -0.49929625,  0.78357768,  0.62000565,  1.32474959,
       -2.39060486])]"
movel_fit,"[array([1057.05155423, -138.55063436,  989.32433584])]","[array([-0.46049786, -0.51440143,  0.79506908,  0.63077712,  1.31416566,
       -2.38142174])]"
movel_fit,"[array([1056.28865253, -128.29917457,  989.14859698])]","[array([-0.45553245, -0.52880527,  0.80583119,  0.64104855,  1.30380339,
       -2.36904698])]"
movel_fit,"[array([1055.68758279, -118.02991429,  989.06542743])]","[array([-0.44990848, -0.54233669,  0.81574221,  0.65064522,  1.29363886,
       -2.3532921 ])]"
movel_fit,"[array([1055.24373956, -107.75759738,  989.07268665])]","[array([-0.4435186 , -0.55490694,  0.82468753,  0.6593654 ,  1.28370549,
       -2.33396513])]"
movel_fit,"[array([1055.03558043,  -97.48397836,  989.08563649])]","[array([-0.43625905, -0.56623802,  0.83252844,  0.66697496,  1.27395857,
       -2.31098517])]"
movel_fit,"[array([1055.07082447,  -87.21125925,  989.10135531])]","[array([-0.42799951, -0.57615175,  0.83911231,  0.67320663,  1.26444488,
       -2.28423194])]"
movel_fit,"[array([1055.3340086 ,  -76.9094427 ,  989.20221903])]","[array([-0.41863114, -0.58446008,  0.8442245 ,  0.67775779,  1.25530106,
       -2.25361597])]"
movel_fit,"[array([1055.81507711,  -66.6469758 ,  989.44943586])]","[array([-0.40811229, -0.59089331,  0.84761312,  0.68030479,  1.24674152,
       -2.21917842])]"
movel_fit,"[array([1056.53814994,  -56.38510887,  989.79701389])]","[array([-0.3963294 , -0.59512844,  0.84907255,  0.68054664,  1.23894161,
       -2.18099563])]"
movel_fit,"[array([1057.52217553,  -46.13506399,  990.23336424])]","[array([-0.38323558, -0.59680858,  0.84836669,  0.67821618,  1.23216914,
       -2.13923847])]"
movel_fit,"[array([1058.77295349,  -35.93583769,  990.72680103])]","[array([-0.36884447, -0.59552862,  0.84526297,  0.6730965 ,  1.22678098,
       -2.09416551])]"
movel_fit,"[array([1060.27938585,  -25.78055786,  991.28110681])]","[array([-0.3531964 , -0.59092749,  0.83955156,  0.66507573,  1.22320046,
       -2.04608292])]"
movel_fit,"[array([1062.03202886,  -15.66600881,  991.87288233])]","[array([-0.33641725, -0.58266342,  0.83107623,  0.65418847,  1.22189368,
       -1.99543333])]"
movel_fit,"[array([1064.02852709,   -5.57529809,  992.46512328])]","[array([-0.31863396, -0.57042263,  0.81971901,  0.6405936 ,  1.22333279,
       -1.94266295])]"
movel_fit,"[array([1066.25536882,    4.46734642,  993.03963834])]","[array([-0.30006656, -0.55395793,  0.80541492,  0.62461169,  1.22800912,
       -1.88832564])]"
movel_fit,"[array([1068.69792864,   14.45408516,  993.59520917])]","[array([-0.28099935, -0.53313645,  0.78818362,  0.60672449,  1.23636493,
       -1.83306261])]"
movel_fit,"[array([1071.31909875,   24.39246016,  994.1011349 ])]","[array([-0.26171139, -0.50796428,  0.76817697,  0.58753887,  1.24870998,
       -1.77753653])]"
movel_fit,"[array([1074.1755759 ,   34.29577243,  994.34131641])]","[array([-0.24247002, -0.47849423,  0.74570223,  0.56779245,  1.26506625,
       -1.72251884])]"
movel_fit,"[array([1077.2451358 ,   44.12621107,  994.06078741])]","[array([-0.22364546, -0.44508035,  0.72128092,  0.54827789,  1.2852632 ,
       -1.66890523])]"
movel_fit,"[array([1080.41829748,   53.93373169,  993.53212175])]","[array([-0.20547249, -0.40829273,  0.69520023,  0.52961022,  1.30928316,
       -1.61720866])]"
movel_fit,"[array([1083.53415587,   63.71585613,  993.1404058 ])]","[array([-0.18817452, -0.36899334,  0.66788586,  0.51238204,  1.33687124,
       -1.5680173 ])]"
