breakpoints,primitives,points,q_bp
0,moveabsj_fit,"[array([1090.16542372, -506.72250154,  994.04650267])]","[array([-0.58062557, -0.02111551,  0.39517579,  0.34156872,  1.62820682,
       -2.17048616])]"
7770,movec_fit,"[array([1087.71360445, -426.91412774,  994.09530686]), array([1081.71038197, -347.29419431,  994.2289118 ])]","[array([-0.54470751, -0.0901055 ,  0.45594687,  0.37549382,  1.59089454,
       -2.20887068]), array([-0.50737546, -0.16059984,  0.51542778,  0.40956576,  1.55522012,
       -2.24575225])]"
9755,movel_fit,"[array([1077.49124023, -306.71143156,  993.87611486])]","[array([-0.50468907, -0.2385158 ,  0.5777387 ,  0.45526343,  1.49767966,
       -2.30785515])]"
14143,movec_fit,"[array([1071.93101513, -261.94309513,  993.10284193]), array([1066.03529693, -217.27058031,  991.83125401])]","[array([-0.49417703, -0.30954446,  0.63444165,  0.49641765,  1.45048408,
       -2.34850589]), array([-0.48277212, -0.38145124,  0.69140762,  0.53921284,  1.40441877,
       -2.38975749])]"
17604,movec_fit,"[array([1061.67495404, -181.98311399,  990.5108345 ]), array([1058.09075584, -146.62692332,  989.24890413])]","[array([-0.47522844, -0.44347925,  0.74056475,  0.58182549,  1.36214992,
       -2.39559321]), array([-0.46498638, -0.50637521,  0.78928852,  0.62441192,  1.31915494,
       -2.39996145])]"
20312,movec_fit,"[array([1056.38924549, -118.84349549,  988.58948872]), array([1055.79728992,  -91.04852725,  988.36226071])]","[array([-0.44946625, -0.53946112,  0.81402247,  0.64901549,  1.29426639,
       -2.3512035 ]), array([-0.43135136, -0.57227208,  0.83754447,  0.67188246,  1.26702107,
       -2.30005693])]"
23899,movec_fit,"[array([1057.56014254,  -54.23411916,  989.06612968]), array([1062.34908039,  -17.74154408,  990.72388913])]","[array([-0.38947614, -0.58751612,  0.84296491,  0.67240994,  1.24080119,
       -2.1620686 ]), array([-0.34571523, -0.59714379,  0.84471694,  0.67049263,  1.21169548,
       -2.02305768])]"
24829,movel_fit,"[array([1.06595777e+03, 1.00303462e+00, 9.91730499e+02])]","[array([-0.30409547, -0.5524705 ,  0.80581313,  0.62514955,  1.23021089,
       -1.89993525])]"
26032,movel_fit,"[array([1071.80900101,   25.01188538,  992.73855391])]","[array([-0.26215642, -0.5104653 ,  0.7714266 ,  0.59046909,  1.24468376,
       -1.77864051])]"
27240,movel_fit,"[array([1078.63256686,   48.88612178,  993.10176527])]","[array([-0.21485938, -0.42675771,  0.70891915,  0.53917644,  1.29676863,
       -1.64276415])]"
