primitives,points,q_bp
moveabsj_fit,"[array([ 783.68774973, -430.85158536, 1203.22712279])]","[array([-1.11624474, -0.16039638,  0.79693862,  0.99132769,  1.90540718,
       -0.33628159])]"
movej_fit,"[array([ 878.31201893, -436.55142889, 1154.35164225])]","[array([-1.04676764, -0.08586553,  0.77339104,  1.01764047,  1.8279619 ,
       -0.34173215])]"
movec_fit,"[array([ 914.9417225 , -437.00164004, 1135.08994679]), array([ 951.88828459, -437.56817159, 1116.57227999])]","[array([-1.01765025, -0.05946117,  0.75717552,  1.02021108,  1.79698592,
       -0.34869499]), array([-0.98918234, -0.03280962,  0.73900129,  1.02241292,  1.76717734,
       -0.35444482])]"
movec_fit,"[array([ 980.03119773, -437.80197691, 1103.34025616]), array([1008.37878487, -437.98060675, 1090.59681034])]","[array([-0.9623401 , -0.01762747,  0.713299  ,  1.00908574,  1.74073417,
       -0.36902524]), array([-0.9357947 , -0.00283216,  0.68727199,  0.99521032,  1.71450598,
       -0.3820536 ])]"
movec_fit,"[array([1033.13261363, -437.92978707, 1079.89439676]), array([1057.93492836, -437.88327692, 1069.41572547])]","[array([-0.9113662 ,  0.00892665,  0.66196242,  0.97912692,  1.69118304,
       -0.39675221]), array([-0.88715001,  0.02034943,  0.63668281,  0.96230241,  1.66783535,
       -0.41038463])]"
movel_fit,"[array([1074.32772618, -437.49244547, 1062.79786488])]","[array([-0.86963364,  0.02664397,  0.61796547,  0.94745908,  1.65165674,
       -0.42200658])]"
movel_fit,"[array([1098.31739151, -436.99700567, 1053.04298652])]","[array([-0.84526928,  0.03671986,  0.59251724,  0.92781602,  1.62883222,
       -0.4367918 ])]"
movel_fit,"[array([1125.44667495, -436.08278685, 1042.20872315])]","[array([-0.81737052,  0.04788607,  0.56372357,  0.90413259,  1.60323859,
       -0.45429086])]"
movel_fit,"[array([1149.71879023, -435.04594597, 1032.37027027])]","[array([-0.79359738,  0.05889073,  0.5398388 ,  0.88498105,  1.58145238,
       -0.46843104])]"
movel_fit,"[array([1169.28348971, -434.22967369, 1024.21012452])]","[array([-0.77550771,  0.0686789 ,  0.52184371,  0.87125305,  1.56472668,
       -0.47878701])]"
movel_fit,"[array([1185.19091131, -433.584732  , 1017.3312572 ])]","[array([-0.76189848,  0.07751778,  0.50840279,  0.86210704,  1.55190023,
       -0.4859908 ])]"
movel_fit,"[array([1198.88990455, -433.0658778 , 1011.19489402])]","[array([-0.75106256,  0.08581692,  0.49769685,  0.85586768,  1.54144061,
       -0.49125683])]"
movel_fit,"[array([1211.13723645, -432.68685494, 1005.47575589])]","[array([-0.74226489,  0.09393484,  0.488931  ,  0.85196599,  1.53264944,
       -0.49502946])]"
movel_fit,"[array([1222.27479163, -432.48147852, 1000.04083492])]","[array([-0.7350931 ,  0.10197514,  0.48163107,  0.8499452 ,  1.52515352,
       -0.49764329])]"
movel_fit,"[array([1232.60597206, -432.38319524,  994.8094486 ])]","[array([-0.7292256 ,  0.11003016,  0.4755183 ,  0.84962036,  1.51869309,
       -0.49921126])]"
movel_fit,"[array([1242.36100412, -432.37891385,  989.63972664])]","[array([-0.72443657,  0.11822758,  0.47039877,  0.85084102,  1.51304161,
       -0.4998816 ])]"
movel_fit,"[array([1251.64954742, -432.48621628,  984.47352048])]","[array([-0.7206389 ,  0.12664864,  0.46617685,  0.85357492,  1.50811753,
       -0.4997036 ])]"
