primitives,p_bp,q_bp
moveabsj_fit,"[array([ 777.39416251, -430.8358812 , 1206.81054068])]","[array([-1.12137444, -0.16484141,  0.79806296,  0.98984592,  1.91118676,
       -0.33447376])]"
movej_fit,"[array([ 878.26185066, -436.55182286, 1154.26939347])]","[array([-1.04707624, -0.08564178,  0.77400512,  1.01832032,  1.82815963,
       -0.34165911])]"
movec_fit,"[array([ 914.95314139, -437.04908213, 1135.10763719]), array([ 951.81405505, -437.76625124, 1116.4068841 ])]","[array([-1.01802573, -0.0591407 ,  0.7578521 ,  1.0211944 ,  1.79730894,
       -0.34850744]), array([-0.9893154 , -0.03259864,  0.73896329,  1.02228669,  1.76717354,
       -0.35464913])]"
movec_fit,"[array([ 980.03220511, -437.86760916, 1103.31936985]), array([1008.35562031, -438.20077926, 1090.5384857 ])]","[array([-0.96242058, -0.01756775,  0.7133537 ,  1.00918847,  1.74074466,
       -0.36902929]), array([-0.93590702, -0.00264934,  0.68714736,  0.99512539,  1.7145473 ,
       -0.38215078])]"
movec_fit,"[array([1033.14825322, -437.94746087, 1079.93543014]), array([1057.88956067, -438.21860914, 1069.28291026])]","[array([-0.91150904,  0.00897613,  0.66216453,  0.97949717,  1.69126698,
       -0.39667687]), array([-0.88733043,  0.02062662,  0.63652903,  0.96217439,  1.667882  ,
       -0.41056841])]"
movel_fit,"[array([1074.3833387 , -437.35946605, 1062.96144039])]","[array([-0.86958133,  0.02647407,  0.61801955,  0.94761814,  1.65165662,
       -0.42182411])]"
movel_fit,"[array([1098.3127833 , -437.12589995, 1053.02411681])]","[array([-0.8453373 ,  0.0367535 ,  0.59246   ,  0.92777419,  1.62880229,
       -0.43682802])]"
movel_fit,"[array([1125.48183949, -436.12932427, 1042.28021984])]","[array([-0.81737129,  0.04784149,  0.56364789,  0.90411171,  1.60321251,
       -0.45423522])]"
movel_fit,"[array([1149.74039851, -435.00109138, 1032.42963765])]","[array([-0.79353301,  0.05879005,  0.53980155,  0.88491502,  1.58139702,
       -0.46837164])]"
movel_fit,"[array([1169.30636928, -434.22920412, 1024.27254527])]","[array([-0.7754526 ,  0.06860207,  0.52176187,  0.87114563,  1.56468075,
       -0.47873562])]"
movel_fit,"[array([1185.2163103 , -433.57728424, 1017.36950194])]","[array([-0.76182404,  0.07745318,  0.50831614,  0.86196658,  1.55184118,
       -0.48595316])]"
movel_fit,"[array([1198.91913177, -433.00819128, 1011.25868871])]","[array([-0.75095008,  0.08571292,  0.49761458,  0.85571218,  1.54137583,
       -0.49118756])]"
movel_fit,"[array([1211.17074743, -432.57641364, 1005.54660271])]","[array([-0.74211336,  0.0938006 ,  0.48886285,  0.85179711,  1.53256963,
       -0.49494021])]"
movel_fit,"[array([1222.29150664, -432.43649529, 1000.06618791])]","[array([-0.73497566,  0.10188405,  0.48154935,  0.84973965,  1.52506889,
       -0.49760358])]"
movel_fit,"[array([1232.63959392, -432.35654896,  994.85614852])]","[array([-0.72910724,  0.10994744,  0.47540101,  0.84940484,  1.51861651,
       -0.49915527])]"
movel_fit,"[array([1242.39885788, -432.27762226,  989.72871049])]","[array([-0.72427497,  0.11808653,  0.47030061,  0.85063127,  1.51296118,
       -0.49977786])]"
movel_fit,"[array([1251.70388711, -432.35035851,  984.57118058])]","[array([-0.72044621,  0.12649585,  0.46607455,  0.85335751,  1.5080262 ,
       -0.49957982])]"
movel_fit,"[array([1260.57597787, -432.6156363 ,  979.35276637])]","[array([-0.71760148,  0.13520772,  0.46268861,  0.85756506,  1.50378475,
       -0.49861399])]"
movel_fit,"[array([1269.13319618, -433.0055338 ,  974.08273608])]","[array([-0.71562804,  0.14425413,  0.46009   ,  0.86328729,  1.5001889 ,
       -0.49680682])]"
movel_fit,"[array([1277.5032186 , -433.4525761 ,  968.67090125])]","[array([-0.71445025,  0.15375036,  0.45831022,  0.87067042,  1.49717591,
       -0.49412885])]"
movel_fit,"[array([1285.69333733, -433.98199996,  963.10221672])]","[array([-0.71408751,  0.16375558,  0.45738148,  0.8798071 ,  1.49478608,
       -0.49053642])]"
movel_fit,"[array([1293.75108901, -434.69311935,  957.33287953])]","[array([-0.71460417,  0.1744212 ,  0.45731731,  0.89086187,  1.49307728,
       -0.48596958])]"
movel_fit,"[array([1301.66824732, -435.53433382,  951.34732118])]","[array([-0.7159944 ,  0.18578876,  0.45824087,  0.90399552,  1.49211012,
       -0.48032815])]"
movel_fit,"[array([1309.58974485, -436.39224743,  945.08709237])]","[array([-0.71821562,  0.19804606,  0.46030456,  0.91961058,  1.49194592,
       -0.47341887])]"
movel_fit,"[array([1317.48199527, -437.32486637,  938.55707852])]","[array([-0.72129265,  0.21125611,  0.46359683,  0.93781239,  1.49268916,
       -0.46515807])]"
movel_fit,"[array([1325.44268822, -438.32326817,  931.70263114])]","[array([-0.7252631 ,  0.22567977,  0.46832924,  0.95909671,  1.49451644,
       -0.45528216])]"
movel_fit,"[array([1333.48459732, -439.357734  ,  924.43077787])]","[array([-0.73009245,  0.24151329,  0.4747354 ,  0.98376284,  1.4975838 ,
       -0.44366009])]"
movel_fit,"[array([1341.55015399, -440.42399595,  916.83773313])]","[array([-0.73566664,  0.25876011,  0.48290784,  1.01180457,  1.50209208,
       -0.43020154])]"
movel_fit,"[array([1349.49834711, -441.29839517,  908.92339707])]","[array([-0.74169146,  0.27725573,  0.49304559,  1.0429777 ,  1.50808587,
       -0.41509239])]"
movel_fit,"[array([1357.23104931, -442.14433199,  900.81657974])]","[array([-0.74795684,  0.29689679,  0.50486627,  1.07664746,  1.51567835,
       -0.39858758])]"
movel_fit,"[array([1364.86672226, -442.94671029,  892.65019472])]","[array([-0.75405223,  0.31755327,  0.51792501,  1.11212801,  1.52482108,
       -0.38086936])]"
movel_fit,"[array([1372.35730387, -443.27794728,  884.45078656])]","[array([-0.7594879 ,  0.33885594,  0.53218175,  1.14884385,  1.53532565,
       -0.36231771])]"
movel_fit,"[array([1379.79051266, -443.31790054,  876.25572468])]","[array([-0.76407061,  0.36078271,  0.5470906 ,  1.18615775,  1.54714572,
       -0.34318784])]"
movel_fit,"[array([1387.20986039, -443.07968188,  867.98906746])]","[array([-0.76760065,  0.38326488,  0.56225176,  1.22350833,  1.5601335 ,
       -0.32388718])]"
movel_fit,"[array([1394.73390871, -442.57042873,  859.67914564])]","[array([-0.76992398,  0.40625236,  0.57726256,  1.26054533,  1.57422024,
       -0.30454477])]"
movel_fit,"[array([1402.34534872, -441.83189147,  851.34841222])]","[array([-0.77092485,  0.42935602,  0.59146524,  1.29628273,  1.58897059,
       -0.28579474])]"
movel_fit,"[array([1410.04393224, -440.74450842,  843.15092859])]","[array([-0.77051784,  0.45196786,  0.60432591,  1.32985984,  1.6038052 ,
       -0.26815478])]"
movel_fit,"[array([1417.72933987, -439.31515025,  835.44120007])]","[array([-0.76878814,  0.47306634,  0.61507281,  1.35992196,  1.61779937,
       -0.25238882])]"
movel_fit,"[array([1425.11751441, -438.12860051,  828.37917073])]","[array([-0.76635113,  0.492016  ,  0.62307472,  1.38535968,  1.63019643,
       -0.23911582])]"
movel_fit,"[array([1431.83163673, -437.06365938,  821.91559203])]","[array([-0.76360676,  0.50846421,  0.62879901,  1.40613583,  1.64060702,
       -0.22863931])]"
movel_fit,"[array([1438.26753148, -435.97040757,  816.31792937])]","[array([-0.76056235,  0.52256322,  0.63265911,  1.42346016,  1.64924889,
       -0.22023545])]"
movel_fit,"[array([1455.93923865, -433.52594109,  802.55674184])]","[array([-0.75146713,  0.55427907,  0.63504616,  1.45815372,  1.66543984,
       -0.20480873])]"
movel_fit,"[array([1472.55659162, -432.59728981,  792.06565564])]","[array([-0.74333413,  0.57459104,  0.62713897,  1.47459766,  1.66975442,
       -0.19961998])]"
movel_fit,"[array([1489.22723854, -433.21453855,  783.53216546])]","[array([-0.73628603,  0.58682008,  0.61081888,  1.47726407,  1.66383932,
       -0.20284738])]"
movel_fit,"[array([1507.03179319, -435.42577563,  776.83171981])]","[array([-0.729799  ,  0.59136807,  0.58484931,  1.46535612,  1.64683038,
       -0.21475773])]"
movel_fit,"[array([1527.31211627, -439.11096596,  771.81032213])]","[array([-0.72239293,  0.58706729,  0.54501601,  1.43297343,  1.61531211,
       -0.23865379])]"
movel_fit,"[array([1542.63629651, -442.19493106,  769.30757433])]","[array([-0.7154532 ,  0.57836423,  0.50787697,  1.39485243,  1.58437089,
       -0.2641404 ])]"
movel_fit,"[array([1550.78950294, -443.69348859,  768.42642059])]","[array([-0.7108311 ,  0.5722455 ,  0.4861061 ,  1.37026636,  1.56624602,
       -0.27999105])]"
movel_fit,"[array([1559.12685216, -445.00585921,  767.88726705])]","[array([-0.70524624,  0.56519514,  0.46278055,  1.3425258 ,  1.54708146,
       -0.29744442])]"
movel_fit,"[array([1567.50271462, -445.82649298,  767.43883956])]","[array([-0.69851686,  0.55754725,  0.43849746,  1.31208444,  1.52731094,
       -0.31633931])]"
movel_fit,"[array([1575.88726777, -446.41397919,  767.18656523])]","[array([-0.69073593,  0.54959705,  0.4134602 ,  1.27936307,  1.50749361,
       -0.33612661])]"
movel_fit,"[array([1584.23903985, -446.84857618,  767.16058043])]","[array([-0.68199022,  0.54163838,  0.38806557,  1.24498939,  1.48813327,
       -0.35630252])]"
movel_fit,"[array([1592.6307244 , -446.9966055 ,  767.20240485])]","[array([-0.67225791,  0.53399547,  0.36266524,  1.20955155,  1.46948626,
       -0.37655809])]"
movel_fit,"[array([1601.03351149, -447.14618454,  767.07679658])]","[array([-0.66182473,  0.52714363,  0.3374921 ,  1.17364982,  1.45190592,
       -0.39668349])]"
movel_fit,"[array([1609.4573309 , -446.579291  ,  766.64944134])]","[array([-0.65058088,  0.52108589,  0.3134366 ,  1.13835618,  1.43541412,
       -0.41652849])]"
movel_fit,"[array([1617.8991812 , -444.54075308,  766.56396374])]","[array([-0.63845635,  0.51528877,  0.29124259,  1.10466909,  1.42013947,
       -0.43534324])]"
movel_fit,"[array([1626.22050186, -442.26649117,  766.5450148 ])]","[array([-0.62642651,  0.51052204,  0.27066769,  1.07321779,  1.40659998,
       -0.45223821])]"
movel_fit,"[array([1634.20747635, -441.3582616 ,  765.11829967])]","[array([-0.61564228,  0.50818589,  0.25150744,  1.04455296,  1.39490659,
       -0.46751895])]"
movel_fit,"[array([1654.87961742, -437.33773814,  761.43288491])]","[array([-0.59021849,  0.50672791,  0.21013475,  0.98578638,  1.37147679,
       -0.49794603])]"
movel_fit,"[array([1671.11499437, -437.07949182,  755.01520455])]","[array([-0.57637885,  0.51365   ,  0.18411346,  0.95731624,  1.35977559,
       -0.5135588 ])]"
movel_fit,"[array([1685.52353014, -435.44313349,  749.71464406])]","[array([-0.56832712,  0.5228937 ,  0.16790806,  0.94909811,  1.35420708,
       -0.51733325])]"
movel_fit,"[array([1698.47092182, -435.09464575,  741.98075536])]","[array([-0.5663017 ,  0.536597  ,  0.15893119,  0.95793363,  1.35315734,
       -0.51371565])]"
movel_fit,"[array([1709.96524547, -438.03180911,  731.40030781])]","[array([-0.57140576,  0.55603755,  0.15677888,  0.98514954,  1.35768294,
       -0.5021857 ])]"
movel_fit,"[array([1721.80489805, -441.55491209,  718.65839833])]","[array([-0.58287202,  0.58274388,  0.16387446,  1.03786972,  1.36976517,
       -0.47752562])]"
movel_fit,"[array([1732.71676574, -447.18946076,  701.57242988])]","[array([-0.60245848,  0.62135928,  0.18609401,  1.12619109,  1.39536532,
       -0.43489737])]"
movel_fit,"[array([1799.94292844, -457.02137722,  576.94365431])]","[array([-0.60522632,  0.85534029,  0.51915485,  1.90396632,  1.65506446,
       -0.05452454])]"
