primitives,points,q_bp
moveabsj_fit,"[array([ 122.19916119, -456.59300677, 1280.14675418])]","[array([-0.51481408, -0.86284385,  0.7366598 ,  2.50908808, -1.98672982,
       -2.81090965])]"
movel_fit,"[array([ 158.22446011, -542.09086614, 1222.59627808])]","[array([-0.58783242, -0.79709826,  0.77180416,  2.50178217, -1.86616911,
       -2.79565216])]"
movec_fit,"[array([ 174.28514831, -578.69390489, 1197.25502754]), array([ 190.58762459, -614.85624218, 1171.51661256])]","[array([-0.60465958, -0.76471445,  0.78911098,  2.48999894, -1.81708424,
       -2.79371162]), array([-0.61723125, -0.72991307,  0.8059481 ,  2.4754102 , -1.76957507,
       -2.78787802])]"
movel_fit,"[array([ 197.04036331, -626.58607835, 1162.26420812])]","[array([-0.60575222, -0.71887231,  0.81926494,  2.45742346, -1.75673848,
       -2.8013095 ])]"
movec_fit,"[array([ 209.31240035, -651.70135054, 1142.94018956]), array([ 221.69745569, -676.55603521, 1123.38596481])]","[array([-0.59919248, -0.69275612,  0.83866322,  2.4328585 , -1.72665125,
       -2.81082333]), array([-0.59203809, -0.66565691,  0.85828142,  2.40648453, -1.69680165,
       -2.81863943])]"
movec_fit,"[array([ 231.6009355 , -694.7016584 , 1108.06290613]), array([ 241.28742929, -712.75038214, 1092.60714566])]","[array([-0.57771557, -0.64378918,  0.87886597,  2.37717867, -1.67721536,
       -2.83411642]), array([-0.56504891, -0.62171608,  0.89924884,  2.34803849, -1.65712201,
       -2.84903632])]"
movel_fit,"[array([ 248.29853218, -726.74253627, 1080.78008871])]","[array([-0.55933331, -0.60285852,  0.91247627,  2.3285055 , -1.64156544,
       -2.85716852])]"
movel_fit,"[array([ 259.35104016, -747.24224614, 1062.58722495])]","[array([-0.54835328, -0.57417446,  0.93443141,  2.29582036, -1.61862294,
       -2.8725283 ])]"
movel_fit,"[array([ 268.48450169, -765.31720895, 1046.7947516 ])]","[array([-0.54339934, -0.54709076,  0.95029776,  2.27067167, -1.59830895,
       -2.88326029])]"
movel_fit,"[array([ 275.90515787, -780.07514374, 1033.958683  ])]","[array([-0.54133438, -0.52441739,  0.96148944,  2.2516629 , -1.58135762,
       -2.89108425])]"
movel_fit,"[array([ 281.84347028, -792.34905529, 1023.60016018])]","[array([-0.54195948, -0.50516796,  0.96841853,  2.23825087, -1.5671225 ,
       -2.89593559])]"
movel_fit,"[array([ 286.96669185, -803.17877415, 1014.7169326 ])]","[array([-0.5439254 , -0.48826256,  0.9729133 ,  2.22798404, -1.55440569,
       -2.89922658])]"
movel_fit,"[array([ 291.53353936, -813.0917104 , 1006.87238309])]","[array([-0.54712022, -0.47287657,  0.97534904,  2.22029507, -1.54266113,
       -2.90111851])]"
movel_fit,"[array([ 295.69371019, -822.35855735,  999.82867916])]","[array([-0.55120918, -0.45875576,  0.97622209,  2.21454659, -1.53157384,
       -2.90201419])]"
movel_fit,"[array([ 299.56616279, -831.20150474,  993.39227697])]","[array([-0.5561433 , -0.44560218,  0.9756876 ,  2.21052551, -1.52092136,
       -2.90194988])]"
movel_fit,"[array([ 303.18124347, -839.67769822,  987.5145133 ])]","[array([-0.56180504, -0.43335684,  0.97392823,  2.20803152, -1.51060708,
       -2.90108254])]"
movel_fit,"[array([ 306.64629083, -848.00373216,  982.01111066])]","[array([-0.56823117, -0.42175558,  0.97100829,  2.20695514, -1.50040644,
       -2.89941995])]"
movel_fit,"[array([ 309.98119299, -856.24399551,  976.83463905])]","[array([-0.57545913, -0.41070661,  0.96695937,  2.20726939, -1.49018965,
       -2.89694851])]"
movel_fit,"[array([ 313.21324442, -864.45943145,  972.00438527])]","[array([-0.58352685, -0.40022213,  0.96173995,  2.20905828, -1.47993357,
       -2.89371538])]"
movel_fit,"[array([ 316.34645325, -872.6595284 ,  967.38691911])]","[array([-0.59242644, -0.39021632,  0.95545306,  2.21228488, -1.46954455,
       -2.88958945])]"
movel_fit,"[array([ 319.42729456, -881.00095477,  963.0159591 ])]","[array([-0.60239003, -0.38062617,  0.94789342,  2.21721094, -1.45887885,
       -2.88457682])]"
movel_fit,"[array([ 322.45491644, -889.4719176 ,  958.83108065])]","[array([-0.61347909, -0.37140028,  0.93905904,  2.22393664, -1.44787557,
       -2.8785309 ])]"
movel_fit,"[array([ 325.42975829, -898.12955774,  954.80209908])]","[array([-0.62582093, -0.362541  ,  0.92889146,  2.23267522, -1.43648981,
       -2.87135606])]"
movel_fit,"[array([ 328.36123485, -907.0252354 ,  950.92572192])]","[array([-0.6396698 , -0.35397105,  0.91721185,  2.24376974, -1.42460384,
       -2.86289161])]"
movel_fit,"[array([ 331.25602883, -916.29611887,  947.1294753 ])]","[array([-0.65536579, -0.34560845,  0.90383295,  2.25766482, -1.41207008,
       -2.8529093 ])]"
movel_fit,"[array([ 334.06898868, -925.86306926,  943.43885934])]","[array([-0.67303973, -0.33747021,  0.88874672,  2.27466884, -1.39896406,
       -2.84128502])]"
movel_fit,"[array([ 336.78594409, -935.75490114,  939.82682389])]","[array([-0.692929  , -0.32945854,  0.87190574,  2.29515207, -1.38529626,
       -2.82785482])]"
movel_fit,"[array([ 339.38281759, -945.99174652,  936.27037706])]","[array([-0.71524111, -0.32147552,  0.85329876,  2.31949317, -1.37116657,
       -2.81252796])]"
movel_fit,"[array([ 341.76306385, -956.42756734,  932.7358147 ])]","[array([-0.73986092, -0.3134493 ,  0.83330262,  2.34761052, -1.35686761,
       -2.79542006])]"
movel_fit,"[array([ 343.90599679, -966.95425886,  929.28819762])]","[array([-0.76646778, -0.30529352,  0.81235059,  2.37913492, -1.34279794,
       -2.77686592])]"
movel_fit,"[array([ 345.72353783, -977.3785823 ,  925.83604446])]","[array([-0.79452315, -0.29692316,  0.79109347,  2.41335888, -1.32936708,
       -2.7572939 ])]"
movel_fit,"[array([ 347.25903154, -987.79663166,  922.39676197])]","[array([-0.82385272, -0.28810696,  0.7697256 ,  2.44990793, -1.3167441 ,
       -2.73702543])]"
movel_fit,"[array([ 348.46878778, -998.15134168,  918.67619592])]","[array([-0.85411259, -0.27867063,  0.74874484,  2.48823575, -1.305004  ,
       -2.71631401])]"
movel_fit,"[array([  349.4347149 , -1008.62505663,   915.09981603])]","[array([-0.88481548, -0.26854395,  0.72819886,  2.52753255, -1.29448633,
       -2.69575429])]"
movel_fit,"[array([  350.05245983, -1019.01253674,   910.93415037])]","[array([-0.91566366, -0.25756829,  0.70864215,  2.56737726, -1.28494502,
       -2.67539916])]"
movel_fit,"[array([  350.6982253 , -1029.51458272,   906.56912308])]","[array([-0.9458808 , -0.24567528,  0.69003875,  2.60674435, -1.27657982,
       -2.65582555])]"
movel_fit,"[array([  351.28104393, -1039.80361204,   901.99473735])]","[array([-0.9741844 , -0.23331037,  0.67315497,  2.64376289, -1.26940873,
       -2.63786976])]"
movel_fit,"[array([  351.54938427, -1049.70303453,   897.43416163])]","[array([-0.99951457, -0.221048  ,  0.65844585,  2.67666924, -1.26334076,
       -2.62242448])]"
movel_fit,"[array([  351.59422942, -1058.76688972,   892.68264128])]","[array([-1.02091557, -0.20945247,  0.6463939 ,  2.70422016, -1.25809046,
       -2.60975699])]"
movel_fit,"[array([  352.63930389, -1066.98160256,   888.31508631])]","[array([-1.03813903, -0.19853672,  0.63611792,  2.72706193, -1.2536384 ,
       -2.59939066])]"
movel_fit,"[array([  354.2526926 , -1074.32984097,   884.13892592])]","[array([-1.05176806, -0.18848831,  0.62756025,  2.74556849, -1.2496585 ,
       -2.59109098])]"
movel_fit,"[array([  357.74584094, -1093.5999563 ,   873.21532821])]","[array([-1.0783283 , -0.16348366,  0.60967797,  2.77971371, -1.23885503,
       -2.57685246])]"
movel_fit,"[array([  361.87125438, -1109.82247501,   862.91483387])]","[array([-1.08889027, -0.14338026,  0.59946788,  2.79106615, -1.22774441,
       -2.57259424])]"
movel_fit,"[array([  368.71588359, -1124.13870676,   852.98124447])]","[array([-1.08622793, -0.12611971,  0.59421248,  2.78433926, -1.21550131,
       -2.57512719])]"
movel_fit,"[array([  377.77431975, -1137.74512086,   842.95234856])]","[array([-1.07108188, -0.11061471,  0.59384718,  2.75854468, -1.20132378,
       -2.58560154])]"
movel_fit,"[array([  389.78289186, -1151.11506107,   831.5738208 ])]","[array([-1.03977618, -0.09527802,  0.60078733,  2.70573227, -1.18456375,
       -2.60705349])]"
movel_fit,"[array([  399.56460646, -1160.13596115,   822.86570259])]","[array([-1.00754832, -0.08393541,  0.6115677 ,  2.6496147 , -1.17268359,
       -2.63046726])]"
movel_fit,"[array([  404.9195088 , -1164.51109139,   818.11890651])]","[array([-0.98812074, -0.07756408,  0.61926631,  2.61496896, -1.16714443,
       -2.64537895])]"
movel_fit,"[array([  410.34187588, -1168.60925957,   813.14231433])]","[array([-0.96727854, -0.07062773,  0.62843645,  2.57709327, -1.16233627,
       -2.66212242])]"
movel_fit,"[array([  415.9232086 , -1172.20414824,   807.87606892])]","[array([-0.94547604, -0.06298455,  0.63895486,  2.53692616, -1.1585391 ,
       -2.68030803])]"
movel_fit,"[array([  421.40172829, -1175.3759693 ,   802.26800211])]","[array([-0.92327127, -0.05444703,  0.65063535,  2.49517876, -1.15593998,
       -2.69959553])]"
movel_fit,"[array([  426.35569885, -1178.70193306,   796.36428515])]","[array([-0.90146343, -0.04470381,  0.66304775,  2.45235771, -1.15454274,
       -2.71969018])]"
movel_fit,"[array([  430.79710642, -1182.39947593,   790.3421834 ])]","[array([-0.88045325, -0.03366471,  0.6758218 ,  2.40911609, -1.15444387,
       -2.74013402])]"
movel_fit,"[array([  434.96464449, -1186.28339226,   784.235877  ])]","[array([-0.8605501 , -0.02136175,  0.68859001,  2.36647292, -1.15564163,
       -2.76053295])]"
movel_fit,"[array([  439.05272993, -1189.80693883,   777.76507312])]","[array([-0.84198373, -0.00798741,  0.70114417,  2.32562102, -1.15795089,
       -2.78039519])]"
movel_fit,"[array([  442.91596127, -1193.13745187,   770.90730234])]","[array([-0.82503522,  0.00641181,  0.71313203,  2.28700321, -1.16114519,
       -2.79931611])]"
movel_fit,"[array([  446.48889345, -1197.28765434,   764.50733576])]","[array([-0.81030677,  0.02147756,  0.72364303,  2.25124452, -1.16502245,
       -2.81657538])]"
movel_fit,"[array([  449.76439285, -1201.944154  ,   758.71206495])]","[array([-0.7981277 ,  0.0363845 ,  0.73232653,  2.21968333, -1.16907397,
       -2.83159205])]"
movel_fit,"[array([  457.84740325, -1212.14790775,   742.14477442])]","[array([-0.7756922 ,  0.07383769,  0.74804145,  2.1572509 , -1.17773445,
       -2.86101712])]"
movel_fit,"[array([  463.9153379 , -1223.02454047,   730.4639284 ])]","[array([-0.76762309,  0.10088761,  0.75081184,  2.12583453, -1.18073484,
       -2.87516156])]"
movel_fit,"[array([  468.74333057, -1233.77776808,   720.98599128])]","[array([-0.76770594,  0.11996695,  0.74601385,  2.11346046, -1.17813672,
       -2.87888229])]"
movel_fit,"[array([  473.65949157, -1245.84101968,   714.07894034])]","[array([-0.77420652,  0.13282641,  0.73379922,  2.11655443, -1.17032882,
       -2.87504049])]"
movel_fit,"[array([  478.92161537, -1259.3011256 ,   708.12774113])]","[array([-0.78766942,  0.14046879,  0.71379481,  2.13651448, -1.15621075,
       -2.86166669])]"
movel_fit,"[array([  483.28154656, -1276.17907655,   704.50826403])]","[array([-0.81258396,  0.14199606,  0.68253459,  2.18129637, -1.13414806,
       -2.83634431])]"
movel_fit,"[array([  487.18943969, -1296.74788954,   702.70873644])]","[array([-0.8548083 ,  0.13886832,  0.63567138,  2.26547947, -1.104151  ,
       -2.79247199])]"
movel_fit,"[array([  491.35223028, -1431.91054505,   679.77754903])]","[array([-1.22455852,  0.08035508,  0.51531307,  3.01659307, -0.8242315 ,
       -2.45822967])]"
