breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 929.41121372, -506.72253554,  769.04660022])]","[array([-0.64866735,  0.1167812 , -0.09699595, -0.33132048, -1.78364059,
        2.1889861 ])]"
499,movel_fit,"[array([ 929.29687604, -496.46903793,  769.02209111])]","[array([-0.64174216,  0.1106735 , -0.10388032, -0.3327001 , -1.78264675,
        2.18830229])]"
998,movel_fit,"[array([ 929.12368178, -486.21599353,  769.0060135 ])]","[array([-0.63511679,  0.103919  , -0.11132463, -0.33454443, -1.78099211,
        2.18835031])]"
1497,movel_fit,"[array([ 928.89158687, -475.96334671,  768.99805714])]","[array([-0.6287877 ,  0.09650539, -0.11932938, -0.3368426 , -1.77867164,
        2.18911638])]"
1996,movel_fit,"[array([ 928.60052495, -465.711091  ,  768.99770428])]","[array([-0.62275071,  0.08842346, -0.12789335, -0.33958264, -1.77568512,
        2.19059708])]"
2495,movel_fit,"[array([ 928.25044624, -455.46004559,  769.00422793])]","[array([-0.61700286,  0.07966507, -0.13701554, -0.34275401, -1.77203339,
        2.19278929])]"
2994,movel_fit,"[array([ 927.84130912, -445.21081629,  769.01669025])]","[array([-0.61154169,  0.07022253, -0.14669578, -0.34634783, -1.76771832,
        2.19568979])]"
3493,movel_fit,"[array([ 927.37313768, -434.96477944,  769.03394173])]","[array([-0.60636561,  0.0600898 , -0.15693349, -0.35035639, -1.76274347,
        2.19929435])]"
3992,movel_fit,"[array([ 926.84591405, -424.72133403,  769.05462755])]","[array([-0.6014724 ,  0.04926004, -0.16773023, -0.35477413, -1.75711297,
        2.20359818])]"
4491,movel_fit,"[array([ 926.259748  , -414.481288  ,  769.07718555])]","[array([-0.59686077,  0.03772927, -0.17908592, -0.35959626, -1.75083353,
        2.20859412])]"
4990,movel_fit,"[array([ 925.61480212, -404.2446999 ,  769.09985525])]","[array([-0.59252906,  0.02549465, -0.19100061, -0.3648194 , -1.74391371,
        2.2142727 ])]"
5489,movel_fit,"[array([ 924.91136531, -394.01178238,  769.12068456])]","[array([-0.58847542,  0.01255591, -0.20347308, -0.37044099, -1.73636487,
        2.22062091])]"
5988,movel_fit,"[array([ 924.14991852, -383.78325421,  769.13754171])]","[array([-5.84697645e-01, -1.08351965e-03, -2.16499682e-01, -3.76458811e-01,
       -1.72820196e+00,  2.22762105e+00])]"
6487,movel_fit,"[array([ 923.33108226, -373.55908126,  769.14813528])]","[array([-0.58119235, -0.01541756, -0.23007537, -0.38287132, -1.7194431 ,
        2.23525048])]"
6986,movel_fit,"[array([ 922.45572513, -363.3394766 ,  769.1500353 ])]","[array([-0.57795504, -0.03043561, -0.24419179, -0.3896768 , -1.71011069,
        2.24347996])]"
7485,movel_fit,"[array([ 921.52499303, -353.12466303,  769.140704  ])]","[array([-0.57497962, -0.04612225, -0.25883696, -0.39687313, -1.70023165,
        2.25227267])]"
7984,movel_fit,"[array([ 920.54040318, -342.91533587,  769.11753523])]","[array([-0.57225816, -0.06245589, -0.2739939 , -0.40445693, -1.68983823,
        2.26158251])]"
8483,movel_fit,"[array([ 919.50365068, -332.71020232,  769.07789337])]","[array([-0.56977986, -0.07941235, -0.28964376, -0.41242507, -1.67896555,
        2.27135519])]"
8982,movel_fit,"[array([ 918.4172128 , -322.5114895 ,  769.01918788])]","[array([-0.5675321 , -0.0969554 , -0.30575695, -0.42076995, -1.66765741,
        2.28152185])]"
