breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 705.92575882, -407.33804282,  859.91625782])]","[array([-0.81038548,  1.86218926,  2.66983024,  2.57294896, -2.13409245,
       -2.04778978])]"
833,movel_fit,"[array([ 720.71300499, -406.62661181,  868.51654096])]","[array([-0.79054072,  1.86262832,  2.63776742,  2.55515219, -2.11084524,
       -2.03056069])]"
1666,movel_fit,"[array([ 735.76482196, -405.81278628,  876.6358241 ])]","[array([-0.76835369,  1.86671175,  2.60636793,  2.53007526, -2.08205537,
       -2.01199698])]"
2499,movel_fit,"[array([ 751.0286898 , -404.73593476,  884.32107226])]","[array([-0.74366069,  1.87392281,  2.57660752,  2.49787705, -2.04860836,
       -1.99228069])]"
3333,movel_fit,"[array([ 766.45226551, -403.25449154,  891.65218399])]","[array([-0.71663387,  1.88332383,  2.54935424,  2.45962464, -2.01211474,
       -1.97154497])]"
4166,movel_fit,"[array([ 781.92047867, -401.27206797,  898.71693544])]","[array([-0.68800714,  1.89353055,  2.52519341,  2.41759695, -1.97484468,
       -1.95005632])]"
4999,movel_fit,"[array([ 797.35800084, -398.74501761,  905.66247938])]","[array([-0.65886153,  1.90293639,  2.50399567,  2.37480368, -1.93900839,
       -1.92825466])]"
5833,movel_fit,"[array([ 812.69766542, -395.69325408,  912.68148189])]","[array([-0.63048387,  1.90993696,  2.48493529,  2.33451579, -1.90634248,
       -1.90691278])]"
6666,movel_fit,"[array([ 827.795582  , -392.22435135,  919.97521147])]","[array([-0.60428202,  1.91310483,  2.46675889,  2.2999242 , -1.87802997,
       -1.88719571])]"
7499,movel_fit,"[array([ 842.55737875, -388.50597641,  927.80948465])]","[array([-0.58137898,  1.91133442,  2.44791972,  2.27348417, -1.85448172,
       -1.87027809])]"
8333,movel_fit,"[array([ 856.86364364, -384.76462999,  936.47596112])]","[array([-0.56272107,  1.90373563,  2.42691637,  2.25716972, -1.83577428,
       -1.85724862])]"
9166,movel_fit,"[array([ 870.49806566, -381.27393854,  946.21779558])]","[array([-0.54918861,  1.8896119 ,  2.40256844,  2.25274016, -1.82202739,
       -1.84902129])]"
9999,movel_fit,"[array([ 883.24647051, -378.27061536,  957.22073892])]","[array([-0.54146408,  1.8684208 ,  2.37404557,  2.26179075, -1.81352135,
       -1.84611478])]"
10832,movel_fit,"[array([ 894.89542929, -375.87985082,  969.52392526])]","[array([-0.54000257,  1.83984132,  2.3410724 ,  2.28585017, -1.8109054 ,
       -1.84852008])]"
11666,movel_fit,"[array([ 905.3133048 , -374.04138292,  983.00417515])]","[array([-0.54487252,  1.80380974,  2.30401571,  2.32625589, -1.8152124 ,
       -1.85546456])]"
12499,movel_fit,"[array([ 914.47884521, -372.51079852,  997.3803777 ])]","[array([-0.55560394,  1.7606389 ,  2.26403674,  2.38377206, -1.82772504,
       -1.86519125])]"
13332,movel_fit,"[array([ 922.54806553, -370.92087606, 1012.39317542])]","[array([-0.57115947,  1.71078008,  2.2228139 ,  2.45857174, -1.84976372,
       -1.87499184])]"
14166,movel_fit,"[array([ 929.76293904, -368.8845311 , 1027.80859391])]","[array([-0.58981615,  1.65516953,  2.1826095 ,  2.54951229, -1.88215478,
       -1.88147898])]"
14999,movel_fit,"[array([ 936.38110887, -366.08722776, 1043.34973422])]","[array([-0.60898734,  1.59589206,  2.14602255,  2.65276671, -1.92407149,
       -1.88148418])]"
15832,movel_fit,"[array([ 942.7114114 , -362.3395074 , 1058.80879911])]","[array([-0.62574619,  1.53577783,  2.1146252 ,  2.7623194 , -1.97241659,
       -1.87353547])]"
16666,movel_fit,"[array([ 949.08742901, -357.62819046, 1074.00558599])]","[array([-0.63769362,  1.47788357,  2.08806834,  2.87094204, -2.02199861,
       -1.8585216 ])]"
17499,movel_fit,"[array([ 955.85563242, -352.16288097, 1088.75191455])]","[array([-0.64378359,  1.42473105,  2.06416403,  2.97175051, -2.0668717 ,
       -1.83889178])]"
18332,movel_fit,"[array([ 963.43165422, -346.34579725, 1102.95933671])]","[array([-0.64447554,  1.37746648,  2.03971087,  3.06010593, -2.1022465 ,
       -1.81699783])]"
19165,movel_fit,"[array([ 972.26584475, -340.78473962, 1116.52229441])]","[array([-0.64109513,  1.3364638 ,  2.01157011,  3.13263588, -2.12457738,
       -1.79448652])]"
19999,movel_fit,"[array([ 982.78395412, -336.23439677, 1129.25063121])]","[array([-0.63521359,  1.30187058,  1.97709034,  3.18600451, -2.13104343,
       -1.77276298])]"
20832,movel_fit,"[array([ 995.12185621, -333.39370173, 1140.73586281])]","[array([-0.6281775 ,  1.27413656,  1.9348063 ,  3.21592546, -2.11942471,
       -1.75406995])]"
21665,movel_fit,"[array([1009.05589356, -332.43921046, 1150.60648319])]","[array([-0.6205196 ,  1.25336055,  1.88451475,  3.21894349, -2.08895702,
       -1.74157113])]"
22499,movel_fit,"[array([1024.13269551, -332.8719267 , 1158.73100291])]","[array([-0.61167588,  1.23893334,  1.82687462,  3.1940917 , -2.04040779,
       -1.73855918])]"
23332,movel_fit,"[array([1039.92836778, -333.82591916, 1165.2556308 ])]","[array([-0.60032031,  1.2295432 ,  1.76282256,  3.14376761, -1.97544211,
       -1.74732662])]"
24165,movel_fit,"[array([1056.20899903, -334.45708896, 1170.50866543])]","[array([-0.58506316,  1.22325779,  1.6933936 ,  3.07405008, -1.89634074,
       -1.76837195])]"
24999,movel_fit,"[array([1072.7797923 , -334.1268588 , 1174.87766908])]","[array([-0.56548213,  1.21736683,  1.62033978,  2.99574192, -1.80730459,
       -1.79967336])]"
