breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 705.91588888, -407.33735501,  859.93332606])]","[array([-0.81045802,  1.86206765,  2.66987646,  2.57315806, -2.13427275,
       -2.04781729])]"
531,movel_fit,"[array([ 715.30864115, -406.88774804,  865.47244046])]","[array([-0.79806516,  1.86191074,  2.64940552,  2.56264322, -2.12011894,
       -2.03700099])]"
1072,movel_fit,"[array([ 724.99771241, -406.41605451,  870.91078924])]","[array([-0.78451211,  1.86332785,  2.62869056,  2.5489472 , -2.10329974,
       -2.02536776])]"
1620,movel_fit,"[array([ 734.91961878, -405.87172715,  876.21551003])]","[array([-0.76973058,  1.86629852,  2.60810669,  2.53188724, -2.08392609,
       -2.01304333])]"
2165,movel_fit,"[array([ 744.8815896 , -405.22110359,  881.30241651])]","[array([-0.75393937,  1.87063337,  2.58831482,  2.51181058, -2.06259252,
       -2.00028288])]"
2706,movel_fit,"[array([ 754.84164532, -404.42548499,  886.18322625])]","[array([-0.73722008,  1.87605401,  2.56960869,  2.48905842, -2.03981106,
       -1.98717458])]"
3244,movel_fit,"[array([ 764.80001016, -403.45225932,  890.89453932])]","[array([-0.71966269,  1.88224272,  2.55214861,  2.46406271, -2.01609331,
       -1.97373676])]"
3782,movel_fit,"[array([ 774.78839821, -402.27102403,  895.4919678 ])]","[array([-0.70137147,  1.88884612,  2.53596738,  2.43732484, -1.99193114,
       -1.95995888])]"
4323,movel_fit,"[array([ 784.83633647, -400.85719731,  900.03390471])]","[array([-0.68251861,  1.89547133,  2.52101888,  2.4094758 , -1.9678275 ,
       -1.94586129])]"
4870,movel_fit,"[array([ 794.97539229, -399.19159582,  904.58704608])]","[array([-0.66333199,  1.90168998,  2.50715015,  2.38125048, -1.94425661,
       -1.9315183 ])]"
5422,movel_fit,"[array([ 805.16659098, -397.27586231,  909.1968508 ])]","[array([-0.64422082,  1.90701028,  2.49417975,  2.35365667, -1.92178951,
       -1.91718028])]"
5969,movel_fit,"[array([ 815.18818953, -395.16687105,  913.83565321])]","[array([-0.62594454,  1.91089496,  2.4820106 ,  2.32816198, -1.90123986,
       -1.9034226 ])]"
6491,movel_fit,"[array([ 824.65707361, -392.99025282,  918.39264808])]","[array([-0.6094541 ,  1.91296484,  2.4706473 ,  2.30631973, -1.88343622,
       -1.89101913])]"
6975,movel_fit,"[array([ 833.32693543, -390.86795341,  922.7868836 ])]","[array([-0.59525235,  1.913214  ,  2.45999617,  2.28879046, -1.86859899,
       -1.88041704])]"
7418,movel_fit,"[array([ 841.1501889 , -388.87371887,  926.99905918])]","[array([-0.58334472,  1.91187349,  2.44988544,  2.27540169, -1.85644994,
       -1.8716679 ])]"
7825,movel_fit,"[array([ 848.22474497, -387.03009196,  931.06637218])]","[array([-0.57344577,  1.90921279,  2.44009836,  2.26558267, -1.84649588,
       -1.86457591])]"
8200,movel_fit,"[array([ 854.6307263 , -385.34857341,  935.0108365 ])]","[array([-0.56529844,  1.90546863,  2.43051688,  2.25882396, -1.83835169,
       -1.858947  ])]"
8553,movel_fit,"[array([ 860.54637125, -383.8036231 ,  938.91706084])]","[array([-0.55854711,  1.90076004,  2.42090682,  2.25459581, -1.83158678,
       -1.85450996])]"
