breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([1022.36735367, -841.09811487,  972.82896355])]","[array([-0.84899467, -0.23970751,  0.58135615,  0.37814708,  1.20903987,
       -2.87619581])]"
499,movel_fit,"[array([1019.97877353, -825.02773151,  966.25093126])]","[array([-0.85352324, -0.24546842,  0.59496685,  0.40272366,  1.21433299,
       -2.87142008])]"
999,movel_fit,"[array([1017.89324308, -808.72015003,  960.07665239])]","[array([-0.85373342, -0.24927593,  0.60524384,  0.41923439,  1.22161041,
       -2.85430076])]"
1499,movel_fit,"[array([1016.11990655, -792.2210106 ,  954.3300763 ])]","[array([-0.8520007 , -0.25205892,  0.61382064,  0.43245084,  1.22987624,
       -2.83182027])]"
1999,movel_fit,"[array([1014.66159269, -775.54558944,  949.02024469])]","[array([-0.84957971, -0.25436193,  0.6216556 ,  0.44489172,  1.23858285,
       -2.8076793 ])]"
2499,movel_fit,"[array([1013.51959014, -758.71055902,  944.15439766])]","[array([-0.84701077, -0.25649293,  0.62923362,  0.45762772,  1.24741444,
       -2.78354796])]"
2999,movel_fit,"[array([1012.69346638, -741.7336391 ,  939.73762604])]","[array([-0.8444282 , -0.258591  ,  0.63673075,  0.47091609,  1.25621577,
       -2.75994586])]"
3499,movel_fit,"[array([1012.18099523, -724.63319578,  935.77265214])]","[array([-0.84177689, -0.26069059,  0.64415349,  0.48464027,  1.26492979,
       -2.73685741])]"
3999,movel_fit,"[array([1011.97817005, -707.4278345 ,  932.25972578])]","[array([-0.83894697, -0.26277926,  0.6514426 ,  0.4985782 ,  1.27354301,
       -2.71411013])]"
4499,movel_fit,"[array([1012.07928271, -690.13601721,  929.19662025])]","[array([-0.8358427 , -0.2648394 ,  0.65853763,  0.51253722,  1.28204724,
       -2.69156556])]"
4999,movel_fit,"[array([1012.47705112, -672.77572209,  926.57871186])]","[array([-0.83240681, -0.26687141,  0.66540733,  0.52640058,  1.2904196 ,
       -2.6691845 ])]"
5499,movel_fit,"[array([1013.16278073, -655.36415525,  924.39912634])]","[array([-0.82861909, -0.26890078,  0.67205552,  0.54012388,  1.29861741,
       -2.64702047])]"
5999,movel_fit,"[array([1014.12654756, -637.91751772,  922.64893582])]","[array([-0.82448319, -0.27097355,  0.67851174,  0.55370911,  1.30658313,
       -2.62518082])]"
6499,movel_fit,"[array([1015.35739212, -620.45082646,  921.31739076])]","[array([-0.82001101, -0.27314521,  0.68481536,  0.56717408,  1.31425441,
       -2.60378158])]"
6999,movel_fit,"[array([1016.8435157 , -602.97778576,  920.39217292])]","[array([-0.81521009, -0.27546755,  0.69099951,  0.58052783,  1.32157521,
       -2.58291139])]"
7499,movel_fit,"[array([1018.5724719 , -585.51070381,  919.85965668])]","[array([-0.8100764 , -0.2779774 ,  0.69707918,  0.59375632,  1.3285046 ,
       -2.56261097])]"
7999,movel_fit,"[array([1020.53134772, -568.06044866,  919.70516818])]","[array([-0.80459258, -0.28068962,  0.70304562,  0.60681868,  1.33502174,
       -2.5428686 ])]"
8499,movel_fit,"[array([1022.70693017, -550.63643787,  919.91323364])]","[array([-0.79873045, -0.28359512,  0.70886672,  0.61965144,  1.34112644,
       -2.5236278 ])]"
