breakpoints,primitives,points,q_bp
0,moveabsj,"[array([ 1426.3852095 , -1196.96529999,   292.88559464])]","[array([-0.84190536,  0.61401203,  0.2305977 , -2.70622154, -0.74584949,
       -2.21577141])]"
1665,movel_fit,"[array([ 1414.85575544, -1150.27067974,   326.10851913])]","[array([-0.83979258,  0.5937061 ,  0.23814125, -2.69233789, -0.81113069,
       -2.23190175])]"
3332,movel_fit,"[array([ 1406.656017  , -1106.32721334,   363.88130958])]","[array([-0.83442752,  0.5776884 ,  0.23399101, -2.69014176, -0.88391775,
       -2.25892784])]"
4999,movel_fit,"[array([ 1401.80800085, -1065.67147722,   405.70059669])]","[array([-0.83037771,  0.56510178,  0.22435181, -2.68076022, -0.96046448,
       -2.28643226])]"
6665,movel_fit,"[array([ 1400.11489854, -1028.57697918,   450.89406637])]","[array([-0.82670795,  0.55463549,  0.21096082, -2.66746214, -1.03673377,
       -2.31344821])]"
8332,movel_fit,"[array([1401.21802022, -994.99209977,  498.81828231])]","[array([-0.82324779,  0.54433503,  0.19654894, -2.65068613, -1.10880651,
       -2.33763378])]"
9999,movel_fit,"[array([1404.67286156, -964.71850884,  548.79756575])]","[array([-0.81950649,  0.53313075,  0.18202209, -2.63235465, -1.1748984 ,
       -2.35864154])]"
11665,movel_fit,"[array([1410.00267021, -937.40867857,  600.258454  ])]","[array([-0.81484802,  0.52140794,  0.16620673, -2.61496082, -1.23589346,
       -2.37812316])]"
13332,movel_fit,"[array([1416.75524303, -912.59294663,  652.84481329])]","[array([-0.80899885,  0.50971982,  0.14809126, -2.59960764, -1.29305278,
       -2.39734447])]"
14999,movel_fit,"[array([1424.50139466, -889.82582499,  706.21881378])]","[array([-0.80198884,  0.49819987,  0.12755168, -2.58639284, -1.34681992,
       -2.41659255])]"
16665,movel_fit,"[array([1432.84361867, -868.65962925,  760.12427392])]","[array([-0.79388676,  0.48680507,  0.10471939, -2.57528095, -1.39739942,
       -2.43592395])]"
18332,movel_fit,"[array([1441.42682361, -848.62340332,  814.45950743])]","[array([-0.7847263 ,  0.4753424 ,  0.07980391, -2.56627945, -1.44491593,
       -2.45533989])]"
19999,movel_fit,"[array([1449.89701588, -829.29758787,  869.06366566])]","[array([-0.77454707,  0.46339683,  0.05328949, -2.55946697, -1.48907486,
       -2.47460772])]"
21665,movel_fit,"[array([1457.90341445, -810.26564545,  923.79734096])]","[array([-0.7632709 ,  0.45062116,  0.02546234, -2.55527096, -1.52972499,
       -2.49375491])]"
23332,movel_fit,"[array([1465.09753876, -791.07222978,  978.62259822])]","[array([-0.75057957,  0.43698977, -0.00398618, -2.5546544 , -1.56732284,
       -2.51346345])]"
24999,movel_fit,"[array([1471.08838539, -771.28419913, 1033.38051473])]","[array([-0.73607519,  0.42235193, -0.03519104, -2.5587981 , -1.6020725 ,
       -2.53436017])]"
26665,movel_fit,"[array([1475.44598087, -750.45256729, 1087.86293209])]","[array([-0.71944856,  0.40570989, -0.06724123, -2.56871351, -1.63300319,
       -2.55620606])]"
28332,movel_fit,"[array([1477.69576023, -728.0695015 , 1141.88408603])]","[array([-0.70033241,  0.38546362, -0.09855594, -2.58555426, -1.65842164,
       -2.57836988])]"
29999,movel_fit,"[array([1477.30022339, -703.64847173, 1195.05224049])]","[array([-0.67805076,  0.36030024, -0.12771191, -2.61109404, -1.67698404,
       -2.60081411])]"
31665,movel_fit,"[array([1473.68926871, -676.72332613, 1246.8273153 ])]","[array([-0.65163901,  0.32904289, -0.15308182, -2.64736251, -1.68752278,
       -2.62383158])]"
33332,movel_fit,"[array([1466.29509674, -646.86085406, 1296.57795296])]","[array([-0.62018547,  0.28999579, -0.17174069, -2.69561227, -1.68808926,
       -2.64699862])]"
34999,movel_fit,"[array([1454.65648075, -613.84613281, 1343.41888471])]","[array([-0.58299849,  0.2419726 , -0.18029819, -2.75573023, -1.67713148,
       -2.66975339])]"
36665,movel_fit,"[array([1438.54062919, -577.71959999, 1386.42707949])]","[array([-0.53938716,  0.18584671, -0.17716747, -2.82663728, -1.65583659,
       -2.6930211 ])]"
38332,movel_fit,"[array([1417.99268027, -538.73591355, 1424.8817208 ])]","[array([-0.48866999,  0.12465805, -0.16336852, -2.90681163, -1.62853665,
       -2.71941699])]"
39999,movel_fit,"[array([1393.39979615, -497.45477336, 1458.26005646])]","[array([-0.43024851,  0.06326977, -0.1423995 , -2.99497535, -1.60220791,
       -2.75272557])]"
41665,movel_fit,"[array([1365.37999883, -454.55265507, 1486.41823482])]","[array([-0.36419846,  0.00645051, -0.11809357, -3.08929657, -1.58392709,
       -2.79554877])]"
43332,movel_fit,"[array([1334.56776306, -410.56955103, 1509.61731146])]","[array([-0.29248068, -0.0435704 , -0.09209443, -3.18514068, -1.57732102,
       -2.84635389])]"
44999,movel_fit,"[array([1301.58630181, -365.98830342, 1528.27226779])]","[array([-0.21637657, -0.08454393, -0.06659732, -3.28008867, -1.58580221,
       -2.9035549 ])]"
46665,movel_fit,"[array([1266.97419663, -321.18233753, 1542.88037328])]","[array([-0.13738271, -0.11487546, -0.04297704, -3.37201845, -1.61137125,
       -2.96449611])]"
48332,movel_fit,"[array([1231.09667518, -276.32509571, 1553.97136458])]","[array([-0.05815212, -0.13596103, -0.02004673, -3.45721327, -1.65119784,
       -3.02462881])]"
49999,movel_fit,"[array([1194.28194332, -231.59209285, 1562.0061645 ])]","[array([ 1.58912749e-02, -1.51424700e-01,  3.18692622e-03, -3.52717655e+00,
       -1.69870654e+00, -3.07694875e+00])]"
