breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 1426.38943772, -1196.98071153,   292.87565511])]","[array([-0.841902  ,  0.61401726,  0.23059369, -2.70624097, -0.74582502,
       -2.21577095])]"
4234,movec_fit,"[array([ 1412.30319944, -1137.99837187,   335.95840377]), array([ 1403.65000489, -1083.94320243,   385.99362146])]","[array([-0.8380527 ,  0.58970052,  0.23639702, -2.69321884, -0.83163298,
       -2.24427965]), array([-0.83233157,  0.56920163,  0.23143566, -2.68487866, -0.92310414,
       -2.26444786])]"
7063,movec_fit,"[array([ 1400.65429768, -1048.26492777,   425.99406866]), array([ 1400.14518893, -1020.29960032,   462.07047872])]","[array([-0.8288297 ,  0.55998213,  0.21889945, -2.67435515, -0.99521015,
       -2.30065129]), array([-0.82557233,  0.55265547,  0.20669585, -2.66517397, -1.05544187,
       -2.31647059])]"
8994,movec_fit,"[array([ 1400.82024089, -1000.87856772,   489.87750555]), array([1402.33864717, -982.64398689,  518.40251907])]","[array([-0.8238532 ,  0.54598535,  0.19950885, -2.65396667, -1.0956528 ,
       -2.33279499]), array([-0.82189792,  0.54058616,  0.19017808, -2.64337924, -1.13661942,
       -2.34762773])]"
10910,movec_fit,"[array([1404.53925875, -965.5443677 ,  547.3337425 ]), array([1407.38701555, -949.49580862,  576.72530476])]","[array([-0.81959479,  0.53326815,  0.18264039, -2.6328553 , -1.17276182,
       -2.35856   ]), array([-0.81717084,  0.5271117 ,  0.17326587, -2.62261918, -1.20941554,
       -2.36839196])]"
12830,movec_fit,"[array([1410.7632599 , -934.24018435,  606.63880205]), array([1414.60284384, -919.87286337,  636.85556434])]","[array([-0.81413069,  0.51979419,  0.16423949, -2.61309333, -1.24284832,
       -2.38045415]), array([-0.81100818,  0.51356952,  0.15356097, -2.60373016, -1.27669566,
       -2.39160511])]"
14705,movec_fit,"[array([1418.69820366, -906.48003924,  666.67160411]), array([1423.086885  , -893.75157454,  696.69741322])]","[array([-0.80722752,  0.50656619,  0.14305472, -2.59605022, -1.30717625,
       -2.40254097]), array([-0.80339984,  0.50050462,  0.13116188, -2.58838359, -1.33797542,
       -2.41281691])]"
16386,movec_fit,"[array([1427.19399901, -882.74213951,  723.79569556]), array([1431.42842489, -872.14612337,  751.00072538])]","[array([-0.79940685,  0.49436824,  0.12036449, -2.5826148 , -1.36358833,
       -2.42293064]), array([-0.79539519,  0.48891469,  0.10859232, -2.5768018 , -1.38939366,
       -2.43261876])]"
19039,movec_fit,"[array([1439.43533117, -853.14906349,  801.94950322]), array([1445.03728538, -840.39376773,  837.52890953])]","[array([-0.78681307,  0.47770096,  0.0858308 , -2.56845044, -1.43388425,
       -2.45101386]), array([-0.78075895,  0.47093355,  0.06846503, -2.5625236 , -1.46489927,
       -2.46330527])]"
20911,movec_fit,"[array([1449.78252985, -829.59843114,  868.24578824]), array([1454.35826268, -818.91173616,  898.95122673])]","[array([-0.77467066,  0.46352351,  0.05367923, -2.55964368, -1.48837812,
       -2.47431413]), array([-0.76860175,  0.45666258,  0.03818597, -2.55660194, -1.51191018,
       -2.48508206])]"
24061,movec_fit,"[array([1463.31785244, -796.11772095,  964.27895432]), array([1467.90203931, -782.54484385, 1002.51908999])]","[array([-0.75383808,  0.44038653,  0.00383508, -2.55500523, -1.55743289,
       -2.50836385]), array([-0.74490287,  0.43123415, -0.0173155 , -2.55457328, -1.58354261,
       -2.52211609])]"
26145,movec_fit,"[array([1471.41076098, -770.0236059 , 1036.75419955]), array([1474.30195957, -757.12851926, 1070.83285406])]","[array([-0.73499845,  0.42125778, -0.03719002, -2.55954609, -1.60394814,
       -2.53567503]), array([-0.7250936 ,  0.41150891, -0.0572235 , -2.56429881, -1.62422378,
       -2.5493778 ])]"
28145,movec_fit,"[array([1476.33093146, -744.19446074, 1103.44561816]), array([1477.58056248, -730.70964736, 1135.7978577 ])]","[array([-0.71405138,  0.40004488, -0.07636864, -2.5733148 , -1.64057309,
       -2.56251431]), array([-0.7029703 ,  0.38853307, -0.09519894, -2.58217737, -1.6566644 ,
       -2.57597457])]"
30012,movec_fit,"[array([1477.87843376, -717.43229671, 1165.77450525]), array([1477.30308166, -703.48931448, 1195.40452338])]","[array([-0.69064947,  0.37467735, -0.11195105, -2.59626379, -1.66735415,
       -2.58829494]), array([-0.67820245,  0.36050576, -0.12791572, -2.61031978, -1.67765488,
       -2.6010815 ])]"
31894,movec_fit,"[array([1475.66407202, -688.57872078, 1224.87284081]), array([1472.93200108, -672.8463906 , 1253.74819907])]","[array([-0.66328016,  0.34296345, -0.14282791, -2.63108712, -1.68370202,
       -2.61384271]), array([-0.64809099,  0.32478676, -0.15621421, -2.65193429, -1.68907123,
       -2.62718815])]"
33759,movec_fit,"[array([1468.97471228, -656.26628968, 1281.70821432]), array([1463.7595475 , -638.75573316, 1308.84136631])]","[array([-0.63012523,  0.30247963, -0.16690106, -2.68022262, -1.68867572,
       -2.63987449]), array([-0.61162519,  0.27917917, -0.17524849, -2.7088017 , -1.68725192,
       -2.65310482])]"
35987,movec_fit,"[array([1455.70524326, -616.46411731, 1339.9656651 ]), array([1445.67990395, -592.83497046, 1369.39664837])]","[array([-0.5857318 ,  0.24559572, -0.17996049, -2.75155175, -1.67787572,
       -2.66805435]), array([-0.55857449,  0.21014898, -0.18006356, -2.79502664, -1.66644432,
       -2.68324316])]"
39403,movec_fit,"[array([1426.36600636, -553.94190548, 1410.74490714]), array([1402.65101248, -512.48108516, 1446.87765176])]","[array([-0.50829532,  0.14916424, -0.1708196 , -2.87637294, -1.64044965,
       -2.71054557]), array([-0.45332106,  0.08304983, -0.14815511, -2.96031036, -1.60829164,
       -2.73560209])]"
41584,movec_fit,"[array([1385.44305331, -484.90161611, 1467.1301083 ]), array([1366.84030009, -456.71334302, 1485.11830085])]","[array([-0.411464  ,  0.04651397, -0.13614097, -3.02228247, -1.59680191,
       -2.76475923]), array([-0.36741422,  0.00762783, -0.11786833, -3.0850505 , -1.58232851,
       -2.79252807])]"
43514,movec_fit,"[array([1349.36853034, -431.35295373, 1499.30539587]), array([1331.09484797, -405.77357503, 1511.82335048])]","[array([-0.32671391, -0.02032752, -0.10511755, -3.14018075, -1.57985621,
       -2.82228714]), array([-0.28443052, -0.0499032 , -0.087869  , -3.19560328, -1.57534235,
       -2.85098304])]"
45476,movec_fit,"[array([1311.77800877, -379.53258325, 1523.07579934]), array([1291.86007086, -353.22461765, 1532.80614077])]","[array([-0.23987047, -0.07228393, -0.07506346, -3.25138841, -1.58290367,
       -2.8859785 ]), array([-0.19383403, -0.09623677, -0.05780384, -3.30713531, -1.58848541,
       -2.92014577])]"
47586,movec_fit,"[array([1269.83422313, -324.81666037, 1541.83839499]), array([1247.32406579, -296.44534359, 1549.38127202])]","[array([-0.14401296, -0.11190079, -0.04570477, -3.36442881, -1.61006905,
       -2.95949746]), array([-0.09283485, -0.12917621, -0.02868007, -3.42123045, -1.62945509,
       -2.99841244])]"
49999,movec_fit,"[array([1222.23477384, -265.4426997 , 1556.19236041]), array([1194.32850576, -231.64562546, 1562.00849927])]","[array([-0.03994274, -0.13953863, -0.01505569, -3.47514473, -1.66310006,
       -3.03774841]), array([ 1.53364860e-02, -1.50509441e-01,  2.26632976e-03, -3.52639350e+00,
       -1.69989552e+00, -3.07637065e+00])]"
