primitives,points,q_bp
moveabsj_fit,"[array([ 1453.73570664, -1286.16693643,   244.00083044])]","[array([-0.84359662,  0.64967852,  0.20846274, -2.73651013, -0.63967027,
       -2.15862472])]"
movec_fit,"[array([ 1420.78429799, -1177.15060442,   305.83576531]), array([ 1403.42073822, -1083.89585668,   385.92464109])]","[array([-0.84878367,  0.63237394,  0.19774167, -2.69235702, -0.83075401,
       -2.25586065]), array([-0.83233157,  0.56920163,  0.23143565, -2.68487866, -0.92310415,
       -2.26444786])]"
movec_fit,"[array([ 1400.49417801, -1048.353062  ,   426.06568631]), array([ 1400.10633423, -1020.21552521,   462.01778634])]","[array([-0.82875041,  0.56015844,  0.21858951, -2.67472632, -0.99556152,
       -2.30055209]), array([-0.82557233,  0.55265547,  0.20669584, -2.66517397, -1.05544187,
       -2.31647059])]"
movec_fit,"[array([ 1400.67495366, -1000.91332288,   489.89619569]), array([1402.09037389, -982.81302737,  518.52714821])]","[array([-0.8238459 ,  0.54604344,  0.19942898, -2.65401277, -1.09575593,
       -2.33280995]), array([-0.82189792,  0.54058616,  0.19017809, -2.64337924, -1.13661941,
       -2.34762773])]"
movec_fit,"[array([1404.28388681, -965.72887319,  547.44875048]), array([1407.1353681 , -949.67319532,  576.86093238])]","[array([-0.8196069 ,  0.53329043,  0.18262628, -2.63282347, -1.17279617,
       -2.35858838]), array([-0.81717083,  0.5271117 ,  0.17326586, -2.62261918, -1.20941555,
       -2.36839195])]"
movec_fit,"[array([1410.51788929, -934.44601336,  606.783365  ]), array([1414.34637169, -920.10389592,  637.00464241])]","[array([-0.81414541,  0.51981273,  0.16423437, -2.61305198, -1.24287495,
       -2.38048137]), array([-0.81100818,  0.51356952,  0.15356098, -2.60373016, -1.27669565,
       -2.39160511])]"
movec_fit,"[array([1418.47090306, -906.70122386,  666.80294299]), array([1422.88515106, -893.96786839,  696.82079139])]","[array([-0.80724184,  0.50657542,  0.14306089, -2.59600825, -1.30718784,
       -2.40255973]), array([-0.80339984,  0.50050462,  0.13116187, -2.58838359, -1.33797542,
       -2.41281691])]"
movec_fit,"[array([1427.00498789, -882.98520984,  723.91666083]), array([1431.25696115, -872.4035731 ,  751.13160268])]","[array([-0.79942056,  0.49437793,  0.1203705 , -2.58257468, -1.36360065,
       -2.42294659]), array([-0.79539519,  0.48891469,  0.10859232, -2.5768018 , -1.38939366,
       -2.43261876])]"
movec_fit,"[array([1439.3308671 , -853.40027979,  802.05248543]), array([1444.91287077, -840.68968869,  837.6642345 ])]","[array([-0.78683271,  0.47771709,  0.0858389 , -2.56839259, -1.43390526,
       -2.45103342]), array([-0.78075895,  0.47093355,  0.06846503, -2.5625236 , -1.46489927,
       -2.46330527])]"
movec_fit,"[array([1449.65980818, -829.92563422,  868.39293813]), array([1454.22070877, -819.23808989,  899.0932537 ])]","[array([-0.77468558,  0.46353477,  0.05368731, -2.5595993 , -1.48839269,
       -2.47432558]), array([-0.76860175,  0.45666258,  0.03818597, -2.55660194, -1.51191018,
       -2.48508206])]"
movec_fit,"[array([1463.25008268, -796.40352476,  964.38276519]), array([1467.7828092 , -782.9680079 , 1002.68801126])]","[array([-0.75388959,  0.44041673,  0.00387377, -2.55485129, -1.55747144,
       -2.50838536]), array([-0.74490287,  0.43123415, -0.01731551, -2.55457328, -1.58354261,
       -2.52211609])]"
movec_fit,"[array([1471.31652914, -770.4583494 , 1036.91768319]), array([1474.22981251, -757.56335845, 1071.01524372])]","[array([-0.73502075,  0.42127748, -0.03717901, -2.55947827, -1.60397496,
       -2.53568344]), array([-0.7250936 ,  0.41150891, -0.05722351, -2.56429881, -1.62422378,
       -2.5493778 ])]"
movec_fit,"[array([1476.27020139, -744.68361423, 1103.63286912]), array([1477.55342164, -731.23229875, 1136.03330153])]","[array([-0.71407926,  0.40008634, -0.07637054, -2.57322695, -1.64063196,
       -2.56252771]), array([-0.7029703 ,  0.38853307, -0.09519895, -2.58217737, -1.65666441,
       -2.57597457])]"
movec_fit,"[array([1477.90337791, -717.93796886, 1166.01729374]), array([1477.34773469, -704.0112269 , 1195.6682622 ])]","[array([-0.69067697,  0.37471469, -0.1119518 , -2.59617883, -1.66740766,
       -2.5883022 ]), array([-0.67820245,  0.36050577, -0.12791573, -2.61031978, -1.67765488,
       -2.6010815 ])]"
movec_fit,"[array([1475.67494048, -689.20455996, 1225.20992557]), array([1472.9299659 , -673.54358344, 1254.15615389])]","[array([-0.66331394,  0.34299629, -0.1428213 , -2.63098837, -1.6837493 ,
       -2.61384276]), array([-0.64809099,  0.32478676, -0.15621421, -2.65193429, -1.68907123,
       -2.62718815])]"
movec_fit,"[array([1469.12440178, -656.78014478, 1282.06841726]), array([1464.07037164, -639.11157535, 1309.16360246])]","[array([-0.63015364,  0.30251431, -0.16690666, -2.68014158, -1.68872673,
       -2.63987529]), array([-0.61162519,  0.27917917, -0.1752485 , -2.7088017 , -1.68725192,
       -2.65310482])]"
movec_fit,"[array([1456.04410815, -616.84996479, 1340.37265317]), array([1446.06808144, -593.17405363, 1369.84871012])]","[array([-0.58578699,  0.24560941, -0.17993248, -2.75141281, -1.67789566,
       -2.66803894]), array([-0.55857449,  0.21014898, -0.18006356, -2.79502664, -1.66644432,
       -2.68324316])]"
movec_fit,"[array([1426.89337318, -553.97864873, 1411.08777254]), array([1402.928111  , -512.82501737, 1447.55057429])]","[array([-0.50843864,  0.14907066, -0.17065917, -2.87605438, -1.64030796,
       -2.71047969]), array([-0.45332106,  0.08304983, -0.14815512, -2.96031036, -1.60829165,
       -2.73560209])]"
movec_fit,"[array([1385.84143908, -484.94867114, 1467.5943655 ]), array([1367.33959307, -456.63137806, 1485.56269119])]","[array([-0.41162118,  0.04639213, -0.13598444, -3.0219541 , -1.59661703,
       -2.76470373]), array([-0.36741422,  0.00762784, -0.11786834, -3.0850505 , -1.58232851,
       -2.79252807])]"
