primitives,p_bp,q_bp
moveabsj_fit,"[array([ 1459.02528609, -1305.75979355,   231.52770569])]","[array([-0.84901072,  0.67266554,  0.18612196, -2.7375878 , -0.63630481,
       -2.16145428])]"
movec_fit,"[array([ 1420.57006131, -1177.20638779,   305.81276258]), array([ 1403.32760069, -1083.7857299 ,   385.77960755])]","[array([-0.84969967,  0.63103371,  0.20080803, -2.68829537, -0.82757602,
       -2.25840105]), array([-0.83240361,  0.56906717,  0.23188101, -2.68479256, -0.92284724,
       -2.26467626])]"
movec_fit,"[array([ 1400.37671169, -1048.43234731,   426.10084271]), array([ 1400.32219488, -1019.96345709,   461.80258932])]","[array([-0.8286596 ,  0.56050309,  0.21780067, -2.67594956, -0.99657319,
       -2.30027387]), array([-0.82537885,  0.55269495,  0.20691056, -2.66504534, -1.05515165,
       -2.31646129])]"
movec_fit,"[array([ 1400.39602389, -1000.60536773,   489.69951452]), array([1401.91026623, -982.96402931,  518.59608754])]","[array([-0.8239263 ,  0.54608024,  0.19967078, -2.65403579, -1.09604181,
       -2.33321939]), array([-0.82218414,  0.54044576,  0.19020074, -2.64350955, -1.1368247 ,
       -2.34777211])]"
movec_fit,"[array([1404.07477292, -965.77178247,  547.47741538]), array([1406.93306498, -949.72587648,  576.85472155])]","[array([-0.81993146,  0.53324895,  0.1826593 , -2.6327904 , -1.1731618 ,
       -2.35891478]), array([-0.81743301,  0.52693634,  0.1734067 , -2.62272884, -1.20954495,
       -2.36855974])]"
movec_fit,"[array([1410.34229341, -934.49674024,  606.83783553]), array([1414.1986696 , -920.19017714,  637.07349685])]","[array([-0.81447431,  0.51975245,  0.16425075, -2.61298177, -1.24323346,
       -2.38075115]), array([-0.81128184,  0.51343388,  0.15355337, -2.60386578, -1.27692881,
       -2.39172138])]"
movec_fit,"[array([1418.34471145, -906.7958842 ,  666.86892007]), array([1422.76980149, -894.07427529,  696.91201194])]","[array([-0.80756205,  0.5065666 ,  0.14299652, -2.59594442, -1.30753892,
       -2.40277535]), array([-0.80364091,  0.50042639,  0.1310726 , -2.58850755, -1.33822017,
       -2.41289661])]"
movec_fit,"[array([1426.86313096, -883.11758122,  724.03995924]), array([1431.12753416, -872.52977271,  751.19937594])]","[array([-0.79975208,  0.49441387,  0.12020693, -2.58252309, -1.36402806,
       -2.42313296]), array([-0.79565205,  0.48889236,  0.1084374 , -2.5769308 , -1.38965704,
       -2.4327047 ])]"
movec_fit,"[array([1439.26064263, -853.42955261,  802.06828069]), array([1444.802639  , -840.86926997,  837.75502911])]","[array([-0.78707827,  0.4778635 ,  0.08566504, -2.56825537, -1.43425811,
       -2.45119909]), array([-0.78102492,  0.47100463,  0.06815315, -2.56265389, -1.4652257 ,
       -2.46336487])]"
movec_fit,"[array([1449.5302556 , -830.13657697,  868.51419883]), array([1454.10136875, -819.43228738,  899.14706746])]","[array([-0.77504858,  0.46374741,  0.05328032, -2.55953912, -1.48894663,
       -2.47447703]), array([-0.76889351,  0.45676237,  0.03786523, -2.55673506, -1.51223617,
       -2.48517431])]"
