primitives,points,q_bp
moveabsj,"[array([ 76.39112466, 473.74117189, 484.67969691])]","[array([-0.17539321, -0.13578318, -2.03813391, -2.8930825 ,  1.05376009,
       -1.07080656])]"
movel,"[array([ 84.14391911, 519.48410815, 587.01647549])]","[array([-0.06566896, -0.32437351, -1.97639697, -2.96770493,  1.1946333 ,
       -1.09669441])]"
movel,"[array([ 83.53365082, 525.68787259, 601.29257846])]","[array([-0.05204953, -0.33672988, -1.98889408, -2.96667733,  1.21077743,
       -1.1015289 ])]"
movel,"[array([ 81.42271321, 533.54799423, 616.56978026])]","[array([-0.03870528, -0.34778661, -2.00038913, -2.96693012,  1.22589744,
       -1.10895108])]"
movel,"[array([ 77.20507451, 542.05984917, 631.63696601])]","[array([-0.02466277, -0.35759237, -2.01077746, -2.96749006,  1.23979017,
       -1.11750333])]"
movel,"[array([ 70.61073067, 550.27298717, 644.93358469])]","[array([-0.00978544, -0.36607986, -2.01937245, -2.96826461,  1.25113997,
       -1.12612934])]"
movel,"[array([ 61.71644083, 557.49726116, 655.59339724])]","[array([ 0.00634388, -0.37331074, -2.02617077, -2.96841067,  1.25994242,
       -1.13378044])]"
movel,"[array([ 50.78981289, 563.59684809, 663.76283923])]","[array([ 0.02414181, -0.37944502, -2.03194637, -2.96666564,  1.26740252,
       -1.13991914])]"
movel,"[array([ 38.12239637, 568.61481821, 669.76353315])]","[array([ 0.04365795, -0.38462358, -2.03718942, -2.96236081,  1.27442522,
       -1.14442597])]"
movel,"[array([ 24.02525345, 572.4930839 , 673.65612344])]","[array([ 0.06466939, -0.38888429, -2.04194989, -2.95536715,  1.28125057,
       -1.1472517 ])]"
movel,"[array([  8.79162639, 575.12593797, 675.42132611])]","[array([ 0.08696707, -0.39221144, -2.04616504, -2.94568042,  1.28792958,
       -1.14833153])]"
movel,"[array([ -7.34834153, 576.39864194, 674.95854445])]","[array([ 0.11038045, -0.39452968, -2.04978992, -2.93323839,  1.29437957,
       -1.14761715])]"
movel,"[array([-24.15303776, 576.0952594 , 672.03757698])]","[array([ 0.13475749, -0.39572961, -2.05258611, -2.91803556,  1.30036677,
       -1.14495965])]"
movel,"[array([-41.44041452, 574.03123804, 666.45753582])]","[array([ 0.15999348, -0.39565615, -2.05445664, -2.89987026,  1.30571165,
       -1.14025829])]"
movel,"[array([-59.13523309, 570.02781863, 658.1952709 ])]","[array([ 0.186287  , -0.39412229, -2.05550215, -2.87831535,  1.3105526 ,
       -1.13336245])]"
movel,"[array([-77.20186056, 563.869516  , 647.1687972 ])]","[array([ 0.21372972, -0.3909969 , -2.05546474, -2.85281097,  1.31506231,
       -1.1241248 ])]"
movel,"[array([-95.5366425 , 555.01163857, 632.85803896])]","[array([ 0.24237914, -0.38585029, -2.05402103, -2.82305755,  1.31856858,
       -1.11227282])]"
movel,"[array([-114.04663504,  542.65114964,  614.60482199])]","[array([ 0.27232138, -0.37814022, -2.05059116, -2.788834  ,  1.32007437,
       -1.09747725])]"
movel,"[array([-132.79600223,  525.96354934,  592.16993377])]","[array([ 0.30365411, -0.36772911, -2.04424037, -2.74973691,  1.31911256,
       -1.07951888])]"
movel,"[array([-151.67947882,  504.01384107,  565.70616442])]","[array([ 0.33673217, -0.3539338 , -2.03522789, -2.70550985,  1.31500628,
       -1.05833047])]"
movel,"[array([-170.67049587,  475.76518146,  535.67434845])]","[array([ 0.37164948, -0.33672183, -2.0229846 , -2.65638076,  1.30701051,
       -1.03411132])]"
movel,"[array([-189.43546277,  440.51292966,  503.37302668])]","[array([ 0.40834754, -0.3165143 , -2.00729547, -2.60343425,  1.29465131,
       -1.00742573])]"
movel,"[array([-207.00093048,  398.56910917,  471.03158277])]","[array([ 0.44672308, -0.29398145, -1.98951087, -2.54783925,  1.27849567,
       -0.97913876])]"
movel,"[array([-221.79112028,  351.2518862 ,  441.09523837])]","[array([ 0.48680259, -0.27097889, -1.97062071, -2.49059535,  1.26047045,
       -0.94955104])]"
movel,"[array([-231.27958995,  301.02279341,  415.41363462])]","[array([ 0.52872028, -0.24872314, -1.95331615, -2.43226527,  1.24265626,
       -0.91855322])]"
movel,"[array([-233.28854861,  250.80949999,  394.69402942])]","[array([ 0.57252863, -0.22865276, -1.9394458 , -2.37353457,  1.22648972,
       -0.88587407])]"
movel,"[array([-227.70305183,  203.36754781,  378.64018655])]","[array([ 0.61704846, -0.21231214, -1.92857789, -2.315669  ,  1.2121303 ,
       -0.85238772])]"
movel,"[array([-214.63031929,  160.76771341,  366.67042567])]","[array([ 0.66186866, -0.20044098, -1.92098391, -2.25918985,  1.19956573,
       -0.81819662])]"
movel,"[array([-194.84253414,  124.6093996 ,  358.16364754])]","[array([ 0.70670196, -0.19328596, -1.91753295, -2.20447432,  1.18836038,
       -0.78381844])]"
movel,"[array([-170.77261875,   95.19855605,  352.49612691])]","[array([ 0.75050677, -0.19099039, -1.91678412, -2.15229992,  1.17776343,
       -0.7505558 ])]"
movel,"[array([-74.65190982,   2.45971794, 338.21041744])]","[array([ 0.90997902, -0.21186226, -1.9203604 , -1.95371697,  1.11310987,
       -0.66771039])]"
