breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 590.87107243,  678.08055685, 2571.93287109])]","[array([ 1.07080838, -0.52947671,  0.53343759, -2.7521078 ,  1.62863552,
       -1.51008709])]"
1665,movel,"[array([ 985.9671313 ,  696.97086519, 2272.85711733])]","[array([ 0.88673399, -0.43208125,  0.67933438, -2.55142682,  1.58255247,
       -1.48103198])]"
3332,movel,"[array([1027.32925844,  700.01904196, 2235.58420928])]","[array([ 0.87535169, -0.41228039,  0.68801578, -2.52450005,  1.58029818,
       -1.47786328])]"
4999,movel,"[array([1068.13248888,  705.32839894, 2195.07001159])]","[array([ 0.86459302, -0.3933843 ,  0.69886565, -2.50023621,  1.57336794,
       -1.47701671])]"
6665,movel,"[array([1107.98418618,  711.60732642, 2153.30898939])]","[array([ 0.85436807, -0.37347657,  0.7093941 , -2.47791547,  1.56563894,
       -1.47671095])]"
8332,movel,"[array([1147.13410909,  718.07050288, 2112.36288154])]","[array([ 0.84310728, -0.35268689,  0.71864167, -2.4597874 ,  1.55655697,
       -1.47675622])]"
9999,movel,"[array([1185.34855833,  724.46058926, 2073.35475964])]","[array([ 0.83085899, -0.33096431,  0.72594163, -2.44604105,  1.54677937,
       -1.47669524])]"
11665,movel,"[array([1222.02402968,  730.76009787, 2036.14253097])]","[array([ 0.81886992, -0.30847628,  0.73127163, -2.43473187,  1.53734341,
       -1.47612805])]"
13332,movel,"[array([1256.781464  ,  737.05640341, 2000.23199977])]","[array([ 0.80787601, -0.2855889 ,  0.7350836 , -2.42460972,  1.52858755,
       -1.47491985])]"
14999,movel,"[array([1289.52033075,  743.33931447, 1965.44189808])]","[array([ 0.79798942, -0.26257882,  0.73771591, -2.41530856,  1.52056738,
       -1.47300002])]"
16665,movel,"[array([1320.28918977,  749.46894133, 1931.66622889])]","[array([ 0.78912359, -0.23966318,  0.73942784, -2.4065974 ,  1.51326221,
       -1.47032057])]"
18332,movel,"[array([1349.13734576,  755.35318249, 1898.84772344])]","[array([ 0.78123604, -0.21689908,  0.74035549, -2.39821691,  1.50683894,
       -1.46684524])]"
19999,movel,"[array([1376.23279557,  760.75221341, 1867.16934886])]","[array([ 0.77406532, -0.19437802,  0.7405228 , -2.39017602,  1.50131171,
       -1.46250412])]"
21665,movel,"[array([1401.5978284 ,  765.38364227, 1836.75246731])]","[array([ 0.76744681, -0.17221449,  0.74005971, -2.38241328,  1.49689947,
       -1.45710371])]"
23332,movel,"[array([1425.19181335,  768.82708594, 1807.48564193])]","[array([ 0.76145661, -0.15050521,  0.73910206, -2.37411847,  1.4939483 ,
       -1.45044621])]"
24999,movel,"[array([1446.89956126,  770.55626588, 1779.44503254])]","[array([ 0.75613624, -0.12942038,  0.73773834, -2.36449889,  1.4928209 ,
       -1.44233448])]"
26665,movel,"[array([1466.8347094 ,  770.03959361, 1753.20839362])]","[array([ 0.75111403, -0.10901734,  0.73582259, -2.3536476 ,  1.49384882,
       -1.4324403 ])]"
28332,movel,"[array([1485.25676998,  766.74091433, 1729.57297673])]","[array([ 0.74583171, -0.08940372,  0.73312338, -2.34204911,  1.49715726,
       -1.42048225])]"
29999,movel,"[array([1502.15551319,  760.1343754 , 1709.06212458])]","[array([ 0.74012664, -0.07065381,  0.72946612, -2.32939843,  1.50321493,
       -1.40615466])]"
31665,movel,"[array([1517.45477463,  749.65469468, 1691.91139878])]","[array([ 0.73397504, -0.05280952,  0.72471049, -2.31491929,  1.51249571,
       -1.38918285])]"
33332,movel,"[array([1531.37202986,  734.97799149, 1678.28758677])]","[array([ 0.72701559, -0.03580631,  0.71871196, -2.29872106,  1.5250296 ,
       -1.36942953])]"
34999,movel,"[array([1544.23766365,  716.28578262, 1667.79847688])]","[array([ 0.71895397, -0.01946064,  0.71149811, -2.28121743,  1.54036127,
       -1.34712594])]"
36665,movel,"[array([1556.29702837,  694.05385556, 1658.85538416])]","[array([ 0.70995726, -0.00350879,  0.70348084, -2.26186675,  1.55760601,
       -1.32286875])]"
38332,movel,"[array([1567.70241262,  668.84542174, 1648.99833443])]","[array([ 0.70049629,  0.01217848,  0.69547254, -2.2393822 ,  1.57532065,
       -1.2975635 ])]"
39999,movel,"[array([1578.40310173,  641.21853802, 1635.5374208 ])]","[array([ 0.69126659,  0.02790855,  0.68828523, -2.21195234,  1.59240026,
       -1.27184577])]"
41665,movel,"[array([1588.55755677,  611.9618055 , 1616.62033362])]","[array([ 0.68279428,  0.04398462,  0.68216472, -2.17833571,  1.60744887,
       -1.2466202 ])]"
43332,movel,"[array([1599.08513749,  582.68690509, 1592.19600212])]","[array([ 0.67447654,  0.06075465,  0.67722353, -2.14178048,  1.61883442,
       -1.22274089])]"
44999,movel,"[array([1610.41989981,  554.36429557, 1562.38124579])]","[array([ 0.66635949,  0.07871585,  0.67293898, -2.10314406,  1.6259797 ,
       -1.20067299])]"
46665,movel,"[array([1623.08517279,  527.63146491, 1527.60198572])]","[array([ 0.65840012,  0.09806054,  0.66862303, -2.06309115,  1.62800133,
       -1.18107615])]"
48332,movel,"[array([1637.7003657 ,  503.86955523, 1489.46775695])]","[array([ 0.6505808 ,  0.11915381,  0.66308327, -2.02366151,  1.62475969,
       -1.16443249])]"
49999,movel,"[array([1713.78635248,  443.31892722, 1328.72605841])]","[array([ 0.62122365,  0.22531066,  0.61555367, -1.8887023 ,  1.58501096,
       -1.1166142 ])]"
