primitives,points,q_bp
moveabsj,"[array([ 88.25771072, 493.00587007, 483.27353663])]","[array([-0.23670598, -0.11113821, -2.07224926, -2.82214129,  1.05448276,
       -1.11251407])]"
movel,"[array([ 83.64857518, 519.64028057, 586.97314436])]","[array([-0.06592842, -0.32596548, -1.97424915, -2.96748228,  1.19521068,
       -1.0967741 ])]"
movel,"[array([ 83.28253045, 525.75504349, 601.159463  ])]","[array([-0.05216025, -0.33719826, -1.98861336, -2.96655627,  1.21060583,
       -1.10164364])]"
movel,"[array([ 81.12409273, 533.64273069, 616.60836075])]","[array([-0.03887176, -0.34893237, -1.99862576, -2.9668087 ,  1.22652592,
       -1.10895914])]"
movel,"[array([ 77.07653127, 542.20491033, 631.98420194])]","[array([-0.02494142, -0.35900775, -2.00774329, -2.96732416,  1.241419  ,
       -1.11741422])]"
movel,"[array([ 70.53285721, 550.43072697, 645.32756977])]","[array([-0.01008885, -0.36740594, -2.01634453, -2.96808146,  1.25285434,
       -1.12604887])]"
movel,"[array([ 61.42842946, 557.63971908, 655.92338457])]","[array([ 0.00606877, -0.37515046, -2.02258017, -2.96825731,  1.26170201,
       -1.13367305])]"
movel,"[array([ 50.51597077, 563.70796058, 664.0160302 ])]","[array([ 0.02391986, -0.38101255, -2.0289666 , -2.96654343,  1.26882196,
       -1.13983205])]"
movel,"[array([ 37.88866258, 568.70927893, 669.98191505])]","[array([ 0.04346254, -0.38594696, -2.03466273, -2.96225325,  1.27563543,
       -1.14435272])]"
movel,"[array([ 23.83277119, 572.50969623, 673.73148916])]","[array([ 0.06461557, -0.38971757, -2.04052856, -2.9553525 ,  1.28183599,
       -1.1471799 ])]"
movel,"[array([  8.54778253, 575.14349477, 675.53015823])]","[array([ 0.0868958 , -0.39329219, -2.04429156, -2.94566363,  1.2887177 ,
       -1.14822634])]"
movel,"[array([ -7.55190883, 576.42632678, 675.07221337])]","[array([ 0.11028884, -0.39547363, -2.04810415, -2.93320354,  1.29511986,
       -1.14752905])]"
movel,"[array([-24.24562086, 576.07625137, 672.04801977])]","[array([ 0.1347692 , -0.39607348, -2.05205531, -2.91805695,  1.30054704,
       -1.14490754])]"
movel,"[array([-41.66841915, 574.02705529, 666.5250115 ])]","[array([ 0.15993464, -0.39657653, -2.05293065, -2.8998601 ,  1.3063105 ,
       -1.14015368])]"
movel,"[array([-59.23586369, 570.00673835, 658.20280263])]","[array([ 0.1862908 , -0.39448684, -2.0549497 , -2.87833155,  1.31073325,
       -1.13330893])]"
movel,"[array([-77.23850695, 563.83698675, 647.13403882])]","[array([ 0.21377387, -0.3910603 , -2.05546545, -2.85284297,  1.31499119,
       -1.12411008])]"
movel,"[array([-95.48756513, 554.97989721, 632.80291734])]","[array([ 0.242458  , -0.3855867 , -2.05455253, -2.82310156,  1.31829529,
       -1.11230038])]"
movel,"[array([-114.02266924,  542.61411691,  614.56780896])]","[array([ 0.27240024, -0.37800767, -2.05088354, -2.78888576,  1.31990376,
       -1.09747646])]"
movel,"[array([-132.71911373,  525.90937629,  592.08731863])]","[array([ 0.30379631, -0.36733379, -2.04503721, -2.74981744,  1.31870098,
       -1.07957602])]"
movel,"[array([-151.50919347,  503.98560081,  565.60342724])]","[array([ 0.33689378, -0.35316404, -2.03661808, -2.70557966,  1.31439406,
       -1.05849077])]"
movel,"[array([-170.43150912,  475.75563153,  535.61446683])]","[array([ 0.37184184, -0.33583045, -2.02442401, -2.65647982,  1.30646203,
       -1.03425096])]"
movel,"[array([-189.17391898,  440.48842532,  503.2785731 ])]","[array([ 0.40861171, -0.31547689, -2.0090372 , -2.60356854,  1.29395389,
       -1.00763964])]"
movel,"[array([-206.78006901,  398.48491798,  470.87987782])]","[array([ 0.44709857, -0.29296867, -1.99138946, -2.54803864,  1.27764058,
       -0.97943195])]"
movel,"[array([-221.60924094,  351.12946025,  440.89612618])]","[array([ 0.48724892, -0.26996466, -1.97265759, -2.49081674,  1.25948867,
       -0.94996986])]"
movel,"[array([-231.15397589,  300.88089504,  415.18704239])]","[array([ 0.52917331, -0.24777848, -1.95536181, -2.43245558,  1.24164649,
       -0.91909627])]"
movel,"[array([-233.10189574,  250.69186827,  394.48870513])]","[array([ 0.57304166, -0.22756448, -1.94162767, -2.37376038,  1.22550246,
       -0.88646054])]"
movel,"[array([-227.56369105,  203.29591769,  378.4961305 ])]","[array([ 0.61742119, -0.21150394, -1.93017563, -2.3158161 ,  1.21144707,
       -0.85286191])]"
movel,"[array([-214.41070884,  160.752844  ,  366.57183921])]","[array([ 0.66227526, -0.19951916, -1.92257005, -2.2593891 ,  1.19897926,
       -0.81860203])]"
movel,"[array([-194.83661836,  124.66640777,  358.24257547])]","[array([ 0.70659032, -0.19349115, -1.9169671 , -2.20448175,  1.18862016,
       -0.78354182])]"
movel,"[array([-171.23917897,   95.2468757 ,  352.75595305])]","[array([ 0.74950282, -0.1930556 , -1.91308134, -2.15188666,  1.17909124,
       -0.74937943])]"
movel,"[array([-69.19646727, -15.13313852, 349.59682722])]","[array([ 0.94966498, -0.3140918 , -1.72827369, -2.03157039,  1.13202667,
       -0.56784823])]"
