primitives,p_bp,q_bp
moveabsj,"[array([ 580.06346831,  681.86845912, 2571.88425653])]","[array([ 1.07796962, -0.53009211,  0.53490042, -2.759468  ,  1.63397805,
       -1.51470166])]"
movel,"[array([ 985.92103816,  697.09383489, 2272.63100345])]","[array([ 0.88605956, -0.43267038,  0.68013348, -2.55289427,  1.58159758,
       -1.4808951 ])]"
movel,"[array([1027.27397028,  701.11766995, 2235.27003245])]","[array([ 0.87605463, -0.41116119,  0.68763865, -2.52432781,  1.58158641,
       -1.47781864])]"
movel,"[array([1068.08260958,  705.54668522, 2195.10160746])]","[array([ 0.86470179, -0.39324342,  0.69878176, -2.50031106,  1.57348892,
       -1.47706403])]"
movel,"[array([1107.76298262,  711.87990145, 2152.78124314])]","[array([ 0.85470316, -0.37326915,  0.70972485, -2.47778259,  1.56631969,
       -1.47659168])]"
movel,"[array([1146.82688964,  718.50141967, 2111.90372783])]","[array([ 0.84358406, -0.35254572,  0.71892476, -2.45961075,  1.55706493,
       -1.47689299])]"
movel,"[array([1185.21961456,  724.62479904, 2073.20364633])]","[array([ 0.83100103, -0.33108944,  0.72612535, -2.44606583,  1.54666582,
       -1.47690024])]"
movel,"[array([1221.82397844,  730.96092093, 2035.87902083])]","[array([ 0.81899876, -0.30861112,  0.73160723, -2.434916  ,  1.53732149,
       -1.47623623])]"
movel,"[array([1256.55023861,  737.2475929 , 1999.94770705])]","[array([ 0.8079884 , -0.28581008,  0.73549434, -2.42485286,  1.52846771,
       -1.47506436])]"
movel,"[array([1289.36724351,  743.52690178, 1965.33237022])]","[array([ 0.7981146 , -0.26281793,  0.7379268 , -2.41540193,  1.52025275,
       -1.47331398])]"
movel,"[array([1320.09459857,  749.52187076, 1931.42336623])]","[array([ 0.78917872, -0.23997401,  0.73982751, -2.40675312,  1.51300957,
       -1.47049861])]"
movel,"[array([1348.97365294,  755.44328493, 1898.67288527])]","[array([ 0.78128922, -0.21725822,  0.74069872, -2.3983716 ,  1.5064096 ,
       -1.4671468 ])]"
movel,"[array([1376.04010952,  760.81756292, 1866.95741083])]","[array([ 0.77415497, -0.19473406,  0.74088236, -2.39023445,  1.50094034,
       -1.46280137])]"
movel,"[array([1401.43967677,  765.27987702, 1836.49891991])]","[array([ 0.76735505, -0.17264771,  0.74056905, -2.38270752,  1.49648162,
       -1.45723354])]"
movel,"[array([1425.04738786,  768.9505336 , 1807.40676562])]","[array([ 0.76146222, -0.15097406,  0.73943401, -2.37440011,  1.49327067,
       -1.4508759 ])]"
movel,"[array([1446.78039979,  770.57406119, 1779.33172362])]","[array([ 0.75613495, -0.13003123,  0.73810933, -2.3646125 ,  1.49191716,
       -1.44292001])]"
movel,"[array([1466.74650737,  770.07545485, 1753.15096924])]","[array([ 0.75115096, -0.10951439,  0.73606418, -2.35364304,  1.49307917,
       -1.43299167])]"
movel,"[array([1485.18864063,  766.79734303, 1729.54237017])]","[array([ 0.7459147 , -0.0900211 ,  0.73332905, -2.34189003,  1.49612192,
       -1.42127656])]"
movel,"[array([1502.1230587 ,  760.18169614, 1709.05607363])]","[array([ 0.74020847, -0.07139541,  0.72966619, -2.32917055,  1.50191881,
       -1.40714089])]"
movel,"[array([1517.42231012,  749.68556577, 1691.90077414])]","[array([ 0.73401345, -0.05342532,  0.72492131, -2.31482714,  1.51145314,
       -1.38994742])]"
movel,"[array([1531.32252388,  734.98368386, 1678.23846413])]","[array([ 0.72703094, -0.03624697,  0.71893334, -2.29871581,  1.52434068,
       -1.36991424])]"
movel,"[array([1544.22747946,  716.23783887, 1667.76373405])]","[array([ 0.71890819, -0.01974896,  0.71167769, -2.28129759,  1.53992599,
       -1.34738078])]"
movel,"[array([1556.33590006,  693.97809921, 1658.86755431])]","[array([ 0.70983381, -0.00341713,  0.70351464, -2.26210842,  1.55778322,
       -1.32263729])]"
movel,"[array([1567.79871213,  668.66679048, 1649.02834439])]","[array([ 0.70022697,  0.01256124,  0.69544914, -2.23986827,  1.57598626,
       -1.29686936])]"
movel,"[array([1578.51255445,  641.09480669, 1635.60553819])]","[array([ 0.69099517,  0.02848638,  0.68815184, -2.21249939,  1.59334138,
       -1.27097637])]"
movel,"[array([1588.64631846,  611.98075726, 1616.7390592 ])]","[array([ 0.68277657,  0.04473649,  0.68164994, -2.17823035,  1.60851967,
       -1.24587546])]"
movel,"[array([1599.17404484,  582.71475584, 1592.3416252 ])]","[array([ 0.67447859,  0.06145153,  0.6766743 , -2.14160024,  1.61979857,
       -1.22209476])]"
movel,"[array([1610.48076427,  554.27839322, 1562.41102387])]","[array([ 0.66628707,  0.07931639,  0.67258713, -2.10306923,  1.62685223,
       -1.19997539])]"
movel,"[array([1623.13898871,  527.5287728 , 1527.60037068])]","[array([ 0.65836949,  0.09852467,  0.66828332, -2.06283969,  1.62862461,
       -1.18057038])]"
movel,"[array([1637.8001057 ,  503.44322601, 1489.27502126])]","[array([ 0.65074066,  0.1199306 ,  0.6620034 , -2.02174923,  1.62549063,
       -1.16383848])]"
movel,"[array([1722.6296381 ,  448.72784728, 1322.49800133])]","[array([ 0.6240094 ,  0.24019259,  0.59550259, -1.8690578 ,  1.58545062,
       -1.11594655])]"
