breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 596.78875242,  676.82940136, 2571.31867698])]","[array([ 1.06668606, -0.52822821,  0.53283638, -2.74892356,  1.62705858,
       -1.5066961 ])]"
1665,movel,"[array([ 985.98064074,  697.05606266, 2272.88589554])]","[array([ 0.88704108, -0.43177502,  0.67903979, -2.55091207,  1.58298742,
       -1.48109453])]"
3332,movel,"[array([1027.33099512,  700.33217279, 2235.49022092])]","[array([ 0.87548355, -0.41223247,  0.6880522 , -2.52456819,  1.58016767,
       -1.47808276])]"
4999,movel,"[array([1068.10058564,  705.57731786, 2194.96069837])]","[array([ 0.86462208, -0.39334127,  0.69897739, -2.50048609,  1.57333714,
       -1.47706105])]"
6665,movel,"[array([1107.96052885,  711.76518917, 2153.30069806])]","[array([ 0.85429067, -0.37344006,  0.70946849, -2.47828671,  1.56561698,
       -1.47663732])]"
8332,movel,"[array([1147.10854202,  718.22858945, 2112.37926376])]","[array([ 0.84304653, -0.35258817,  0.71866691, -2.46013598,  1.5566408 ,
       -1.4766337 ])]"
9999,movel,"[array([1185.31285877,  724.60943765, 2073.35453083])]","[array([ 0.83085018, -0.3308082 ,  0.72593502, -2.44628374,  1.54699305,
       -1.47654092])]"
11665,movel,"[array([1221.95630625,  730.92766776, 2036.1443115 ])]","[array([ 0.81893625, -0.30829001,  0.73122999, -2.43486591,  1.5376415 ,
       -1.47599807])]"
13332,movel,"[array([1256.70912863,  737.21250666, 2000.23837353])]","[array([ 0.80796369, -0.28541071,  0.73502989, -2.424684  ,  1.5288872 ,
       -1.47481056])]"
14999,movel,"[array([1289.46982293,  743.46078553, 1965.43445086])]","[array([ 0.7980491 , -0.26242368,  0.73768087, -2.41538099,  1.52082575,
       -1.47288391])]"
16665,movel,"[array([1320.22323576,  749.58992887, 1931.65705382])]","[array([ 0.78919359, -0.23950891,  0.73939947, -2.40666276,  1.51354466,
       -1.47019679])]"
18332,movel,"[array([1349.0819856 ,  755.45426392, 1898.84102715])]","[array([ 0.78129128, -0.21674622,  0.74032686, -2.39828229,  1.50711945,
       -1.466706  ])]"
19999,movel,"[array([1376.17060545,  760.8493216 , 1867.14966678])]","[array([ 0.7741164 , -0.19420981,  0.74050802, -2.39025863,  1.50163579,
       -1.4623259 ])]"
21665,movel,"[array([1401.53044551,  765.46110223, 1836.73305233])]","[array([ 0.76750377, -0.17204668,  0.74004279, -2.38246163,  1.49724406,
       -1.45691826])]"
23332,movel,"[array([1425.12934263,  768.88238287, 1807.4633466 ])]","[array([ 0.76150724, -0.1503486 ,  0.7390892 , -2.37414787,  1.49428062,
       -1.45026148])]"
24999,movel,"[array([1446.84809338,  770.59990256, 1779.41470094])]","[array([ 0.75617104, -0.12918535,  0.73770975, -2.36455312,  1.49328372,
       -1.44204088])]"
26665,movel,"[array([1466.79857105,  770.04057421, 1753.17735626])]","[array([ 0.75109664, -0.10875681,  0.73581322, -2.35378336,  1.49437079,
       -1.43205016])]"
28332,movel,"[array([1485.22818679,  766.72539818, 1729.53614846])]","[array([ 0.74579856, -0.08910951,  0.73311193, -2.34220428,  1.49773684,
       -1.42003393])]"
29999,movel,"[array([1502.13193115,  760.10165389, 1709.02162498])]","[array([ 0.74008665, -0.07031458,  0.72943983, -2.32954764,  1.50387171,
       -1.40564473])]"
31665,movel,"[array([1517.45050898,  749.59087503, 1691.86687941])]","[array([ 0.73389754, -0.05246772,  0.72469504, -2.31511247,  1.51314754,
       -1.38864063])]"
33332,movel,"[array([1531.37571309,  734.88959878, 1678.24122311])]","[array([ 0.72691608, -0.03550342,  0.71871601, -2.2989296 ,  1.5256136 ,
       -1.3689117 ])]"
34999,movel,"[array([1544.2493221 ,  716.17864506, 1667.74901779])]","[array([ 0.71885771, -0.01924744,  0.71151635, -2.28136577,  1.5407778 ,
       -1.34672781])]"
36665,movel,"[array([1556.30770934,  693.94277788, 1658.80191644])]","[array([ 0.70991873, -0.00348167,  0.70350686, -2.2618115 ,  1.55768097,
       -1.32276286])]"
38332,movel,"[array([1567.6989915 ,  668.76464553, 1648.94819854])]","[array([ 0.70054316,  0.01204721,  0.69548473, -2.23910655,  1.57510296,
       -1.29773546])]"
39999,movel,"[array([1578.39505028,  641.15676986, 1635.49706863])]","[array([ 0.69135786,  0.0276032 ,  0.68832445, -2.21156963,  1.59188224,
       -1.27226833])]"
41665,movel,"[array([1588.57589067,  611.88840219, 1616.59373541])]","[array([ 0.68282091,  0.04352916,  0.68232052, -2.17814242,  1.60669696,
       -1.24716432])]"
43332,movel,"[array([1599.1252211 ,  582.62526517, 1592.18806386])]","[array([ 0.67447968,  0.0602454 ,  0.67741474, -2.14168041,  1.61798984,
       -1.22334844])]"
44999,movel,"[array([1610.472774  ,  554.29042867, 1562.39415492])]","[array([ 0.66632571,  0.07815074,  0.67318693, -2.10316228,  1.62507433,
       -1.20132259])]"
46665,movel,"[array([1623.13059787,  527.62716029, 1527.65602719])]","[array([ 0.65832374,  0.09749563,  0.66897847, -2.06344019,  1.62716742,
       -1.18168001])]"
48332,movel,"[array([1637.72234421,  503.92940563, 1489.54719331])]","[array([ 0.65042059,  0.11861687,  0.66366205, -2.02455856,  1.6241077 ,
       -1.16487007])]"
49999,movel,"[array([1711.0059538 ,  441.29337902, 1330.88524098])]","[array([ 0.62024125,  0.22020191,  0.62169189, -1.8944017 ,  1.58437234,
       -1.11734674])]"
