breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([485.31164774, 402.34175028, 693.09695937])]","[array([ 0.51494994, -0.10640481, -0.51066044, -1.54701092, -2.12685194,
       -1.39729618])]"
999,movel_fit,"[array([476.82675075, 373.4644157 , 711.10913177])]","[array([ 0.4912009 , -0.15896178, -0.52276309, -1.53541744, -2.14066858,
       -1.41462649])]"
1999,movel_fit,"[array([468.74746832, 344.09124548, 728.56145406])]","[array([ 0.46362912, -0.2123899 , -0.53371336, -1.52425231, -2.1542993 ,
       -1.42881853])]"
2999,movel_fit,"[array([461.13570995, 314.18364816, 745.29596546])]","[array([ 0.43123933, -0.26654487, -0.5436917 , -1.5138046 , -2.1676048 ,
       -1.43919076])]"
3999,movel_fit,"[array([454.05057285, 283.68031367, 761.15875551])]","[array([ 0.39285557, -0.32132151, -0.55295339, -1.50432326, -2.18043682,
       -1.44494019])]"
4999,movel_fit,"[array([447.55716369, 252.53010202, 775.98067253])]","[array([ 0.34709674, -0.37658577, -0.5618553 , -1.49614765, -2.19259093,
       -1.44516954])]"
5999,movel_fit,"[array([441.72626397, 220.69806417, 789.57760928])]","[array([ 0.29230431, -0.4321011 , -0.57088667, -1.48997771, -2.20372146,
       -1.43908872])]"
6999,movel_fit,"[array([436.63301325, 188.17262542, 801.75316868])]","[array([ 0.22655243, -0.48740697, -0.58067121, -1.48715103, -2.21326709,
       -1.42634585])]"
7999,movel_fit,"[array([432.35404727, 154.97249501, 812.30478585])]","[array([ 0.14788001, -0.5417009 , -0.59193388, -1.48973609, -2.22049389,
       -1.40737026])]"
8999,movel_fit,"[array([428.96280341, 121.15152391, 821.03382859])]","[array([ 0.05481616, -0.59377796, -0.60543023, -1.50032502, -2.22470876,
       -1.38358617])]"
9999,movel_fit,"[array([426.52333185,  86.80010075, 827.75909344])]","[array([-0.05286798, -0.6420366 , -0.62182351, -1.52151905, -2.22555925,
       -1.357403  ])]"
10999,movel_fit,"[array([425.08370624,  52.0426232 , 832.33179506])]","[array([-0.17339157, -0.68454573, -0.64150423, -1.55514101, -2.22323129,
       -1.331891  ])]"
11999,movel_fit,"[array([424.67058555,  17.03151039, 834.64921883])]","[array([-0.30256189, -0.71924693, -0.66442907, -1.60131685, -2.21838098,
       -1.31000443])]"
12999,movel_fit,"[array([425.28624799, -18.06156518, 834.66421971])]","[array([-0.434253  , -0.74440253, -0.69015095, -1.65794848, -2.2118196 ,
       -1.29343279])]"
13999,movel_fit,"[array([426.90851768, -53.05712462, 832.38875914])]","[array([-0.56191838, -0.75915297, -0.71810657, -1.72129224, -2.20420586,
       -1.28179076])]"
14999,movel_fit,"[array([429.49305291, -87.78222378, 827.89103892])]","[array([-0.68028587, -0.76369498, -0.74788664, -1.78746307, -2.19596697,
       -1.2730174 ])]"
15999,movel_fit,"[array([ 432.97729914, -122.08638621,  821.28667008])]","[array([-0.78603587, -0.75881046, -0.77912092, -1.85351645, -2.18735471,
       -1.26473086])]"
16999,movel_fit,"[array([ 437.28609921, -155.85442091,  812.72470021])]","[array([-0.87749541, -0.74525628, -0.81112874, -1.91741303, -2.17846192,
       -1.25525037])]"
17999,movel_fit,"[array([ 442.33910451, -189.00956232,  802.37056004])]","[array([-0.95445907, -0.72381928, -0.84305549, -1.97796849, -2.16926048,
       -1.24357033])]"
18999,movel_fit,"[array([ 448.05814689, -221.50517901,  790.39095584])]","[array([-1.01824906, -0.69581867, -0.87461145, -2.03554743, -2.15977305,
       -1.22893398])]"
19999,movel_fit,"[array([ 454.37036697, -253.31375188,  776.94702406])]","[array([-1.07082798, -0.66274894, -0.9060073 , -2.09171578, -2.15016872,
       -1.21098451])]"
20999,movel_fit,"[array([ 461.20629217, -284.4244398 ,  762.19463628])]","[array([-1.11351984, -0.62525306, -0.93673507, -2.14730638, -2.14057995,
       -1.19022095])]"
21999,movel_fit,"[array([ 468.50124868, -314.84442303,  746.27866657])]","[array([-1.14741679, -0.58343695, -0.96588332, -2.20284174, -2.131134  ,
       -1.16774388])]"
22999,movel_fit,"[array([ 476.20259062, -344.59177491,  729.32118063])]","[array([-1.1737084 , -0.53744693, -0.99282206, -2.25923207, -2.12206856,
       -1.14473749])]"
23999,movel_fit,"[array([ 484.26224554, -373.69436687,  711.43560867])]","[array([-1.19260932, -0.48637506, -1.01455298, -2.31322003, -2.11289364,
       -1.12275974])]"
24999,movel_fit,"[array([ 492.63715342, -402.16718154,  692.72795209])]","[array([-1.20560913, -0.4319479 , -1.03143641, -2.36516054, -2.10370634,
       -1.10107681])]"
