primitives,p_bp,q_bp
moveabsj_fit,"[array([ 660.20109693, -783.27321456,  613.86003517])]","[array([-1.00988556e+00,  1.08260122e-01, -2.24568048e-03,  2.87493841e+00,
        1.36626925e+00, -3.33492617e-02])]"
movel_fit,"[array([ 640.49780565, -620.72121981,  553.92756705])]","[array([-1.01525385,  0.02960135, -0.18216963,  2.72557959,  1.44585771,
       -0.25218228])]"
movel_fit,"[array([ 638.35465332, -566.10347408,  540.48053632])]","[array([-1.00614451,  0.01107436, -0.23193894,  2.68057355,  1.47594069,
       -0.35223753])]"
movel_fit,"[array([ 640.13999977, -510.3731501 ,  532.85073467])]","[array([-0.99313541, -0.00674574, -0.27763316,  2.63295096,  1.50489282,
       -0.44750347])]"
movel_fit,"[array([ 645.35542629, -454.40253354,  530.59629501])]","[array([-0.97434765, -0.02643909, -0.32031861,  2.58582734,  1.52968823,
       -0.53572194])]"
movel_fit,"[array([ 653.34847415, -398.78671285,  532.991402  ])]","[array([-0.94892767, -0.04966459, -0.36021943,  2.54076898,  1.54861154,
       -0.61587976])]"
movel_fit,"[array([ 663.42606872, -343.83375985,  539.18349915])]","[array([-0.91407933, -0.07295997, -0.39196762,  2.5016173 ,  1.56345651,
       -0.69387811])]"
movel_fit,"[array([ 674.96816065, -289.58521653,  548.35703935])]","[array([-0.86897576, -0.09303683, -0.41221088,  2.46965741,  1.57560295,
       -0.77267428])]"
movel_fit,"[array([ 687.39222238, -235.97789377,  559.74189127])]","[array([-0.81450353, -0.10843845, -0.42063286,  2.44443025,  1.58524945,
       -0.85199567])]"
movel_fit,"[array([ 700.21124812, -182.80586502,  572.68607553])]","[array([-0.75158856, -0.11818892, -0.41746792,  2.42567335,  1.59251627,
       -0.93134341])]"
movel_fit,"[array([ 712.9488061 , -129.87084639,  586.56995877])]","[array([-0.68110587, -0.12196276, -0.40339403,  2.41345112,  1.59739518,
       -1.00994453])]"
movel_fit,"[array([725.15917931, -76.91637453, 600.82645822])]","[array([-0.6033486 , -0.11911296, -0.37841577,  2.40867291,  1.60035182,
       -1.08768898])]"
movel_fit,"[array([736.36812728, -23.6834804 , 614.87653034])]","[array([-0.51776473, -0.10727223, -0.34069747,  2.41335863,  1.60334673,
       -1.16587069])]"
movel_fit,"[array([746.05400628,  30.06237951, 628.10349859])]","[array([-0.42383647, -0.08453107, -0.28874233,  2.42947865,  1.60864392,
       -1.24532607])]"
movel_fit,"[array([753.60413237,  84.49599916, 639.79360342])]","[array([-0.32123161, -0.05110022, -0.22291559,  2.45866714,  1.6175411 ,
       -1.32557558])]"
movel_fit,"[array([758.31218601, 139.707614  , 649.13704101])]","[array([-0.2089779 , -0.0059779 , -0.14267271,  2.50303672,  1.63265051,
       -1.40707364])]"
movel_fit,"[array([759.36742373, 195.60912651, 655.17387034])]","[array([-0.08633173,  0.05383132, -0.04664049,  2.56399345,  1.65880165,
       -1.49093086])]"
movel_fit,"[array([755.9596926 , 251.73192031, 656.9046456 ])]","[array([ 0.04533198,  0.12934587,  0.06305456,  2.63988954,  1.69961839,
       -1.57606492])]"
movel_fit,"[array([747.41076964, 307.19814233, 653.40812511])]","[array([ 0.18144978,  0.22044163,  0.18127123,  2.72478574,  1.75697886,
       -1.66032962])]"
movel_fit,"[array([733.49016695, 360.94876271, 644.19838423])]","[array([ 0.3139595 ,  0.32799837,  0.30350135,  2.80814575,  1.83180377,
       -1.74325966])]"
movel_fit,"[array([714.53792696, 411.83984331, 629.3979247 ])]","[array([ 0.43334449,  0.45369914,  0.42877573,  2.87737811,  1.92395184,
       -1.82747335])]"
movel_fit,"[array([691.3078045 , 459.09489507, 609.6312568 ])]","[array([ 0.53240975,  0.59681881,  0.55771664,  2.92200843,  2.03022809,
       -1.91789679])]"
movel_fit,"[array([664.71060076, 502.53397313, 585.77918001])]","[array([ 0.60968016,  0.74739704,  0.68355265,  2.93809355,  2.13903286,
       -2.01670364])]"
movel_fit,"[array([635.58733941, 542.28169714, 558.72207668])]","[array([ 0.66669882,  0.90168634,  0.80536476,  2.9230064 ,  2.24545532,
       -2.1300599 ])]"
movel_fit,"[array([604.59949628, 578.66665324, 529.18429221])]","[array([ 0.70719016,  1.04943141,  0.91226775,  2.87724519,  2.33862296,
       -2.26015279])]"
movel_fit,"[array([572.11809186, 611.80693989, 497.56474696])]","[array([ 0.73707903,  1.16615077,  0.97267368,  2.81338225,  2.39548424,
       -2.39219917])]"
movel_fit,"[array([513.12611113, 672.83870931, 440.24389259])]","[array([ 0.79840878,  1.14978139,  0.8580488 ,  2.77664454,  2.28305745,
       -2.42382578])]"
