primitives,points,q_bp
moveabsj_fit,"[array([ 658.20609286, -766.30245615,  607.69481449])]","[array([-1.00815195,  0.09911941, -0.01620154,  2.8724308 ,  1.36394833,
       -0.03234873])]"
movel_fit,"[array([ 641.05940051, -620.43647122,  554.7161949 ])]","[array([-1.01484906,  0.02987139, -0.18127955,  2.72562715,  1.44642069,
       -0.25285996])]"
movel_fit,"[array([ 638.9126624 , -565.94226729,  541.30777977])]","[array([-1.00589984,  0.01124142, -0.23120133,  2.68042597,  1.47635675,
       -0.35262397])]"
movel_fit,"[array([ 640.6313644 , -510.33401388,  533.61914779])]","[array([-0.99293375, -0.006631  , -0.27697635,  2.63282794,  1.50518606,
       -0.44785962])]"
movel_fit,"[array([ 645.75520452, -454.44835865,  531.26413368])]","[array([-0.97419115, -0.02637784, -0.31976389,  2.58574097,  1.52987618,
       -0.53603442])]"
movel_fit,"[array([ 653.65035005, -398.87585987,  533.54055944])]","[array([-0.94876917, -0.04958454, -0.35968967,  2.5407768 ,  1.54876425,
       -0.61623783])]"
movel_fit,"[array([ 663.64260081, -343.92591488,  539.61909312])]","[array([-0.91392636, -0.07287758, -0.39149414,  2.50167696,  1.56358261,
       -0.69423842])]"
movel_fit,"[array([ 675.09884639, -289.67313439,  548.67932439])]","[array([-0.86886549, -0.09298116, -0.41184395,  2.469741  ,  1.57569086,
       -0.77296231])]"
movel_fit,"[array([ 687.45354325, -236.03423976,  559.97097799])]","[array([-0.81441741, -0.10842775, -0.42037532,  2.44452859,  1.58530149,
       -0.85222715])]"
movel_fit,"[array([ 700.20080109, -182.83800018,  572.82234933])]","[array([-0.75151893, -0.11824086, -0.4173267 ,  2.42578293,  1.59252804,
       -0.9315218 ])]"
movel_fit,"[array([ 712.87276304, -129.86696478,  586.62306328])]","[array([-0.68103492, -0.12207483, -0.40335724,  2.41357978,  1.59736899,
       -1.01009227])]"
movel_fit,"[array([725.01310533, -76.87597978, 600.79500034])]","[array([-0.60325592, -0.11926748, -0.3784658 ,  2.40883688,  1.60029786,
       -1.0878346 ])]"
movel_fit,"[array([736.14610818, -23.61074358, 614.75582636])]","[array([-0.51764249, -0.10748989, -0.34085483,  2.41356021,  1.60324857,
       -1.16601127])]"
movel_fit,"[array([745.74341258,  30.16105475, 627.8793071 ])]","[array([-0.42368355, -0.0848594 , -0.28906319,  2.42971842,  1.60846013,
       -1.24543465])]"
movel_fit,"[array([753.1951471 ,  84.61364338, 639.45722684])]","[array([-0.32102478, -0.05153449, -0.22340611,  2.45895745,  1.61726738,
       -1.32567275])]"
movel_fit,"[array([757.79329285, 139.81648372, 648.6680769 ])]","[array([-0.20872803, -0.00650165, -0.14336373,  2.50338799,  1.63229288,
       -1.40714243])]"
movel_fit,"[array([758.74367951, 195.64234682, 654.57176872])]","[array([-0.0860877 ,  0.05318535, -0.04760589,  2.56438061,  1.65833664,
       -1.49090586])]"
movel_fit,"[array([755.24582604, 251.6381113 , 656.17737366])]","[array([ 0.04553039,  0.12856893,  0.0617598 ,  2.6402603 ,  1.69903083,
       -1.57591771])]"
movel_fit,"[array([746.6747636 , 306.97265294, 652.62580587])]","[array([ 0.18155522,  0.21961891,  0.17973384,  2.72506728,  1.75632785,
       -1.66010062])]"
movel_fit,"[array([732.81039919, 360.56683367, 643.44466084])]","[array([ 0.31392119,  0.32720464,  0.30185428,  2.8082866 ,  1.83115823,
       -1.74299785])]"
movel_fit,"[array([713.95776746, 411.35681738, 628.72516214])]","[array([ 0.43318958,  0.45293025,  0.42707674,  2.87738824,  1.92329458,
       -1.82723379])]"
movel_fit,"[array([690.84778729, 458.59555014, 609.07426006])]","[array([ 0.53220804,  0.59594933,  0.55589077,  2.92196334,  2.02943211,
       -1.91765246])]"
movel_fit,"[array([664.36998469, 502.04530049, 585.34763991])]","[array([ 0.60945439,  0.74649757,  0.681698  ,  2.93803034,  2.13818754,
       -2.01649161])]"
movel_fit,"[array([635.33487906, 541.83542249, 558.38800058])]","[array([ 0.66649222,  0.90063743,  0.80331646,  2.92301541,  2.24445633,
       -2.12978981])]"
movel_fit,"[array([604.41108965, 578.27861107, 528.92554179])]","[array([ 0.70704744,  1.04803375,  0.90978152,  2.87750012,  2.33730577,
       -2.25959637])]"
movel_fit,"[array([572.09053952, 611.75881163, 497.52691614])]","[array([ 0.73716568,  1.16429616,  0.97049104,  2.81417347,  2.39378646,
       -2.39083036])]"
movel_fit,"[array([514.51660629, 671.39848315, 441.59524819])]","[array([ 0.79778737,  1.14790905,  0.8570524 ,  2.77785187,  2.28254743,
       -2.42211405])]"
