breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 647.20300147, -672.89408137,  573.73419135])]","[array([-1.01941819,  0.05035433,  0.12611836, -2.76769023, -1.41684928,
        0.16123844])]"
6242,movec_fit,"[array([ 639.3822296 , -590.05714836,  546.48074622]), array([ 641.16580896, -503.54640984,  533.11724431])]","[array([-1.00905498,  0.02081345,  0.20761783, -2.70274449, -1.46472916,
        0.30879942]), array([-0.99351565, -0.01149674,  0.28618284, -2.62274154, -1.50610529,
        0.46119557])]"
9564,movec_fit,"[array([ 645.47020661, -457.10120099,  531.22088203]), array([ 651.81713194, -410.93360334,  532.7415073 ])]","[array([-0.9751072 , -0.02682227,  0.31905568, -2.58809537, -1.52751422,
        0.530636  ]), array([-0.95530405, -0.04139449,  0.34922052, -2.5495987 , -1.54742386,
        0.6017274 ])]"
12711,movec_fit,"[array([ 659.1668668 , -367.49831373,  536.54221565]), array([ 667.67340224, -324.5589744 ,  542.58022986])]","[array([-0.92897528, -0.06239152,  0.37778044, -2.51922688, -1.55787973,
        0.66085773]), array([-0.90130659, -0.08191313,  0.40283058, -2.48632516, -1.56730874,
        0.72170352])]"
15568,movec_fit,"[array([ 676.00906316, -285.8772358 ,  549.36361605]), array([ 684.83540799, -247.57628968,  557.40431525])]","[array([-0.86485103, -0.09449692,  0.41275763, -2.46827761, -1.57605388,
        0.77828951]), array([-0.82766962, -0.10479123,  0.41960107, -2.44828514, -1.58397286,
        0.83561865])]"
17552,movec_fit,"[array([ 691.10361748, -221.06367224,  563.41998418]), array([ 697.43889928, -194.72432769,  569.85181327])]","[array([-0.79726105, -0.11148047,  0.42030145, -2.43888491, -1.58758185,
        0.87460911]), array([-0.76663918, -0.11679967,  0.4194636 , -2.42881572, -1.59086076,
        0.91375542])]"
19468,movel_fit,"[array([ 709.51668705, -143.89175629,  582.80734244])]","[array([-0.70100982, -0.1215474 ,  0.40864512, -2.41541226, -1.59641964,
        0.98938432])]"
23184,movec_fit,"[array([721.02529986, -94.67935965, 595.94559021]), array([731.78975337, -45.35926098, 609.08757897])]","[array([-0.62871047, -0.12079367,  0.38683702, -2.41143004, -1.59928865,
        1.06189919]), array([-0.55657131, -0.11449099,  0.36112805, -2.40629199, -1.60161632,
        1.13336712])]"
27490,movec_fit,"[array([742.79644676,  12.32482918, 623.63182107]), array([751.6307571 ,  70.66496097, 636.73631944])]","[array([-0.45353495, -0.0928892 ,  0.30560778, -2.4258237 , -1.60643243,
        1.21994512]), array([-0.35236405, -0.06246845,  0.24586982, -2.44431056, -1.61406318,
        1.30334092])]"
30906,movec_fit,"[array([756.34980261, 117.64938981, 645.29163321]), array([758.80603553, 165.06725805, 651.8587255 ])]","[array([-0.25354227, -0.02566817,  0.17593108, -2.48545025, -1.62534952,
        1.37510237]), array([-0.1570916 ,  0.01756802,  0.10455868, -2.52532148, -1.64186035,
        1.44316247])]"
34545,movec_fit,"[array([758.02495104, 216.0060556 , 655.6722201 ]), array([753.50692356, 266.86486102, 655.80837351])]","[array([-0.03690419,  0.07988277,  0.00687658, -2.59346489, -1.67198031,
        1.52362292]), array([ 0.0782966 ,  0.149423  , -0.08889632, -2.65717644, -1.71106162,
        1.59553902])]"
39889,movec_fit,"[array([738.88938959, 339.92877596, 647.62502524]), array([715.14605852, 408.6591168 , 629.65313146])]","[array([ 0.26371636,  0.28697701, -0.25775014, -2.77719223, -1.80265159,
        1.71808673]), array([ 0.42823311,  0.43660831, -0.41102374, -2.87628782, -1.91048508,
        1.80759944])]"
44013,movec_fit,"[array([691.46385531, 457.53590815, 609.57166148]), array([664.15163962, 502.27382557, 585.09464383])]","[array([ 0.5284864 ,  0.59096145, -0.55096324, -2.91895389, -2.02496182,
        1.91761894]), array([ 0.61305584,  0.7510608 , -0.68663661, -2.94265246, -2.14311984,
        2.01253288])]"
47682,movec_fit,"[array([637.63295927, 538.97240877, 560.51819013]), array([609.39927379, 572.63688215, 533.67232617])]","[array([ 0.66202368,  0.88902129, -0.79432533, -2.92398442, -2.23637038,
        2.12276385]), array([ 0.7029703 ,  1.02637219, -0.89563513, -2.88900223, -2.32524671,
        2.23402457])]"
49999,movec_fit,"[array([590.97845161, 592.73044175, 515.9108546 ]), array([572.08971348, 611.71574298, 497.48543707])]","[array([ 0.72088158,  1.10137691, -0.94204943, -2.85249261, -2.36603378,
        2.31509723]), array([ 0.73662752,  1.17143466, -0.9780495 , -2.81093598, -2.40020946,
        2.39682814])]"
