breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 741.73304738, -412.0511316 ,  552.63029089])]","[array([ 0.16612263,  0.64977174, -0.68415833,  1.34997042, -1.86421719,
       -0.30492099])]"
1999,movel_fit,"[array([ 721.37839901, -371.12444766,  585.21326176])]","[array([ 0.19560406,  0.65147014, -0.69057384,  1.30862203, -1.93753505,
       -0.31023728])]"
3999,movel_fit,"[array([ 697.26190983, -328.0642874 ,  612.01307319])]","[array([ 0.22361568,  0.66369496, -0.70431344,  1.26009623, -2.01257777,
       -0.31564341])]"
5999,movel_fit,"[array([ 669.947598  , -283.59000657,  632.75707369])]","[array([ 0.24907889,  0.68249873, -0.71270989,  1.19566898, -2.0829105 ,
       -0.32858657])]"
7999,movel_fit,"[array([ 640.16778579, -238.37428639,  647.71393561])]","[array([ 0.27383953,  0.70282794, -0.71830278,  1.11678745, -2.14338124,
       -0.34769915])]"
9999,movel_fit,"[array([ 608.65870456, -192.91917303,  657.55408418])]","[array([ 0.30017293,  0.72124188, -0.72322503,  1.02654551, -2.19085579,
       -0.37093369])]"
11999,movel_fit,"[array([ 576.05077084, -147.51298081,  663.1478722 ])]","[array([ 0.32931505,  0.7384051 , -0.73111804,  0.929188  , -2.22581109,
       -0.39529604])]"
13999,movel_fit,"[array([ 542.83434002, -102.25518874,  665.4058622 ])]","[array([ 0.36209375,  0.75579795, -0.74344616,  0.82817164, -2.24945986,
       -0.41893115])]"
15999,movel_fit,"[array([509.37831664, -57.11184782, 665.19548988])]","[array([ 0.39992454,  0.77411605, -0.76001648,  0.72691431, -2.26278945,
       -0.44045833])]"
17999,movel_fit,"[array([475.9694465 , -11.96972525, 663.31762177])]","[array([ 0.44489345,  0.79383937, -0.78021674,  0.62913054, -2.26711783,
       -0.45809828])]"
19999,movel_fit,"[array([442.84791342,  33.33031366, 660.51772457])]","[array([ 0.49992844,  0.81501091, -0.80280402,  0.53872515, -2.26423459,
       -0.46943688])]"
21999,movel_fit,"[array([410.23540134,  78.97771242, 657.51518785])]","[array([ 0.5685793 ,  0.83740785, -0.82612259,  0.4594989 , -2.25670635,
       -0.47119616])]"
23999,movel_fit,"[array([378.3661607 , 125.17578718, 655.04068316])]","[array([ 0.6547551 ,  0.86061034, -0.84860746,  0.39510179, -2.24780715,
       -0.45886881])]"
25999,movel_fit,"[array([347.5253343 , 172.11428349, 653.87394841])]","[array([ 0.76266134,  0.88180968, -0.86758226,  0.34981519, -2.24111198,
       -0.4266303 ])]"
27999,movel_fit,"[array([318.08582559, 219.93654619, 654.87769063])]","[array([ 0.89441135,  0.89388051, -0.87806406,  0.32830445, -2.24047196,
       -0.36896965])]"
29999,movel_fit,"[array([290.53990954, 268.69519334, 659.01932343])]","[array([ 1.04639697,  0.88761942, -0.87443931,  0.33433891, -2.24887913,
       -0.28373558])]"
31999,movel_fit,"[array([265.52896332, 318.26678847, 667.34958892])]","[array([ 1.2081162 ,  0.85563986, -0.85146401,  0.36989964, -2.26624164,
       -0.17585618])]"
33999,movel_fit,"[array([243.83897315, 368.2332452 , 680.88606167])]","[array([ 1.36308349,  0.79710899, -0.80367911,  0.4329298 , -2.28866768,
       -0.06117165])]"
35999,movel_fit,"[array([226.28583288, 417.82928433, 700.38243031])]","[array([ 1.49651708,  0.72146819, -0.72932762,  0.51716139, -2.30933174,
        0.04122576])]"
37999,movel_fit,"[array([213.48638308, 466.05248275, 726.06408594])]","[array([ 1.60399931,  0.64166895, -0.63420229,  0.6155516 , -2.32082119,
        0.12252879])]"
39999,movel_fit,"[array([205.65674862, 511.90325402, 757.49832489])]","[array([ 1.69061679,  0.56410151, -0.52964223,  0.7223584 , -2.31684759,
        0.18556474])]"
41999,movel_fit,"[array([202.55964032, 554.66555031, 793.74085402])]","[array([ 1.76286174,  0.48821483, -0.42631257,  0.83052598, -2.29353672,
        0.23560785])]"
43999,movel_fit,"[array([203.62141506, 594.08417055, 833.70273996])]","[array([ 1.82178996,  0.41501519, -0.32852652,  0.93042326, -2.2531121 ,
        0.27283051])]"
45999,movel_fit,"[array([208.17294089, 630.24502703, 876.42029342])]","[array([ 1.87075433,  0.34188042, -0.23943711,  1.0168159 , -2.19628755,
        0.30164795])]"
47999,movel_fit,"[array([215.57473045, 663.40774759, 921.11784017])]","[array([ 1.90974163,  0.26987332, -0.15872917,  1.08653228, -2.12673522,
        0.3233471 ])]"
49999,movel_fit,"[array([225.29133506, 693.90546574, 967.23608196])]","[array([ 1.93536173,  0.20881933, -0.08332031,  1.14193613, -2.05480174,
        0.3354419 ])]"
