breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 741.73247224, -412.05073752,  552.62954911])]","[array([ 0.16655566,  0.64680896, -0.68037366,  1.34785715, -1.8613928 ,
       -0.31250451])]"
4599,movec_fit,"[array([ 717.97197002, -364.76617491,  589.62877192]), array([ 689.35501694, -314.84322466,  618.86034269])]","[array([ 0.19928463,  0.65420831, -0.69118883,  1.30121947, -1.94999433,
       -0.30888415]), array([ 0.23296894,  0.66658822, -0.71123315,  1.24475611, -2.03277589,
       -0.32177135])]"
6527,movec_fit,"[array([ 676.11494981, -293.35661616,  628.76132761]), array([ 662.27750726, -271.70867365,  637.23790339])]","[array([ 0.24403351,  0.67744578, -0.71160077,  1.21121016, -2.06775432,
       -0.32544714]), array([ 0.25480056,  0.68918044, -0.71364075,  1.17566666, -2.10107308,
       -0.33271205])]"
6777,movel_fit,"[array([ 658.62678485, -266.05407383,  639.24785867])]","[array([ 0.25904945,  0.68988919, -0.71558197,  1.16687735, -2.10737425,
       -0.33551298])]"
9395,movec_fit,"[array([ 638.81819482, -236.37239076,  648.24711478]), array([ 618.31414224, -206.64838145,  655.05191332])]","[array([ 0.27534854,  0.70284637, -0.71802069,  1.1127758 , -2.14500398,
       -0.3477492 ]), array([ 0.29112978,  0.71757259, -0.72244924,  1.05504598, -2.17929727,
       -0.36556922])]"
11464,movec_fit,"[array([ 601.70977927, -183.12200046,  659.09154821]), array([ 584.84786871, -159.64601587,  661.99592527])]","[array([ 0.30623738,  0.725038  , -0.72487223,  1.00613504, -2.19941546,
       -0.37602511]), array([ 0.32110534,  0.73372138, -0.72796024,  0.95552391, -2.21757773,
       -0.38908337])]"
13536,movec_fit,"[array([ 567.75069902, -136.14184257,  663.99926997]), array([ 550.55030765, -112.72382078,  665.1150727 ])]","[array([ 0.33739587,  0.74242413, -0.73386544,  0.90413913, -2.23252398,
       -0.40095752]), array([ 0.3536217 ,  0.75226194, -0.74009109,  0.85148853, -2.24539456,
       -0.41439242])]"
15526,movec_fit,"[array([533.92141806, -90.22191309, 665.56251781]), array([517.28644392, -67.79049589, 665.40870309])]","[array([ 0.37177505,  0.760507  , -0.74773697,  0.80121201, -2.25387386,
       -0.42489623]), array([ 0.39006092,  0.76976039, -0.75525796,  0.75036331, -2.26067753,
       -0.43575881])]"
15977,movel_fit,"[array([509.751224  , -57.60429754, 665.22726827])]","[array([ 0.39962348,  0.77386139, -0.76002157,  0.72815921, -2.26264005,
       -0.44017803])]"
18377,movec_fit,"[array([489.6761566 , -30.50011122, 664.242561  ]), array([469.68622435,  -3.42182843, 662.83008364])]","[array([ 0.42603474,  0.78537833, -0.77209207,  0.66913577, -2.2660155 ,
       -0.45136441]), array([ 0.45309401,  0.79807888, -0.78326727,  0.61026274, -2.26769993,
       -0.46103605])]"
20377,movec_fit,"[array([453.07958111,  19.22875495, 661.42959979]), array([436.63406815,  41.92050732, 659.92509812])]","[array([ 0.48177928,  0.80826645, -0.79581102,  0.56597015, -2.26564758,
       -0.46688308]), array([ 0.51126053,  0.81927271, -0.80688674,  0.52234065, -2.26323293,
       -0.47046465])]"
21346,movel_fit,"[array([420.79806642,  64.01258437, 658.47958795])]","[array([ 0.54434989,  0.82995078, -0.81849431,  0.4838542 , -2.25950496,
       -0.47202084])]"
23815,movec_fit,"[array([400.86795469,  92.35261429, 656.72108421]), array([381.24553598, 120.8871938 , 655.22130562])]","[array([ 0.59297118,  0.84401773, -0.83360925,  0.44011002, -2.25366081,
       -0.46912232]), array([ 0.64323776,  0.85862027, -0.84526488,  0.39812884, -2.24943358,
       -0.46127088])]"
26134,movec_fit,"[array([363.16320686, 147.97610276, 654.26546508]), array([345.47552254, 175.30444262, 653.85162207])]","[array([ 0.70537289,  0.87133604, -0.85883171,  0.37098172, -2.24375522,
       -0.44554568]), array([ 0.76894718,  0.88348503, -0.86824314,  0.34619127, -2.24133824,
       -0.42460978])]"
28237,movec_fit,"[array([329.85422199, 200.38161801, 654.15501747]), array([314.68535247, 225.68364859, 655.17271074])]","[array([ 0.83913507,  0.89024095, -0.87527654,  0.33469108, -2.23947223,
       -0.39505252]), array([ 0.90944624,  0.89519091, -0.87845237,  0.32594696, -2.24150088,
       -0.36163095])]"
30297,movec_fit,"[array([300.35095671, 250.76668852, 657.08214177]), array([286.62300628, 276.03187151, 659.95353698])]","[array([ 0.98999305,  0.89196877, -0.87756247,  0.32944686, -2.24441928,
       -0.31713285]), array([ 1.06836625,  0.88589984, -0.87281103,  0.33640253, -2.25144254,
       -0.27046393])]"
32294,movec_fit,"[array([273.98530034, 300.76722683, 663.88270936]), array([262.08925969, 325.6249655 , 668.98078887])]","[array([ 1.15183388,  0.86933181, -0.86168078,  0.35460015, -2.25908293,
       -0.21506929]), array([ 1.23057303,  0.85004722, -0.84703591,  0.3765681 , -2.26976409,
       -0.15966755])]"
34419,movec_fit,"[array([250.38735922, 352.1861874 , 675.92552398]), array([239.7710324 , 378.7106095 , 684.45409837])]","[array([ 1.31548142,  0.81754454, -0.82114222,  0.41036969, -2.28114872,
       -0.0976127 ]), array([ 1.39275136,  0.78371655, -0.79193254,  0.44856412, -2.29370396,
       -0.03748522])]"
37034,movec_fit,"[array([228.40206547, 411.13871633, 697.3732849 ]), array([219.03214115, 443.02566213, 712.90098737])]","[array([ 1.47972217,  0.73156057, -0.73950088,  0.50469237, -2.30686251,
        0.02723643]), array([ 1.55571246,  0.68107735, -0.68473858,  0.56689746, -2.31696796,
        0.08867587])]"
40090,movec_fit,"[array([210.76394683, 479.25666876, 734.39242852]), array([205.41890383, 513.91025966, 759.06379992])]","[array([ 1.62995113,  0.61932604, -0.60417774,  0.64482746, -2.32151521,
        0.140988  ]), array([ 1.69456327,  0.56084669, -0.5266413 ,  0.72774835, -2.31630975,
        0.18961773])]"
42256,movec_fit,"[array([203.28726248, 537.42388247, 778.27874189]), array([202.48396749, 559.90553877, 798.7033178 ])]","[array([ 1.73453103,  0.51941015, -0.46817221,  0.78619522, -2.30557175,
        0.21667156]), array([ 1.77153526,  0.47827168, -0.41394509,  0.84443888, -2.28891945,
        0.24072771])]"
44325,movec_fit,"[array([202.80402084, 580.5122603 , 819.19635091]), array([204.14998285, 600.18121443, 840.5128556 ])]","[array([ 1.8020714 ,  0.44085934, -0.36180672,  0.8961159 , -2.26941255,
        0.26097118]), array([ 1.83076241,  0.40281177, -0.31440934,  0.94610357, -2.24470052,
        0.27777488])]"
