breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 426.62238528, -451.93488156, -228.88264004])]","[array([-1.51270071,  1.5494937 , -0.06958005, -0.74477884, -1.3379239 ,
        0.0605747 ])]"
1666,movel_fit,"[array([ 418.49007059, -466.50235019, -190.75750514])]","[array([-1.5297297 ,  1.53229439, -0.07137835, -0.73987731, -1.39136531,
        0.06504697])]"
3333,movel_fit,"[array([ 410.10372467, -480.31796725, -150.48474159])]","[array([-1.54294555,  1.51671045, -0.06977438, -0.73404036, -1.45058686,
        0.07206687])]"
4999,movel_fit,"[array([ 401.41775538, -496.0738285 , -110.05899108])]","[array([-1.55837549,  1.5043214 , -0.06750269, -0.73370228, -1.51208352,
        0.07757792])]"
6666,movel_fit,"[array([ 392.91499427, -514.27656   ,  -70.16768788])]","[array([-1.57443868,  1.49340047, -0.06453287, -0.73864075, -1.57377221,
        0.0816517 ])]"
8333,movel_fit,"[array([ 384.89825696, -535.45170239,  -31.65825562])]","[array([-1.59065063,  1.48233363, -0.06106257, -0.74906625, -1.63314728,
        0.0838993 ])]"
9999,movel_fit,"[array([ 377.50104654, -559.35344034,    5.16723981])]","[array([-1.60622623,  1.47014735, -0.05679504, -0.76437609, -1.68902403,
        0.08453779])]"
11666,movel_fit,"[array([ 370.71451548, -585.22212717,   40.54953171])]","[array([-1.62037742,  1.45699278, -0.05113658, -0.7837143 , -1.74182955,
        0.08419562])]"
13333,movel_fit,"[array([ 364.52145813, -612.45119961,   74.63516891])]","[array([-1.63282274,  1.4434249 , -0.0437058 , -0.80670519, -1.79196713,
        0.08322067])]"
14999,movel_fit,"[array([ 358.92448758, -640.74441866,  107.43875074])]","[array([-1.64365522,  1.42982622, -0.03433527, -0.83335632, -1.83939018,
        0.0816512 ])]"
16666,movel_fit,"[array([ 353.92628896, -669.96100629,  139.0149059 ])]","[array([-1.65304114,  1.41644271, -0.02288387, -0.86378452, -1.88397876,
        0.07946797])]"
18332,movel_fit,"[array([ 349.54196586, -699.93619263,  169.34961686])]","[array([-1.66112181,  1.40344899, -0.00923608, -0.89799559, -1.92540131,
        0.07667013])]"
19999,movel_fit,"[array([ 345.76408098, -730.61692354,  198.51842486])]","[array([-1.66809042,  1.39081214,  0.00676347, -0.93597081, -1.96325515,
        0.07327347])]"
21666,movel_fit,"[array([ 342.56014084, -761.84603025,  226.61702453])]","[array([-1.67407971,  1.37854011,  0.025319  , -0.97743302, -1.99718051,
        0.06944623])]"
23332,movel_fit,"[array([ 339.84205074, -793.37406235,  253.82587931])]","[array([-1.6791381 ,  1.36685012,  0.04673866, -1.02190326, -2.02720068,
        0.06557423])]"
24999,movel_fit,"[array([ 337.44898702, -825.02001634,  280.3836624 ])]","[array([-1.68340479,  1.35588372,  0.07143877, -1.06883282, -2.05338348,
        0.06212852])]"
26666,movel_fit,"[array([ 335.14494957, -856.636921  ,  306.46494277])]","[array([-1.68728643,  1.34535949,  0.09982111, -1.11734047, -2.07520312,
        0.05957834])]"
28332,movel_fit,"[array([ 332.60446336, -888.07575379,  332.28308074])]","[array([-1.69137206,  1.33477042,  0.13234689, -1.16617927, -2.09190795,
        0.05851103])]"
29999,movel_fit,"[array([ 329.40579562, -919.12035728,  358.13514542])]","[array([-1.69619747,  1.32392826,  0.16967718, -1.21395672, -2.10329028,
        0.05976896])]"
31666,movel_fit,"[array([ 325.04470181, -949.40505412,  384.24372886])]","[array([-1.70226074,  1.31291814,  0.21242299, -1.25910991, -2.10955126,
        0.06429763])]"
33332,movel_fit,"[array([ 318.97391119, -978.53535497,  410.80039058])]","[array([-1.71015235,  1.30156938,  0.26079416, -1.30001392, -2.11083946,
        0.07281589])]"
34999,movel_fit,"[array([  310.66961378, -1006.05022327,   438.06451013])]","[array([-1.72031571,  1.28965606,  0.3144054 , -1.33541524, -2.10779504,
        0.08561607])]"
36665,movel_fit,"[array([  299.69656328, -1031.1900878 ,   466.28542009])]","[array([-1.73273359,  1.2774511 ,  0.37204689, -1.36492913, -2.1024039 ,
        0.10234587])]"
38332,movel_fit,"[array([  285.65841908, -1053.01389443,   495.86961347])]","[array([-1.74711617,  1.26544145,  0.43204743, -1.38932732, -2.0977196 ,
        0.12199478])]"
39999,movel_fit,"[array([  268.22334433, -1070.2414124 ,   527.25192446])]","[array([-1.7630573 ,  1.25405249,  0.49244178, -1.40996106, -2.09733759,
        0.14311625])]"
41665,movel_fit,"[array([  247.4385018 , -1081.51872274,   560.89271727])]","[array([-1.78011468,  1.24286779,  0.55108162, -1.42816542, -2.10403687,
        0.16404905])]"
43332,movel_fit,"[array([  224.37296164, -1086.19650967,   597.14658451])]","[array([-1.79763845,  1.23017174,  0.60565683, -1.44504787, -2.11793548,
        0.18308559])]"
44999,movel_fit,"[array([  200.34005087, -1083.79591713,   636.02459402])]","[array([-1.81464532,  1.21506276,  0.65507739, -1.46166598, -2.13919557,
        0.19924626])]"
46665,movel_fit,"[array([  176.85039206, -1074.27393087,   677.29727452])]","[array([-1.82996524,  1.1970246 ,  0.69867613, -1.47925814, -2.16748075,
        0.21179068])]"
48332,movel_fit,"[array([  155.53103186, -1058.7153312 ,   720.43468344])]","[array([-1.84273021,  1.17544315,  0.73615936, -1.49887126, -2.20030298,
        0.22033057])]"
49999,movel_fit,"[array([  138.04435683, -1039.98106751,   764.65431376])]","[array([-1.85266329,  1.14987942,  0.76607707, -1.52237291, -2.23245075,
        0.22383847])]"
