breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([453.30636219, 637.57908636, 896.77770049])]","[array([-0.09739542,  0.59867766, -0.99975959,  0.7029453 , -1.8338312 ,
        5.52607295])]"
7218,movec_fit,"[array([479.39152677, 598.51534681, 920.90133162]), array([486.88331972, 557.04509805, 953.58972713])]","[array([-0.12574343,  0.60087678, -0.98634774,  0.68816834, -1.81107948,
        5.55280615]), array([-0.15192751,  0.59492606, -0.96238437,  0.67539967, -1.78068175,
        5.58106857])]"
11360,movec_fit,"[array([484.03329966, 537.04819338, 971.20357797]), array([477.24152975, 519.94391977, 987.51903095])]","[array([-0.16247321,  0.59135433, -0.94768719,  0.67111636, -1.76387618,
        5.59591841]), array([-0.17035035,  0.58773106, -0.9323748 ,  0.66839168, -1.74784919,
        5.60930581])]"
15291,movec_fit,"[array([ 467.28512824,  505.26033619, 1002.69974873]), array([ 454.18866193,  491.68239819, 1017.68031127])]","[array([-0.17659632,  0.583406  , -0.91629806,  0.66625938, -1.73252416,
        5.62102906]), array([-0.18218384,  0.57802829, -0.89844862,  0.66416455, -1.71697466,
        5.63197748])]"
18211,movec_fit,"[array([ 442.63329138,  482.13159608, 1028.63834816]), array([ 429.78110214,  472.96194666, 1039.33049232])]","[array([-0.18615144,  0.57336341, -0.88394727,  0.66246829, -1.70529016,
        5.63972387]), array([-0.19013479,  0.56819817, -0.86841152,  0.66053349, -1.69359142,
        5.64717713])]"
21751,movel_fit,"[array([ 394.79474655,  451.88462248, 1063.53799057])]","[array([-0.20101884,  0.55408549, -0.82649645,  0.65411905, -1.66568582,
        5.66414731])]"
26826,movec_fit,"[array([ 367.35342105,  436.78507406, 1079.41966407]), array([ 338.69076774,  421.41660296, 1093.76548991])]","[array([-0.21211682,  0.54228613, -0.79210046,  0.6463568 , -1.64584525,
        5.67550107]), array([-0.22841652,  0.52864302, -0.75350566,  0.63417965, -1.62607986,
        5.68569531])]"
31098,movec_fit,"[array([ 314.58649543,  409.38989046, 1103.69936716]), array([ 291.17608365,  399.22195698, 1111.03030955])]","[array([-0.24738716,  0.51579879, -0.7180111 ,  0.62001519, -1.61023855,
        5.69211629]), array([-0.27274944,  0.50129319, -0.67962171,  0.60155198, -1.59547504,
        5.69529347])]"
35223,movec_fit,"[array([ 270.41915066,  392.2286302 , 1115.00373506]), array([ 254.20042128,  388.87282739, 1115.38581878])]","[array([-0.30477318,  0.48553857, -0.63969922,  0.57913232, -1.5826782 ,
        5.69408259]), array([-0.34467721,  0.46895114, -0.59795639,  0.55252881, -1.57219446,
        5.68770243])]"
42120,movec_fit,"[array([ 247.61311918,  387.53503552, 1110.108553  ]), array([ 282.89035092,  376.67853223, 1104.99477593])]","[array([-0.43163105,  0.44372805, -0.52689159,  0.49664009, -1.56103953,
        5.6658386 ]), array([-0.54752384,  0.43067122, -0.46066331,  0.42091909, -1.55954584,
        5.63152424])]"
46540,movec_fit,"[array([ 327.48951685,  357.31282888, 1104.25327161]), array([ 383.19894633,  324.91249316, 1105.28313125])]","[array([-0.63059164,  0.43225837, -0.426085  ,  0.36612299, -1.56371048,
        5.60331788]), array([-0.71503891,  0.44145249, -0.39934132,  0.31037668, -1.57054702,
        5.57117197])]"
49999,movec_fit,"[array([ 429.48179231,  291.22462523, 1106.19403981]), array([ 472.86489544,  254.43985332, 1105.79234592])]","[array([-0.77831058,  0.45303962, -0.3839849 ,  0.26893555, -1.57663059,
        5.54428586]), array([-0.83343857,  0.46745624, -0.37383492,  0.23365186, -1.58221565,
        5.5179246 ])]"
