breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 253.85985881, -522.0821053 ,  725.73736301])]","[array([-1.17987093, -0.27811698, -0.54800304,  1.11333505, -1.05301631,
        1.71585367])]"
833,movel_fit,"[array([ 265.77639765, -505.28054603,  736.83629731])]","[array([-1.14343697, -0.28972367, -0.54038951,  1.11625076, -1.09592312,
        1.72888808])]"
1666,movel_fit,"[array([ 277.55153422, -488.17813418,  747.61986095])]","[array([-1.10488556, -0.30070675, -0.53262282,  1.12294723, -1.14094631,
        1.73956686])]"
2499,movel_fit,"[array([ 289.1708499 , -470.73947342,  758.02413061])]","[array([-1.06408769, -0.31113247, -0.52487829,  1.1334171 , -1.18813509,
        1.74793668])]"
3333,movel_fit,"[array([ 300.63067986, -452.90881092,  767.99166274])]","[array([-1.02081087, -0.3210134 , -0.51730154,  1.14771138, -1.2376649 ,
        1.75413438])]"
4166,movel_fit,"[array([ 311.88291259, -434.69701954,  777.42382262])]","[array([-0.97494651, -0.33025652, -0.51005401,  1.16585232, -1.28957391,
        1.75836924])]"
4999,movel_fit,"[array([ 322.91694631, -416.05489966,  786.25248998])]","[array([-0.92622977, -0.33875133, -0.50327703,  1.18791698, -1.34409042,
        1.76094766])]"
5833,movel_fit,"[array([ 333.71676985, -396.93701017,  794.40124712])]","[array([-0.87442728, -0.34636442, -0.49714364,  1.21397008, -1.40143421,
        1.76220141])]"
6666,movel_fit,"[array([ 344.22299429, -377.3750924 ,  801.76034398])]","[array([-0.8195866 , -0.35294362, -0.49188808,  1.24390727, -1.46156701,
        1.76245988])]"
7499,movel_fit,"[array([ 354.41075035, -357.34293231,  808.24741732])]","[array([-0.76169676, -0.35837175, -0.48775024,  1.27761439, -1.52458285,
        1.76206353])]"
8333,movel_fit,"[array([ 364.24991309, -336.82465658,  813.77645245])]","[array([-0.70087337, -0.3625007 , -0.48497521,  1.3148913 , -1.59049042,
        1.76140437])]"
9166,movel_fit,"[array([ 373.67298113, -315.89242817,  818.24657451])]","[array([-0.63760035, -0.36510266, -0.48378579,  1.35531715, -1.65891421,
        1.76099596])]"
9999,movel_fit,"[array([ 382.64811947, -294.55923363,  821.58661979])]","[array([-0.57230056, -0.36588473, -0.48434141,  1.39854508, -1.72950346,
        1.76150298])]"
10832,movel_fit,"[array([ 391.13397655, -272.87619817,  823.73209878])]","[array([-0.5056299 , -0.36449058, -0.48674623,  1.44414793, -1.80155747,
        1.76372468])]"
11666,movel_fit,"[array([ 399.10334155, -250.88022823,  824.63698925])]","[array([-0.43830653, -0.36054515, -0.4910514 ,  1.49173899, -1.87415858,
        1.76854288])]"
12499,movel_fit,"[array([ 406.507516  , -228.69749327,  824.27398645])]","[array([-0.37137428, -0.35370974, -0.49723479,  1.54077487, -1.94582389,
        1.77684599])]"
13332,movel_fit,"[array([ 413.33508329, -206.3818104 ,  822.64256159])]","[array([-0.30562364, -0.34365944, -0.50524237,  1.59093859, -2.01503242,
        1.78954727])]"
14166,movel_fit,"[array([ 419.58104931, -183.98890367,  819.75863511])]","[array([-0.2417484 , -0.33008643, -0.51500899,  1.64195929, -2.07993634,
        1.80755355])]"
14999,movel_fit,"[array([ 425.22808634, -161.65270362,  815.66981534])]","[array([-0.18050544, -0.31282689, -0.52644972,  1.69325786, -2.13816407,
        1.83148644])]"
15832,movel_fit,"[array([ 430.29172057, -139.41887882,  810.4310837 ])]","[array([-0.12221159, -0.29188492, -0.5395486 ,  1.74398476, -2.18746012,
        1.86140922])]"
16666,movel_fit,"[array([ 434.79415329, -117.32162178,  804.10418387])]","[array([-0.06694371, -0.26754975, -0.55430874,  1.79252478, -2.22573297,
        1.89638569])]"
17499,movel_fit,"[array([438.74924199, -95.46070709, 796.78101854])]","[array([-0.01466902, -0.2404052 , -0.57065304,  1.83635358, -2.25114606,
        1.93437133])]"
18332,movel_fit,"[array([442.19160912, -73.84369134, 788.53276366])]","[array([ 0.03519368, -0.21087498, -0.58856201,  1.8727076 , -2.26192622,
        1.97311997])]"
19165,movel_fit,"[array([445.15127581, -52.49549171, 779.43564801])]","[array([ 0.08349901, -0.17922267, -0.60809296,  1.89838409, -2.25529748,
        2.01055666])]"
19999,movel_fit,"[array([447.66106811, -31.40935465, 769.55103384])]","[array([ 0.1313688 , -0.14585262, -0.62934102,  1.90966152, -2.22772207,
        2.04472102])]"
20832,movel_fit,"[array([449.74610167, -10.6477489 , 758.97420891])]","[array([ 0.17963415, -0.11190693, -0.65196844,  1.9032319 , -2.17706322,
        2.07380119])]"
21665,movel_fit,"[array([451.44141431,   9.81012164, 747.76103552])]","[array([ 0.22884965, -0.07872171, -0.67515717,  1.87797778, -2.10348108,
        2.09771331])]"
22499,movel_fit,"[array([452.77706002,  29.98919565, 735.95529613])]","[array([ 0.2788785 , -0.04735485, -0.69767517,  1.83480932, -2.00869   ,
        2.11858844])]"
23332,movel_fit,"[array([453.77550046,  49.84602129, 723.63633422])]","[array([ 0.32763077, -0.01863796, -0.71728857,  1.77816558, -1.90270493,
        2.13822299])]"
24165,movel_fit,"[array([454.46604611,  69.41276097, 710.84248956])]","[array([ 0.37273245,  0.00810308, -0.73230906,  1.7144582 , -1.79820803,
        2.1574353 ])]"
24999,movel_fit,"[array([454.86898902,  88.71116551, 697.60373458])]","[array([ 0.4118127 ,  0.03447815, -0.74181466,  1.64811318, -1.70508666,
        2.17553665])]"
