breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 400.63891656,  -40.35899571, 1063.91427199])]","[array([ 0.1924984 , -0.22241355, -0.2771665 , -0.14618656, -1.47523834,
       -2.69303877])]"
999,movel_fit,"[array([ 406.90743664,  -66.05825248, 1054.55123207])]","[array([ 0.1468726 , -0.22175783, -0.2854948 , -0.13741923, -1.4527187 ,
       -2.66424611])]"
1999,movel_fit,"[array([ 412.78272692,  -91.67312023, 1044.63911484])]","[array([ 0.10011526, -0.21869411, -0.29333387, -0.12962869, -1.4288087 ,
       -2.63862204])]"
2999,movel_fit,"[array([ 418.15744105, -117.14835588, 1034.10863665])]","[array([ 0.05238557, -0.21308514, -0.30078926, -0.12297492, -1.40394437,
       -2.61653942])]"
3999,movel_fit,"[array([ 422.92267751, -142.44405543, 1022.88011298])]","[array([ 0.00376861, -0.20481392, -0.30789565, -0.11759205, -1.37849997,
       -2.59833505])]"
4999,movel_fit,"[array([ 426.96152735, -167.5071569 , 1010.87470698])]","[array([-0.04567694, -0.193798  , -0.31464444, -0.11360303, -1.35281579,
       -2.58432696])]"
5999,movel_fit,"[array([ 430.15021379, -192.26830237,  998.01792004])]","[array([-0.0958813 , -0.18000246, -0.32107029, -0.11110243, -1.3272767 ,
       -2.57476453])]"
6999,movel_fit,"[array([ 432.36093471, -216.63923072,  984.24447042])]","[array([-0.1467161 , -0.16345905, -0.32732554, -0.11012911, -1.30236618,
       -2.56975451])]"
7999,movel_fit,"[array([ 433.4668166 , -240.5120998 ,  969.50419093])]","[array([-0.19798059, -0.14429523, -0.33368013, -0.11066175, -1.278597  ,
       -2.56920785])]"
8999,movel_fit,"[array([ 433.34899261, -263.76203243,  953.76818676])]","[array([-0.2494414 , -0.12276372, -0.34044321, -0.11265274, -1.256326  ,
       -2.57284539])]"
9999,movel_fit,"[array([ 431.90522325, -286.25334208,  937.03424446])]","[array([-0.30089351, -0.09925594, -0.34787221, -0.11607267, -1.2355807 ,
       -2.58024991])]"
10999,movel_fit,"[array([ 429.05885666, -307.84860247,  919.33045629])]","[array([-0.3521934 , -0.07428838, -0.35613292, -0.12092376, -1.21601593,
       -2.59091787])]"
11999,movel_fit,"[array([ 424.76651329, -328.41870569,  900.71619045])]","[array([-0.40326124, -0.0484644 , -0.36530067, -0.12722116, -1.19698678,
       -2.60430028])]"
12999,movel_fit,"[array([ 419.02286693, -347.85204994,  881.27978871])]","[array([-0.45409789, -0.02242526, -0.37534643, -0.13498235, -1.17763339,
       -2.61987266])]"
13999,movel_fit,"[array([ 411.86131045, -366.06206001,  861.13266038])]","[array([-0.50482267,  0.00318753, -0.38611637, -0.14423764, -1.15694251,
       -2.6372276 ])]"
14999,movel_fit,"[array([ 403.3500085 , -382.99328716,  840.39993149])]","[array([-0.55563408,  0.02774559, -0.39741295, -0.15499622, -1.1338884 ,
       -2.6560588 ])]"
15999,movel_fit,"[array([ 393.58370126, -398.62582581,  819.20879575])]","[array([-0.60661434,  0.05065529, -0.40921042, -0.16711131, -1.10772603,
       -2.67594569])]"
16999,movel_fit,"[array([ 382.67265885, -412.97564844,  797.6771952 ])]","[array([-0.65753949,  0.07144476, -0.42178354, -0.18015761, -1.07825069,
       -2.69616259])]"
17999,movel_fit,"[array([ 370.73145181, -426.08771128,  775.90647522])]","[array([-0.70805876,  0.08984678, -0.43547125, -0.19358241, -1.0456101 ,
       -2.71594239])]"
18999,movel_fit,"[array([ 357.87107494, -438.0232301 ,  753.98042875])]","[array([-0.75817038,  0.10567682, -0.45031689, -0.20707677, -1.0096888 ,
       -2.73503379])]"
19999,movel_fit,"[array([ 344.19654832, -448.84993358,  731.9689363 ])]","[array([-0.80812083,  0.1186655 , -0.46623242, -0.22053006, -0.97007799,
       -2.75353968])]"
20999,movel_fit,"[array([ 329.80706007, -458.64171896,  709.93043119])]","[array([-0.8576945 ,  0.12870452, -0.48339899, -0.23354335, -0.92694672,
       -2.77113471])]"
21999,movel_fit,"[array([ 314.7918664 , -467.47702056,  687.90990177])]","[array([-0.90655603,  0.13601469, -0.50198669, -0.24569425, -0.8809263 ,
       -2.78748145])]"
22999,movel_fit,"[array([ 299.22461876, -475.42778677,  665.9376429 ])]","[array([-0.95461012,  0.14088529, -0.52199235, -0.25679649, -0.83250558,
       -2.80256136])]"
23999,movel_fit,"[array([ 283.17210957, -482.56669054,  644.03529019])]","[array([-1.00035291,  0.14466017, -0.54347057, -0.26577887, -0.78395292,
       -2.8149635 ])]"
24999,movel_fit,"[array([ 266.69909841, -488.95452017,  622.22799306])]","[array([-1.04364717,  0.14724254, -0.56596371, -0.27251512, -0.73475983,
       -2.82465798])]"
