breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([ 400.62764879,  -40.35649248, 1063.89907285])]","[array([ 0.19352647, -0.22299222, -0.27723313, -0.14622481, -1.47498354,
       -2.69160564])]"
2617,movec_fit,"[array([ 408.77918254,  -74.00897207, 1051.53855989]), array([ 416.18734393, -107.43613472, 1038.21944502])]","[array([ 0.13198535, -0.22075014, -0.28793393, -0.13487329, -1.44557931,
       -2.65669113]), array([ 0.07172493, -0.21621533, -0.29806557, -0.12540832, -1.41317879,
       -2.62299619])]"
4568,movec_fit,"[array([ 421.07214532, -132.194013  , 1027.52079553]), array([ 425.33612008, -156.73784492, 1016.15614876])]","[array([ 0.02337046, -0.20830428, -0.30502626, -0.11978209, -1.38907865,
       -2.605537  ]), array([-0.02377727, -0.19926243, -0.31183705, -0.11481104, -1.3634474 ,
       -2.58922989])]"
6452,movec_fit,"[array([ 428.71277436, -180.22247304, 1004.39427212]), array([ 431.30002488, -203.36331122,  991.89995332])]","[array([-0.07166766, -0.18674883, -0.31787614, -0.11232553, -1.3399785 ,
       -2.57939237]), array([-0.11809199, -0.17349085, -0.32409694, -0.1100998 , -1.31525297,
       -2.57088116])]"
8293,movec_fit,"[array([ 432.91575658, -225.62537017,  978.83823289]), array([ 433.58366685, -247.41902963,  964.98336256])]","[array([-0.16610811, -0.1563022 , -0.32962807, -0.1104117 , -1.29370249,
       -2.5693614 ]), array([-0.21258156, -0.13873181, -0.3356923 , -0.11059856, -1.27106691,
       -2.56924956])]"
10303,movec_fit,"[array([ 433.06541203, -270.58695624,  948.84326555]), array([ 431.21090516, -292.92056326,  931.75150885])]","[array([-0.26519286, -0.11555364, -0.3425029 , -0.11389296, -1.25041531,
       -2.57505221]), array([-0.31588914, -0.09242227, -0.35045875, -0.11668385, -1.22859536,
       -2.58250864])]"
12894,movec_fit,"[array([ 426.66546318, -320.31604828,  908.25229123]), array([ 419.71046527, -345.86570162,  883.34867599])]","[array([-0.38327836, -0.05857633, -0.36125937, -0.12521303, -1.20483625,
       -2.5989481 ]), array([-0.4479382 , -0.02558115, -0.37478719, -0.13273673, -1.17929014,
       -2.61765109])]"
15246,movec_fit,"[array([ 411.30366938, -367.3175388 ,  859.64597129]), array([ 401.05693946, -386.96173446,  835.19038653])]","[array([-0.50869532,  0.00483284, -0.38658708, -0.14524264, -1.15472718,
       -2.63869806]), array([-0.56773213,  0.03402765, -0.40093514, -0.15730557, -1.12904953,
       -2.66064995])]"
15492,movel_fit,"[array([ 398.69129441, -390.87873379,  830.01196173])]","[array([-0.5809886 ,  0.03907783, -0.40281726, -0.16109782, -1.12077841,
       -2.66587846])]"
18078,movec_fit,"[array([ 385.08243535, -410.02719449,  802.29370454]), array([ 369.73141141, -427.06105324,  774.18170826])]","[array([-0.64689823,  0.06661359, -0.41862678, -0.17750339, -1.08351065,
       -2.69189455]), array([-0.71172107,  0.09245957, -0.43729354, -0.19429596, -1.04547492,
       -2.7175234 ])]"
20154,movec_fit,"[array([ 356.29573765, -439.36453239,  751.39015846]), array([ 341.9956204 , -450.42082877,  728.55731033])]","[array([-0.76400278,  0.10723266, -0.45212307, -0.20831229, -1.00492254,
       -2.73737827]), array([-0.81601966,  0.12066344, -0.46883543, -0.22336067, -0.96420532,
       -2.75604282])]"
22358,movec_fit,"[array([ 325.98962037, -461.01618173,  704.25142961]), array([ 309.2494575 , -470.41601248,  680.01994932])]","[array([-0.87016397,  0.13042282, -0.48803952, -0.23624741, -0.91465836,
       -2.77547123]), array([-0.92435521,  0.13884998, -0.50901745, -0.25087321, -0.86511609,
       -2.79301019])]"
24768,movec_fit,"[array([ 290.21120141, -479.56298184,  653.55910951]), array([ 270.5249202 , -487.52610722,  627.2619817 ])]","[array([-0.98022977,  0.14308955, -0.5340334 , -0.26116376, -0.80504194,
       -2.80989567]), array([-1.03643311,  0.14616654, -0.5605548 , -0.27429115, -0.74509958,
       -2.82402132])]"
24999,movel_fit,"[array([ 266.7073223 , -488.96353191,  622.22434194])]","[array([-1.04389271,  0.14673636, -0.56596175, -0.27204191, -0.73384648,
       -2.82548373])]"
