breakpoints,primitives,p_bp,q_bp
0,movej_fit,"[array([566.56451425, 154.70215188, 622.16379348])]","[array([ 0.25633015, -0.21081605, -0.65752756, -1.2572467 , -0.71536826,
       -1.73024889])]"
15,movel_fit,"[array([563.37193404, 109.44750088, 630.27633465])]","[array([ 0.21522365, -0.27246364, -0.68568239, -1.22704135, -0.70069152,
       -1.6939094 ])]"
31,movel_fit,"[array([564.32522615,  55.10308902, 634.92636058])]","[array([ 0.15009713, -0.31648043, -0.7074085 , -1.20452663, -0.67861499,
       -1.66101276])]"
47,movel_fit,"[array([5.69805369e+02, 3.43289273e-01, 6.35072355e+02])]","[array([ 0.07759866, -0.33349422, -0.71862066, -1.19129256, -0.65104924,
       -1.62826365])]"
63,movel_fit,"[array([579.86109555, -56.24569784, 630.60401836])]","[array([-7.94234063e-04, -3.26819962e-01, -7.21370904e-01, -1.19476284e+00,
       -6.09716070e-01, -1.58673030e+00])]"
79,movel_fit,"[array([ 593.07349988, -108.43116933,  622.20146764])]","[array([-0.07179929, -0.29813317, -0.71505534, -1.21203197, -0.56341976,
       -1.54019759])]"
95,movel_fit,"[array([ 610.13103539, -160.43391517,  609.67899204])]","[array([-0.13809551, -0.25107533, -0.70088025, -1.24866585, -0.50748598,
       -1.47866616])]"
111,movel_fit,"[array([ 630.00773612, -209.73391625,  593.87463603])]","[array([-0.1975361 , -0.18956408, -0.67793983, -1.3096225 , -0.44928151,
       -1.40278391])]"
127,movel_fit,"[array([ 650.92914664, -254.16676698,  576.20876765])]","[array([-0.24988129, -0.1217888 , -0.64804422, -1.39294869, -0.40560606,
       -1.31489151])]"
143,movel_fit,"[array([ 675.04309988, -299.83419102,  554.68867638])]","[array([-0.3067526 , -0.04615574, -0.60976624, -1.50553502, -0.39898326,
       -1.2054723 ])]"
159,movel_fit,"[array([ 699.964204  , -343.46843412,  531.21370683])]","[array([-0.36575328,  0.02848232, -0.56731652, -1.61143482, -0.43839673,
       -1.1110764 ])]"
175,movel_fit,"[array([ 724.74758708, -385.12983859,  506.5207912 ])]","[array([-0.42211933,  0.10294457, -0.52157829, -1.70018446, -0.49148933,
       -1.04264712])]"
191,movel_fit,"[array([ 749.25409783, -426.01448956,  480.53487871])]","[array([-0.47513026,  0.17803408, -0.47314045, -1.7801789 , -0.54582999,
       -0.9904425 ])]"
207,movel_fit,"[array([ 772.6478825 , -465.82777378,  453.99055363])]","[array([-0.52396581,  0.251559  , -0.42408272, -1.85449719, -0.5979958 ,
       -0.94911869])]"
223,movel_fit,"[array([ 794.35350324, -504.29606789,  427.42031925])]","[array([-0.56888233,  0.32356501, -0.37416144, -1.92318753, -0.64500914,
       -0.9197129 ])]"
239,movel_fit,"[array([ 816.34053374, -545.52776599,  397.81347091])]","[array([-0.61469477,  0.40354841, -0.31592354, -1.99173938, -0.68855273,
       -0.90305253])]"
255,movel_fit,"[array([ 836.92793765, -586.67108202,  366.83754196])]","[array([-0.65710467,  0.48506989, -0.25447175, -2.05522344, -0.72673247,
       -0.89533194])]"
271,movel_fit,"[array([ 856.1105763 , -627.16226081,  334.91989713])]","[array([-0.69441765,  0.56654697, -0.19056494, -2.11027454, -0.75980035,
       -0.89236343])]"
287,movel_fit,"[array([ 874.13843735, -666.61070551,  302.51697074])]","[array([-0.72719592,  0.64748281, -0.12393412, -2.15787175, -0.78889589,
       -0.89336609])]"
303,movel_fit,"[array([ 891.39603538, -704.78390278,  269.94012563])]","[array([-0.75607498,  0.72829034, -0.05348359, -2.19843439, -0.81458442,
       -0.89914616])]"
319,movel_fit,"[array([ 908.30684093, -741.4965892 ,  237.63876262])]","[array([-0.78025526,  0.80941675,  0.02296445, -2.227258  , -0.83597483,
       -0.91004894])]"
335,movel_fit,"[array([ 926.89249866, -780.18504899,  202.94740219])]","[array([-0.80147634,  0.89674846,  0.11140781, -2.24942859, -0.85756469,
       -0.92004175])]"
351,movel_fit,"[array([ 945.5973911 , -817.11992393,  170.00409667])]","[array([-0.81669229,  0.98023692,  0.20297656, -2.26128113, -0.87770593,
       -0.92281092])]"
367,movel_fit,"[array([ 964.95379628, -854.02571707,  138.41560361])]","[array([-0.8278192 ,  1.05958613,  0.29491618, -2.27335154, -0.90006642,
       -0.90963457])]"
383,movel_fit,"[array([ 984.6763307 , -891.38692799,  108.85452784])]","[array([-0.83535946,  1.13747852,  0.39232065, -2.27733383, -0.92186099,
       -0.88790443])]"
399,movel_fit,"[array([1005.85250521, -933.06592504,   79.60241122])]","[array([-0.84101502,  1.22229134,  0.50677907, -2.27178775, -0.94357939,
       -0.85845674])]"
