breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([1090.18199893, -506.72234241,  994.04794232])]","[array([-0.5771445 , -0.01209907,  0.38829217, -2.80559258, -1.63802579,
        0.98003753])]"
10321,movec_fit,"[array([1086.11489037, -400.73498415,  994.24070141]), array([1075.95019634, -295.17846538,  994.03813429])]","[array([-0.53526203, -0.11972913,  0.48064293, -2.75066427, -1.57234404,
        0.91369648]), array([-0.4912663 , -0.23075174,  0.5716606 , -2.69427616, -1.51043915,
        0.84869898])]"
16331,movel_fit,"[array([1060.45035758, -172.6625073 ,  990.4770508 ])]","[array([-0.47826896, -0.47347957,  0.76411608, -2.53977356, -1.34230779,
        0.70847362])]"
20988,movec_fit,"[array([1056.58183423, -124.98585714,  989.02747761]), array([1055.85964687,  -77.15737205,  988.74710652])]","[array([-0.45282102, -0.53061045,  0.80722886, -2.49838663, -1.30123626,
        0.78614709]), array([-0.41990998, -0.58695862,  0.84688519, -2.46180903, -1.25358698,
        0.87081581])]"
24345,movec_fit,"[array([1058.65959791,  -42.7810068 ,  989.833366  ]), array([1063.92796088,   -8.73984509,  991.50079423])]","[array([-0.37465176, -0.5893131 ,  0.8418102 , -2.4724879 , -1.23369383,
        1.02324411]), array([-0.3298582 , -0.58555592,  0.83381669, -2.48337032, -1.21320331,
        1.17379576])]"
26980,movec_fit,"[array([1070.11307167,   17.61154378,  992.66241024]), array([1077.28075285,   43.70968098,  993.29403036])]","[array([-0.27357127, -0.52098889,  0.77967319, -2.54339536, -1.24191736,
        1.32844101]), array([-0.2260492 , -0.45094756,  0.72643369, -2.5888034 , -1.27959242,
        1.46789999])]"
30094,movec_fit,"[array([1086.77532347,   74.27118841,  992.21165918]), array([1096.27154796,  104.69105218,  989.53817743])]","[array([-0.17082298, -0.3233318 ,  0.63747784, -2.64545979, -1.37129233,
        1.61799343]), array([-0.12819273, -0.19566887,  0.55630809, -2.67645419, -1.47027281,
        1.74538362])]"
33056,movec_fit,"[array([1103.96457433,  133.86580454,  985.33894204]), array([1110.00223964,  163.38965532,  981.17134631])]","[array([-0.09990966, -0.08575183,  0.49474923, -2.67947689, -1.5664169 ,
        1.76908982]), array([-0.07191407,  0.01947131,  0.43952249, -2.67782152, -1.6615207 ,
        1.79018796])]"
35806,movec_fit,"[array([1112.44131569,  191.46314792,  979.03272947]), array([1111.63856856,  219.66860416,  979.40059052])]","[array([-0.05663607,  0.07235126,  0.41794997, -2.65462837, -1.72404898,
        1.65330541]), array([-0.0360632 ,  0.12194527,  0.39638696, -2.64093789, -1.78859478,
        1.52010374])]"
38510,movec_fit,"[array([1106.85025007,  246.86059561,  982.57376255]), array([1098.83247296,  273.03614355,  987.12111304])]","[array([-0.01207803,  0.09166734,  0.40676408, -2.64519681, -1.7747049 ,
        1.36800854]), array([ 0.00921913,  0.05660428,  0.42161001, -2.64826637, -1.75924512,
        1.21531534])]"
41000,movec_fit,"[array([1089.21530626,  296.48827861,  990.71597055]), array([1078.44869392,  319.61524846,  992.30899255])]","[array([ 0.03115273, -0.07404632,  0.48598145, -2.65732317, -1.63199138,
        1.15135008]), array([ 0.05573848, -0.21165018,  0.56417478, -2.66171728, -1.49667663,
        1.08949307])]"
42522,movel_fit,"[array([1065.66812166,  348.17442746,  991.548677  ])]","[array([ 0.085699  , -0.39181648,  0.68081141, -2.64745016, -1.31104408,
        1.06156863])]"
43672,movel_fit,"[array([1057.28531783,  370.15356033,  989.09256131])]","[array([ 0.10913942, -0.51066907,  0.76531881, -2.62280463, -1.1777677 ,
        1.11548493])]"
46172,movec_fit,"[array([1052.34094129,  395.27753726,  987.21744888]), array([1052.46029744,  420.91074805,  987.27392135])]","[array([ 0.132516  , -0.61294184,  0.84356104, -2.57870936, -1.04134836,
        1.29168122]), array([ 0.18682407, -0.7102632 ,  0.91439853, -2.58516978, -0.88372718,
        1.51517469])]"
47088,movel_fit,"[array([1056.37631451,  439.27340927,  988.87283179])]","[array([ 0.21246647, -0.6843253 ,  0.89483718, -2.61387691, -0.86051274,
        1.78560849])]"
48300,movel_fit,"[array([1065.43214425,  462.39894852,  991.18795309])]","[array([ 0.24728755, -0.61560281,  0.8406552 , -2.67753729, -0.88134663,
        2.00441128])]"
49580,movel_fit,"[array([1077.67851102,  485.68870552,  991.99081034])]","[array([ 0.23980365, -0.44731731,  0.71729717, -2.6844925 , -1.03406952,
        2.14856805])]"
49999,movel_fit,"[array([1081.88219638,  493.19205993,  991.140299  ])]","[array([ 0.23631111, -0.38557349,  0.67363412, -2.68218538, -1.09426344,
        2.16870113])]"
