breakpoints,primitives,points
0,movej_fit,"[array([-0.58148742, -0.02344885,  0.39690092, -2.79791938, -1.62474757,
        0.96808087])]"
6743,movel_fit,"[array([1084.53230492, -368.28832222,  994.13526851])]"
14647,movel_fit,"[array([1065.07679668, -206.93887514,  992.32671254])]"
18188,movel_fit,"[array([1056.49777396, -134.77406764,  988.494211  ])]"
21673,movel_fit,"[array([1055.96931949,  -63.07430248,  988.63446819])]"
24995,movel_fit,"[array([1065.90838107,    4.47389472,  991.8292466 ])]"
28345,movel_fit,"[array([1085.14546955,   70.64068461,  993.29693604])]"
31758,movel_fit,"[array([1105.6318035 ,  137.32960827,  985.40781936])]"
34063,movel_fit,"[array([1112.76488278,  183.77531743,  978.8534415 ])]"
36077,movel_fit,"[array([1111.77312713,  225.26102582,  979.62332638])]"
38434,movel_fit,"[array([1100.32253379,  271.90560276,  986.79385235])]"
40841,movel_fit,"[array([1080.24056619,  316.7687786 ,  992.98912396])]"
43365,movel_fit,"[array([1058.72373744,  363.99993332,  990.13980272])]"
45093,movel_fit,"[array([1051.19356954,  398.63246353,  986.6602255 ])]"
46672,movel_fit,"[array([1053.6055361 ,  431.13028175,  987.91685606])]"
48750,movel_fit,"[array([1068.99100308,  470.906761  ,  991.98452456])]"
50000,movel_fit,"[array([1082.14659974,  493.08610623,  991.42247426])]"
