timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0.000367, -1, 11.3778, 13.6139, 17.3392, -145.519, -97.9227, 142.516
0.003319, -1, 11.3778, 13.6139, 17.3392, -145.519, -97.9227, 142.516
0.010013, -1, 11.3778, 13.6139, 17.3392, -145.519, -97.9227, 142.516
0.032456, -1, 11.3778, 13.6139, 17.3392, -145.519, -97.9227, 142.516
0.034493, -1, 11.3778, 13.6139, 17.3392, -145.519, -97.9227, 142.516
0.035795, -1, 11.3778, 13.6139, 17.3392, -145.519, -97.9227, 142.516
0.039971, -1, 11.3778, 13.6139, 17.3392, -145.519, -97.9228, 142.516
0.048011, -1, 11.3778, 13.6139, 17.3392, -145.519, -97.9227, 142.516
0.055022, -1, 11.3776, 13.6139, 17.3392, -145.519, -97.9227, 142.516
0.064006, -1, 11.376, 13.6138, 17.3392, -145.519, -97.9227, 142.516
0.072019, -1, 11.3717, 13.6134, 17.3391, -145.519, -97.9227, 142.516
0.081657, -1, 11.363, 13.6121, 17.3389, -145.519, -97.9227, 142.512
0.088008, -1, 11.3491, 13.6094, 17.3383, -145.52, -97.9227, 142.508
0.096011, -1, 11.3274, 13.6046, 17.3375, -145.523, -97.9224, 142.492
0.104851, -1, 11.2951, 13.5969, 17.3367, -145.528, -97.9213, 142.462
0.11101, -1, 11.251, 13.586, 17.3365, -145.537, -97.9187, 142.409
0.120022, -1, 11.1952, 13.572, 17.3372, -145.552, -97.9143, 142.329
0.130908, -1, 11.128, 13.5548, 17.3401, -145.572, -97.9077, 142.146
0.136104, -1, 11.0491, 13.5335, 17.3453, -145.598, -97.8987, 142.067
0.144076, -1, 10.9583, 13.5087, 17.3527, -145.629, -97.8875, 141.885
0.152062, -1, 10.8564, 13.4807, 17.3623, -145.666, -97.8746, 141.673
0.159163, -1, 10.7435, 13.4493, 17.3733, -145.707, -97.8604, 141.436
0.167138, -1, 10.6197, 13.415, 17.3847, -145.75, -97.8453, 141.182
0.175177, -1, 10.4858, 13.3781, 17.3956, -145.795, -97.8297, 140.917
0.183198, -1, 10.3442, 13.3393, 17.4061, -145.842, -97.8137, 140.644
0.191138, -1, 10.1968, 13.2992, 17.4162, -145.89, -97.7973, 140.369
0.19912, -1, 10.0458, 13.2585, 17.4263, -145.937, -97.7804, 140.091
0.207219, -1, 9.89221, 13.2173, 17.4364, -145.985, -97.7633, 139.813
0.215091, -1, 9.73693, 13.1759, 17.4465, -146.033, -97.746, 139.534
0.223058, -1, 9.58151, 13.1346, 17.4565, -146.081, -97.729, 139.255
0.231192, -1, 9.42673, 13.0935, 17.4663, -146.129, -97.7121, 138.976
0.239132, -1, 9.27233, 13.0524, 17.4763, -146.177, -97.6954, 138.696
0.247188, -1, 9.11835, 13.0114, 17.4863, -146.225, -97.6787, 138.417
0.255621, -1, 8.96472, 12.9704, 17.4964, -146.273, -97.6619, 138.137
0.26408, -1, 8.81123, 12.9294, 17.5065, -146.321, -97.6449, 137.858
0.272027, -1, 8.65817, 12.8884, 17.5166, -146.369, -97.6276, 137.578
0.279507, -1, 8.50543, 12.8472, 17.5267, -146.417, -97.61, 137.298
0.288098, -1, 8.35259, 12.806, 17.5369, -146.465, -97.5926, 137.018
0.29561, -1, 8.19931, 12.7646, 17.547, -146.512, -97.5755, 136.739
0.304174, -1, 8.04564, 12.723, 17.5573, -146.56, -97.5587, 136.459
0.311576, -1, 7.89139, 12.6815, 17.5674, -146.608, -97.542, 136.179
0.320165, -1, 7.73657, 12.6399, 17.5774, -146.656, -97.5254, 135.899
0.32764, -1, 7.65903, 12.6191, 17.5825, -146.68, -97.5086, 135.619
0.336662, -1, 7.42634, 12.5569, 17.5977, -146.752, -97.4916, 135.339
0.344044, -1, 7.27117, 12.5155, 17.6078, -146.8, -97.4743, 135.059
0.351007, -1, 7.1936, 12.4948, 17.613, -146.824, -97.4655, 134.919
0.360931, -1, 6.96075, 12.4328, 17.6284, -146.897, -97.4397, 134.499
0.368184, -1, 6.80562, 12.3917, 17.6386, -146.945, -97.4228, 134.219
0.375064, -1, 6.72821, 12.3711, 17.6438, -146.969, -97.4144, 134.079
0.38512, -1, 6.49649, 12.3092, 17.6594, -147.041, -97.3893, 133.658
0.391061, -1, 6.41932, 12.2886, 17.6645, -147.065, -97.3809, 133.518
0.400804, -1, 6.18797, 12.2266, 17.6799, -147.137, -97.3554, 133.097
0.409332, -1, 6.0336, 12.1851, 17.6901, -147.185, -97.3381, 132.816
