timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.002, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.006, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.008, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.011, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.016, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.02, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.024, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.028, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.032, -1, 11.44, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.036, -1, 11.4399, 13.9721, 17.1477, -145.549, -98.3457, 141.962
0.04, -1, 11.4396, 13.9721, 17.1476, -145.549, -98.3457, 141.962
0.044, -1, 11.4389, 13.972, 17.1476, -145.549, -98.3457, 141.962
0.048, -1, 11.4376, 13.9718, 17.1474, -145.549, -98.3457, 141.962
0.052, -1, 11.4356, 13.9715, 17.1472, -145.549, -98.3457, 141.961
0.056, -1, 11.4326, 13.971, 17.1469, -145.549, -98.3456, 141.961
0.06, -1, 11.4285, 13.9702, 17.1465, -145.549, -98.3456, 141.96
0.064, -1, 11.4233, 13.9692, 17.1459, -145.55, -98.3455, 141.958
0.068, -1, 11.4167, 13.9678, 17.1453, -145.55, -98.3453, 141.954
0.072, -1, 11.4086, 13.9659, 17.1446, -145.551, -98.345, 141.949
0.076, -1, 11.3986, 13.9635, 17.1439, -145.552, -98.3446, 141.942
0.08, -1, 11.3863, 13.9605, 17.1431, -145.554, -98.344, 141.932
0.084, -1, 11.3713, 13.9568, 17.1424, -145.557, -98.3432, 141.917
0.088, -1, 11.3536, 13.9522, 17.1417, -145.56, -98.342, 141.899
0.092, -1, 11.3329, 13.9469, 17.1413, -145.564, -98.3405, 141.875
0.096, -1, 11.3094, 13.9407, 17.1413, -145.569, -98.3385, 141.845
0.1, -1, 11.2831, 13.9336, 17.1417, -145.576, -98.3361, 141.807
0.104, -1, 11.2539, 13.9257, 17.1427, -145.583, -98.3332, 141.762
0.108, -1, 11.2216, 13.9169, 17.1443, -145.592, -98.3297, 141.709
0.112, -1, 11.1863, 13.9071, 17.1466, -145.603, -98.3256, 141.647
0.116, -1, 11.1477, 13.8964, 17.1496, -145.615, -98.3209, 141.576
0.12, -1, 11.1058, 13.8846, 17.1531, -145.629, -98.3156, 141.497
0.124, -1, 11.0606, 13.8719, 17.1573, -145.644, -98.3098, 141.409
0.128, -1, 11.0123, 13.8583, 17.162, -145.66, -98.3034, 141.314
0.131, -1, 10.9609, 13.8438, 17.1672, -145.678, -98.2965, 141.211
0.136, -1, 10.9067, 13.8285, 17.1728, -145.697, -98.2891, 141.101
0.139, -1, 10.8498, 13.8123, 17.1787, -145.717, -98.2814, 140.986
0.144, -1, 10.79, 13.7954, 17.1848, -145.737, -98.2733, 140.865
0.148, -1, 10.7276, 13.7778, 17.191, -145.759, -98.265, 140.741
0.152, -1, 10.6626, 13.7595, 17.1972, -145.781, -98.2564, 140.612
0.156, -1, 10.5954, 13.7405, 17.2033, -145.803, -98.2477, 140.482
0.16, -1, 10.5262, 13.7211, 17.2093, -145.826, -98.2388, 140.349
0.164, -1, 10.4554, 13.7012, 17.2152, -145.849, -98.2298, 140.214
0.168, -1, 10.3833, 13.681, 17.2211, -145.872, -98.2208, 140.078
0.172, -1, 10.31, 13.6605, 17.2269, -145.896, -98.2117, 139.941
0.176, -1, 10.2359, 13.6398, 17.2326, -145.919, -98.2025, 139.804
0.18, -1, 10.161, 13.6189, 17.2382, -145.943, -98.1934, 139.666
0.184, -1, 10.0855, 13.5979, 17.2438, -145.967, -98.1842, 139.528
0.188, -1, 10.0094, 13.5769, 17.2494, -145.99, -98.175, 139.39
0.192, -1, 9.93295, 13.5557, 17.2549, -146.014, -98.1658, 139.251
0.196, -1, 9.85626, 13.5345, 17.2604, -146.038, -98.1566, 139.112
0.2, -1, 9.77938, 13.5133, 17.2659, -146.062, -98.1474, 138.974
0.204, -1, 9.70238, 13.4921, 17.2714, -146.086, -98.1381, 138.835
0.208, -1, 9.62529, 13.4708, 17.2769, -146.11, -98.1289, 138.696
0.212, -1, 9.54814, 13.4496, 17.2824, -146.133, -98.1197, 138.557
0.216, -1, 9.47095, 13.4283, 17.2879, -146.157, -98.1105, 138.418
0.22, -1, 9.39373, 13.407, 17.2934, -146.181, -98.1013, 138.279
0.224, -1, 9.31648, 13.3857, 17.2989, -146.205, -98.092, 138.14
0.228, -1, 9.23921, 13.3644, 17.3044, -146.229, -98.0828, 138.001
0.232, -1, 9.16193, 13.3432, 17.3098, -146.253, -98.0736, 137.862
0.236, -1, 9.08464, 13.3219, 17.3153, -146.277, -98.0643, 137.723
0.24, -1, 9.00733, 13.3006, 17.3208, -146.3, -98.0551, 137.584
0.244, -1, 8.93002, 13.2793, 17.3263, -146.324, -98.0459, 137.445
0.248, -1, 8.8527, 13.258, 17.3318, -146.348, -98.0366, 137.306
0.252, -1, 8.77537, 13.2367, 17.3373, -146.372, -98.0274, 137.167
0.256, -1, 8.69803, 13.2154, 17.3428, -146.396, -98.0182, 137.028
0.26, -1, 8.62068, 13.1941, 17.3482, -146.42, -98.0089, 136.889
0.264, -1, 8.54333, 13.1728, 17.3537, -146.444, -97.9997, 136.75
0.268, -1, 8.46597, 13.1514, 17.3592, -146.468, -97.9905, 136.61
0.272, -1, 8.3886, 13.1301, 17.3647, -146.491, -97.9812, 136.471
0.276, -1, 8.31122, 13.1088, 17.3702, -146.515, -97.972, 136.332
0.28, -1, 8.23384, 13.0875, 17.3757, -146.539, -97.9628, 136.193
0.284, -1, 8.15645, 13.0662, 17.3812, -146.563, -97.9535, 136.054
0.288, -1, 8.07905, 13.0449, 17.3867, -146.587, -97.9443, 135.915
0.292, -1, 8.00165, 13.0235, 17.3921, -146.611, -97.935, 135.775
0.296, -1, 7.92424, 13.0022, 17.3976, -146.635, -97.9258, 135.636
0.3, -1, 7.84682, 12.9809, 17.4031, -146.659, -97.9165, 135.497
0.304, -1, 7.76939, 12.9596, 17.4086, -146.683, -97.9073, 135.358
0.308, -1, 7.69196, 12.9382, 17.4141, -146.706, -97.8981, 135.218
0.312, -1, 7.61452, 12.9169, 17.4196, -146.73, -97.8888, 135.079
0.316, -1, 7.53707, 12.8956, 17.4251, -146.754, -97.8796, 134.94
0.32, -1, 7.45961, 12.8742, 17.4306, -146.778, -97.8703, 134.801
0.324, -1, 7.38215, 12.8529, 17.4361, -146.802, -97.8611, 134.661
0.328, -1, 7.30468, 12.8315, 17.4416, -146.826, -97.8518, 134.522
0.332, -1, 7.2272, 12.8102, 17.4471, -146.85, -97.8426, 134.383
0.336, -1, 7.14972, 12.7889, 17.4526, -146.874, -97.8333, 134.243
0.34, -1, 7.07223, 12.7675, 17.4581, -146.898, -97.8241, 134.104
0.344, -1, 6.99473, 12.7462, 17.4636, -146.922, -97.8148, 133.964
0.348, -1, 6.91722, 12.7248, 17.4691, -146.946, -97.8055, 133.825
0.352, -1, 6.83971, 12.7035, 17.4746, -146.97, -97.7963, 133.686
0.356, -1, 6.76219, 12.6821, 17.4801, -146.993, -97.787, 133.546
0.36, -1, 6.68466, 12.6607, 17.4856, -147.017, -97.7778, 133.407
0.364, -1, 6.60712, 12.6394, 17.4911, -147.041, -97.7685, 133.267
0.368, -1, 6.52958, 12.618, 17.4965, -147.065, -97.7593, 133.128
0.372, -1, 6.45203, 12.5967, 17.5021, -147.089, -97.75, 132.988
0.376, -1, 6.37448, 12.5753, 17.5076, -147.113, -97.7408, 132.849
0.38, -1, 6.29691, 12.5539, 17.5131, -147.137, -97.7315, 132.709
0.384, -1, 6.21934, 12.5326, 17.5186, -147.161, -97.7222, 132.57
0.388, -1, 6.14176, 12.5112, 17.5241, -147.185, -97.713, 132.43
0.392, -1, 6.06417, 12.4898, 17.5296, -147.209, -97.7037, 132.291
0.396, -1, 5.98658, 12.4684, 17.5351, -147.233, -97.6944, 132.151
0.4, -1, 5.90898, 12.4471, 17.5406, -147.257, -97.6852, 132.012
0.404, -1, 5.83137, 12.4257, 17.5461, -147.281, -97.6759, 131.872
0.408, -1, 5.75375, 12.4043, 17.5516, -147.305, -97.6666, 131.733
0.412, -1, 5.67613, 12.3829, 17.5571, -147.329, -97.6574, 131.593
0.416, -1, 5.5985, 12.3615, 17.5626, -147.353, -97.6481, 131.453
0.42, -1, 5.52086, 12.3402, 17.5681, -147.377, -97.6388, 131.314
0.424, -1, 5.44321, 12.3188, 17.5736, -147.401, -97.6296, 131.174
0.428, -1, 5.36556, 12.2974, 17.5791, -147.425, -97.6203, 131.034
0.432, -1, 5.28789, 12.276, 17.5846, -147.449, -97.611, 130.895
0.436, -1, 5.21023, 12.2546, 17.5901, -147.473, -97.6017, 130.755
0.44, -1, 5.13255, 12.2332, 17.5956, -147.497, -97.5925, 130.615
0.444, -1, 5.05486, 12.2118, 17.6011, -147.521, -97.5832, 130.476
0.448, -1, 4.97717, 12.1904, 17.6067, -147.545, -97.5739, 130.336
0.452, -1, 4.89947, 12.169, 17.6122, -147.569, -97.5646, 130.196
0.456, -1, 4.82177, 12.1476, 17.6177, -147.593, -97.5554, 130.056
0.46, -1, 4.74405, 12.1262, 17.6232, -147.617, -97.5461, 129.917
0.464, -1, 4.66633, 12.1048, 17.6287, -147.641, -97.5368, 129.777
0.468, -1, 4.5886, 12.0834, 17.6342, -147.665, -97.5275, 129.637
0.472, -1, 4.51086, 12.0619, 17.6397, -147.689, -97.5182, 129.497
0.476, -1, 4.43312, 12.0405, 17.6452, -147.713, -97.5089, 129.358
0.48, -1, 4.35537, 12.0191, 17.6508, -147.737, -97.4997, 129.218
0.484, -1, 4.27761, 11.9977, 17.6563, -147.761, -97.4904, 129.078
0.488, -1, 4.19984, 11.9763, 17.6618, -147.785, -97.4811, 128.938
0.492, -1, 4.12206, 11.9548, 17.6673, -147.809, -97.4718, 128.798
0.496, -1, 4.04428, 11.9334, 17.6728, -147.833, -97.4625, 128.658
0.5, -1, 3.96649, 11.912, 17.6783, -147.857, -97.4532, 128.518
0.504, -1, 3.88869, 11.8905, 17.6839, -147.881, -97.4439, 128.378
0.508, -1, 3.81088, 11.8691, 17.6894, -147.905, -97.4347, 128.238
0.512, -1, 3.73307, 11.8477, 17.6949, -147.929, -97.4254, 128.098
0.516, -1, 3.65525, 11.8262, 17.7004, -147.953, -97.4161, 127.959
0.52, -1, 3.57742, 11.8048, 17.7059, -147.977, -97.4068, 127.819
0.524, -1, 3.49958, 11.7834, 17.7114, -148.001, -97.3975, 127.679
0.528, -1, 3.42174, 11.7619, 17.717, -148.025, -97.3882, 127.539
0.532, -1, 3.34388, 11.7405, 17.7225, -148.049, -97.3789, 127.399
0.536, -1, 3.26602, 11.719, 17.728, -148.073, -97.3696, 127.259
0.54, -1, 3.18815, 11.6976, 17.7335, -148.097, -97.3603, 127.118
0.544, -1, 3.11028, 11.6761, 17.7391, -148.121, -97.351, 126.978
0.548, -1, 3.03239, 11.6547, 17.7446, -148.145, -97.3417, 126.838
0.552, -1, 2.9545, 11.6332, 17.7501, -148.169, -97.3324, 126.698
0.556, -1, 2.8766, 11.6118, 17.7556, -148.193, -97.3231, 126.558
0.56, -1, 2.79869, 11.5903, 17.7612, -148.217, -97.3138, 126.418
0.564, -1, 2.72078, 11.5688, 17.7667, -148.241, -97.3045, 126.278
0.568, -1, 2.64286, 11.5474, 17.7722, -148.265, -97.2952, 126.138
0.572, -1, 2.56492, 11.5259, 17.7777, -148.289, -97.2859, 125.998
0.576, -1, 2.48699, 11.5044, 17.7833, -148.313, -97.2766, 125.857
