breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1090.16121372, -506.72253554,  994.04660022])]","[array([-0.58589046, -0.03341733,  0.40482559, -2.79157683, -1.61501501,
        0.95669868])]"
999,movel_fit,"[array([1089.87327558, -486.19544676,  994.00598958])]","[array([-0.57317617, -0.04277318,  0.41409951, -2.78866103, -1.61408705,
        0.95655187])]"
1999,movel_fit,"[array([1089.3485966 , -465.64945538,  993.99772379])]","[array([-0.561476  , -0.05458951,  0.42520158, -2.78391675, -1.61065639,
        0.95345656])]"
2999,movel_fit,"[array([1088.58691141, -445.10814822,  994.01684143])]","[array([-0.55077021, -0.06893143,  0.4381293 , -2.7774247 , -1.60470971,
        0.94747755])]"
3999,movel_fit,"[array([1087.58809772, -424.57764555,  994.05493497])]","[array([-0.54103418, -0.08585717,  0.45289494, -2.76924116, -1.59625387,
        0.93867258])]"
4999,movel_fit,"[array([1086.35263196, -404.06010802,  994.10025336])]","[array([-0.53224562, -0.10540969,  0.46951681, -2.75939875, -1.58531674,
        0.92711603])]"
5999,movel_fit,"[array([1084.88248451, -383.55783201,  994.13785144])]","[array([-0.52438111, -0.12760214,  0.48800625, -2.74791377, -1.57195906,
        0.91292216])]"
6999,movel_fit,"[array([1083.18217252, -363.07327533,  994.14994589])]","[array([-0.51740865, -0.15240175,  0.5083532 , -2.73479533, -1.55628837,
        0.8962728 ])]"
7999,movel_fit,"[array([1081.25999072, -342.60852828,  994.11659698])]","[array([-0.51127858, -0.17971268,  0.53050978, -2.72005662, -1.53847241,
        0.87744945])]"
8999,movel_fit,"[array([1079.12935213, -322.16411565,  994.01682163])]","[array([-0.50591379, -0.20936123,  0.55437428, -2.7037273 , -1.51874798,
        0.856868  ])]"
9999,movel_fit,"[array([1076.81064026, -301.74108665,  993.83025545])]","[array([-0.50120184, -0.24108108,  0.57977362, -2.68586889, -1.49742531,
        0.83511782])]"
10999,movel_fit,"[array([1074.33277119, -281.33878601,  993.53940309])]","[array([-0.49698825, -0.27451268,  0.60645631, -2.66658506, -1.47487751,
        0.81299338])]"
11999,movel_fit,"[array([1071.73470804, -260.95256432,  993.13241099])]","[array([-0.49307437, -0.3092145 ,  0.63409486, -2.64602663, -1.45151641,
        0.79151605])]"
12999,movel_fit,"[array([1069.06774438, -240.57776349,  992.60639553])]","[array([-0.48922101, -0.34467389,  0.66228929, -2.62439693, -1.42776483,
        0.77194802])]"
13999,movel_fit,"[array([1066.39662198, -220.20548206,  991.97081714])]","[array([-0.48515352, -0.3803383 ,  0.69058879, -2.60194519, -1.4040137 ,
        0.75577844])]"
14999,movel_fit,"[array([1063.80150469, -199.82776053,  991.25081887])]","[array([-0.48056762, -0.41563028,  0.71850218, -2.57897245, -1.38059111,
        0.74469824])]"
15999,movel_fit,"[array([1061.37767595, -179.42965162,  990.4892228 ])]","[array([-0.4751249 , -0.44997616,  0.74551895, -2.55583796, -1.35772503,
        0.74054818])]"
16999,movel_fit,"[array([1059.23664063, -158.99975186,  989.74733848])]","[array([-0.46843821, -0.48278316,  0.77108729, -2.53301693, -1.33554337,
        0.74526291])]"
17999,movel_fit,"[array([1057.50401068, -138.52862045,  989.10240455])]","[array([-0.46003804, -0.51340743,  0.79458275, -2.51118833, -1.31408447,
        0.76078435])]"
18999,movel_fit,"[array([1056.31568156, -118.01392143,  988.6409632 ])]","[array([-0.44933179, -0.54106804,  0.81523765, -2.49137257, -1.29335567,
        0.78894009])]"
19999,movel_fit,"[array([1055.81037485,  -97.47782369,  988.44677477])]","[array([-0.43559043, -0.5646989 ,  0.83204061, -2.47508361, -1.27346981,
        0.83122774])]"
20999,movel_fit,"[array([1056.11629152,  -76.93479062,  988.58250118])]","[array([-0.41796889, -0.58282318,  0.84368907, -2.4643531 , -1.25482872,
        0.88862084])]"
21999,movel_fit,"[array([1057.33730363,  -56.42395872,  989.06922328])]","[array([-0.39567925, -0.59336577,  0.84854814, -2.46158696, -1.23846707,
        0.96122267])]"
22999,movel_fit,"[array([1059.53382963,  -36.0045413 ,  989.86600269])]","[array([-0.36828234, -0.59367642,  0.84480122, -2.46901112, -1.22636339,
        1.04795848])]"
23999,movel_fit,"[array([1062.71055642,  -15.72279037,  990.859905  ])]","[array([-0.33598343, -0.58083768,  0.83076966, -2.48779567, -1.22153131,
        1.14651254])]"
24999,movel_fit,"[array([1066.81137712,    4.39291914,  991.87075386])]","[array([-0.29983031, -0.55226816,  0.8053471 , -2.51716623, -1.22767933,
        1.25333251])]"
25999,movel_fit,"[array([1071.72066538,   24.33510898,  992.67163354])]","[array([-0.26166024, -0.50657267,  0.76850584, -2.55396056, -1.24825217,
        1.36375594])]"
26999,movel_fit,"[array([1077.27102269,   44.12353344,  993.02299167])]","[array([-0.22374881, -0.44440208,  0.72175281, -2.59310035, -1.28502206,
        1.47235545])]"
27999,movel_fit,"[array([1083.24716489,   63.78767931,  992.71526645])]","[array([-0.18830694, -0.36905353,  0.66837624, -2.62896227, -1.33679776,
        1.57333455])]"
28999,movel_fit,"[array([1089.39479742,   83.36856131,  991.61727029])]","[array([-0.15694421, -0.28620943,  0.61303493, -2.65708694, -1.39922781,
        1.6609439 ])]"
29999,movel_fit,"[array([1095.42908017,  102.91714315,  989.7221546 ])]","[array([-0.13039118, -0.2025448 ,  0.56056486, -2.6751803 , -1.46624411,
        1.7294834 ])]"
30999,movel_fit,"[array([1101.05073081,  122.52371527,  987.17821942])]","[array([-0.10854443, -0.12365129,  0.51449418, -2.68297825, -1.53253489,
        1.77311935])]"
31999,movel_fit,"[array([1105.93738169,  142.28103603,  984.30748053])]","[array([-0.09076606, -0.05295227,  0.47644941, -2.68148466, -1.59509915,
        1.78572225])]"
32999,movel_fit,"[array([1109.74708029,  162.29305409,  981.59350543])]","[array([-0.07596618,  0.00816535,  0.44640357, -2.67265472, -1.65327549,
        1.76174716])]"
33999,movel_fit,"[array([1112.11331091,  182.60845532,  979.63099748])]","[array([-0.06254294,  0.05872737,  0.42359463, -2.65980528, -1.70685384,
        1.69870627])]"
34999,movel_fit,"[array([1112.68156089,  203.12387155,  978.98679179])]","[array([-0.0485673 ,  0.09591302,  0.40759145, -2.64788947, -1.75291489,
        1.6019102 ])]"
35999,movel_fit,"[array([1111.21405875,  223.58624413,  979.95136753])]","[array([-0.03278099,  0.11392319,  0.39925884, -2.64165527, -1.78371675,
        1.48720894])]"
36999,movel_fit,"[array([1107.69339238,  243.68537819,  982.33265585])]","[array([-0.01558783,  0.10592931,  0.40106838, -2.64243541, -1.78909336,
        1.37487958])]"
37999,movel_fit,"[array([1102.31726236,  263.26281194,  985.50417974])]","[array([ 1.77456652e-03,  6.75458363e-02,  4.16389512e-01, -2.64785125e+00,
       -1.76187225e+00,  1.27809724e+00])]"
38999,movel_fit,"[array([1095.40863448,  282.35865588,  988.65999347])]","[array([ 1.87850157e-02, -1.81170973e-03,  4.48495330e-01, -2.65440383e+00,
       -1.70032226e+00,  1.19951929e+00])]"
39999,movel_fit,"[array([1087.3696572 ,  301.12158589,  991.05677334])]","[array([ 0.03602335, -0.09818045,  0.49890838, -2.65903629, -1.60840644,
        1.13697482])]"
40999,movel_fit,"[array([1078.70093654,  319.7201465 ,  992.18446541])]","[array([ 0.05443649, -0.21189396,  0.5649692 , -2.65924712, -1.49592036,
        1.09083667])]"
41999,movel_fit,"[array([1070.01736009,  338.3452522 ,  991.89401005])]","[array([ 0.0742228 , -0.32973918,  0.63968143, -2.6527701 , -1.37556582,
        1.06798507])]"
42999,movel_fit,"[array([1062.05844547,  357.23930544,  990.46071759])]","[array([ 0.09434803, -0.44099777,  0.71562842, -2.63693417, -1.25658279,
        1.0812033 ])]"
43999,movel_fit,"[array([1055.72187838,  376.69084102,  988.57179449])]","[array([ 0.11417158, -0.54117368,  0.78841853, -2.6099654 , -1.1405245 ,
        1.14760621])]"
44999,movel_fit,"[array([1052.0964803 ,  396.85254244,  987.21408866])]","[array([ 0.13762927, -0.62744168,  0.85353894, -2.5800164 , -1.02473418,
        1.28678922])]"
45999,movel_fit,"[array([1052.1830497 ,  417.36266611,  987.25959157])]","[array([ 0.17253033, -0.68555694,  0.89695625, -2.57596046, -0.91885727,
        1.50248191])]"
46999,movel_fit,"[array([1056.14652829,  437.44923502,  988.71733472])]","[array([ 0.21294666, -0.69016505,  0.89875755, -2.61503368, -0.8589737 ,
        1.74876981])]"
47999,movel_fit,"[array([1063.1579698 ,  456.66291887,  990.62106831])]","[array([ 0.23923361, -0.63238113,  0.85387026, -2.66291767, -0.87545414,
        1.95405802])]"
48999,movel_fit,"[array([1072.0836252,  475.1363896,  991.7596466])]","[array([ 0.24436214, -0.52415403,  0.77295656, -2.68533287, -0.96286   ,
        2.09000268])]"
49999,movel_fit,"[array([1081.86008697,  493.20300849,  991.24329114])]","[array([ 0.23583979, -0.38594849,  0.67399121, -2.68132849, -1.09382814,
        2.17085308])]"
