breakpoints,primitives,points
0,movej_fit,"[array([-0.58589046, -0.03341733,  0.40482559, -2.79157683, -1.61501501,
        0.95669868])]"
625,movel_fit,"[array([1090.00901712, -493.90059911,  994.01728074])]"
1250,movel_fit,"[array([1089.76430268, -481.0588018 ,  994.00102383])]"
1875,movel_fit,"[array([1089.4271366 , -468.21761826,  993.99712404])]"
2500,movel_fit,"[array([1088.99740161, -455.37788431,  994.0043056 ])]"
3125,movel_fit,"[array([1088.47503884, -442.54146206,  994.02077415])]"
3750,movel_fit,"[array([1087.86003949, -429.70943671,  994.04421836])]"
4375,movel_fit,"[array([1087.15246496, -416.88188923,  994.07181831])]"
5000,movel_fit,"[array([1086.35263196, -404.06010802,  994.10025336])]"
5625,movel_fit,"[array([1085.46106695, -391.24414707,  994.12573001])]"
6250,movel_fit,"[array([1084.47874345, -378.43504192,  994.14401484])]"
6875,movel_fit,"[array([1083.40706929, -365.63291684,  994.15049483])]"
7500,movel_fit,"[array([1082.24809489, -352.83814298,  994.14025491])]"
8125,movel_fit,"[array([1081.00472178, -340.05189364,  994.1081896 ])]"
8750,movel_fit,"[array([1079.68050602, -327.27260803,  994.04913265])]"
9375,movel_fit,"[array([1078.28055587, -314.50323117,  993.95806142])]"
10000,movel_fit,"[array([1076.81064026, -301.74108665,  993.83025545])]"
10625,movel_fit,"[array([1075.27845162, -288.98793539,  993.66161209])]"
11250,movel_fit,"[array([1073.69265184, -276.24017012,  993.44882249])]"
11875,movel_fit,"[array([1072.06440806, -263.5000738 ,  993.1898396 ])]"
12500,movel_fit,"[array([1070.40611315, -250.76410392,  992.88401633])]"
13125,movel_fit,"[array([1068.73258697, -238.03123953,  992.53258646])]"
13750,movel_fit,"[array([1067.06065731, -225.29858602,  992.13889708])]"
14375,movel_fit,"[array([1065.40978218, -212.56527817,  991.70881597])]"
15000,movel_fit,"[array([1063.80150469, -199.82776053,  991.25081887])]"
15625,movel_fit,"[array([1062.25969529, -187.081233  ,  990.77616213])]"
16250,movel_fit,"[array([1060.81117767, -174.32520012,  990.29911047])]"
16875,movel_fit,"[array([1059.48463078, -161.55558363,  989.83648193])]"
17500,movel_fit,"[array([1058.31098097, -148.77001856,  989.40745865])]"
