breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 776.387293  , -435.43780813, 1209.98687636])]","[array([-1.12141553, -0.15996407,  0.79297628,  0.99029573,  1.91186831,
       -0.33594521])]"
499,movel_fit,"[array([ 879.66207678, -436.66209617, 1153.65140593])]","[array([-1.04572829, -0.08483325,  0.77276946,  1.01775621,  1.8268282 ,
       -0.3418802 ])]"
999,movel_fit,"[array([ 888.69906733, -436.80141882, 1148.76405439])]","[array([-1.03897843, -0.07789868,  0.76994071,  1.01966897,  1.81942271,
       -0.34276743])]"
1499,movel_fit,"[array([ 897.79013249, -436.90921375, 1143.94707645])]","[array([-1.03202313, -0.07111109,  0.76654523,  1.02104967,  1.81192448,
       -0.34396851])]"
1999,movel_fit,"[array([ 906.88795231, -437.01684279, 1139.19508208])]","[array([-1.02490113, -0.06448583,  0.76260389,  1.02188284,  1.804353  ,
       -0.34548792])]"
2499,movel_fit,"[array([ 916.01982888, -437.12729392, 1134.49102844])]","[array([-1.0175935 , -0.05799919,  0.7581189 ,  1.0221782 ,  1.79667744,
       -0.34733406])]"
2999,movel_fit,"[array([ 925.19514848, -437.23959424, 1129.83206213])]","[array([-1.0101083 , -0.05166351,  0.75310174,  1.02192893,  1.78889936,
       -0.34950332])]"
3499,movel_fit,"[array([ 934.37596272, -437.34895918, 1125.23738001])]","[array([-1.00246944, -0.04551041,  0.74757661,  1.02112364,  1.78103812,
       -0.35198615])]"
3999,movel_fit,"[array([ 943.59088276, -437.45649038, 1120.69211159])]","[array([-0.99465249, -0.03951468,  0.74154562,  1.01977271,  1.77306197,
       -0.3547879 ])]"
4499,movel_fit,"[array([ 952.85517006, -437.56049685, 1116.18879353])]","[array([-0.98666382, -0.03368624,  0.73502496,  1.01787148,  1.76497349,
       -0.35790311])]"
4999,movel_fit,"[array([ 962.10548573, -437.65663859, 1111.75849083])]","[array([-0.97852486, -0.02805219,  0.7280457 ,  1.01541394,  1.75679191,
       -0.36132109])]"
5499,movel_fit,"[array([ 971.41575179, -437.74659128, 1107.36465958])]","[array([-0.97020551, -0.02257884,  0.72060816,  1.01241308,  1.74848311,
       -0.3650446 ])]"
5999,movel_fit,"[array([ 980.73993509, -437.8249308 , 1103.02870129])]","[array([-0.96172827, -0.01729104,  0.7127486 ,  1.00886647,  1.74006914,
       -0.36906059])]"
6499,movel_fit,"[array([ 990.06489896, -437.88951458, 1098.75628755])]","[array([-0.95309914, -0.0121914 ,  0.70449406,  1.00478076,  1.73155546,
       -0.37335916])]"
6999,movel_fit,"[array([ 999.44218096, -437.94078202, 1094.52179789])]","[array([-0.94429489, -0.00724817,  0.69585423,  1.00017466,  1.72291817,
       -0.37793484])]"
7499,movel_fit,"[array([1008.837765  , -437.97263629, 1090.33926496])]","[array([-0.93533988, -0.00247935,  0.68687451,  0.99505651,  1.71418278,
       -0.38277035])]"
7999,movel_fit,"[array([1018.2389745 , -437.98320476, 1086.21351019])]","[array([-0.92624451,  0.00211765,  0.67759108,  0.98944485,  1.70536096,
       -0.38784883])]"
8499,movel_fit,"[array([1027.6805304 , -437.97093894, 1082.12658999])]","[array([-0.91698914,  0.00658288,  0.66802099,  0.98337334,  1.69643427,
       -0.39315621])]"
8999,movel_fit,"[array([1037.11301159, -437.93182273, 1078.09610969])]","[array([-0.90761625,  0.01089334,  0.65822822,  0.97686302,  1.68744608,
       -0.39866674])]"
9499,movel_fit,"[array([1046.60408459, -437.86450892, 1074.0913788 ])]","[array([-0.89810408,  0.01509719,  0.64822719,  0.96995509,  1.6783763 ,
       -0.40435977])]"
9999,movel_fit,"[array([1056.0915082 , -437.76674382, 1070.13302637])]","[array([-0.8884902 ,  0.01919344,  0.63808095,  0.96269174,  1.66926131,
       -0.41020764])]"
10499,movel_fit,"[array([1065.56730062, -437.6333931 , 1066.22240466])]","[array([-0.87879836,  0.02319422,  0.62783969,  0.95512085,  1.66012534,
       -0.41617774])]"
