breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 783.38087057, -431.14305625, 1203.61951964])]","[array([-1.11656264, -0.16006287,  0.79719665,  0.99196737,  1.90562189,
       -0.33600665])]"
426,movej_fit,"[array([ 878.31887441, -436.60393736, 1154.31049806])]","[array([-1.04700205, -0.08566133,  0.77379255,  1.01818636,  1.82810555,
       -0.34163644])]"
4450,movec_fit,"[array([ 914.93296976, -437.04291164, 1135.10041066]), array([ 951.86753528, -437.69764369, 1116.56164388])]","[array([-1.01795428, -0.05924013,  0.75769832,  1.02094665,  1.79722084,
       -0.34855437]), array([-0.9892327 , -0.03273522,  0.73892335,  1.02237686,  1.76721188,
       -0.35446212])]"
7475,movec_fit,"[array([ 980.04900259, -437.83144184, 1103.3523826 ]), array([1008.36608296, -438.01243372, 1090.54981313])]","[array([-0.96238842, -0.0176108 ,  0.71334449,  1.00919171,  1.74074229,
       -0.3689921 ]), array([-0.93580014, -0.00281574,  0.68728738,  0.99520269,  1.71449219,
       -0.38208289])]"
10097,movec_fit,"[array([1033.11756605, -437.87556709, 1079.84407858]), array([1057.86472469, -438.03867475, 1069.19889048])]","[array([-0.91145657,  0.00896132,  0.66219748,  0.97938414,  1.69120701,
       -0.3967677 ]), array([-0.88722564,  0.02047245,  0.63673652,  0.96223876,  1.66778345,
       -0.41056472])]"
10957,movel_fit,"[array([1074.32891798, -437.22010243, 1062.79589449])]","[array([-0.86954728,  0.02651282,  0.61816275,  0.94755647,  1.65158485,
       -0.42198644])]"
12217,movel_fit,"[array([1098.25746664, -437.08395645, 1052.87494917])]","[array([-0.84530901,  0.03675813,  0.5925787 ,  0.92773865,  1.62875076,
       -0.43693068])]"
13639,movel_fit,"[array([1125.41428849, -435.91945108, 1042.14514326])]","[array([-0.81729854,  0.04779137,  0.56385817,  0.9041149 ,  1.60314769,
       -0.45432348])]"
14914,movel_fit,"[array([1149.6857744 , -435.00970223, 1032.26992441])]","[array([-0.7935535 ,  0.05885721,  0.53989297,  0.88488494,  1.58136366,
       -0.46850003])]"
15946,movel_fit,"[array([1169.27753937, -434.10722228, 1024.16279507])]","[array([-0.77540356,  0.06860499,  0.52189318,  0.87116795,  1.56463078,
       -0.47879692])]"
