breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 888.17074841, -692.02099152, 1056.96025614])]","[array([-1.18146788,  0.11389338,  0.68869101,  1.01737412,  1.75921478,
       -0.22204208])]"
1665,movel_fit,"[array([ 917.09900063, -697.08029363, 1039.44127473])]","[array([-1.16204473,  0.13745513,  0.67567475,  1.02356944,  1.73946116,
       -0.22468062])]"
3332,movel_fit,"[array([ 946.39892153, -702.28242953, 1022.45550354])]","[array([-1.14086348,  0.15903121,  0.65701361,  1.02366455,  1.71840695,
       -0.23095984])]"
4999,movel_fit,"[array([ 976.00897068, -707.57722121, 1006.04550895])]","[array([-1.11802934,  0.17841066,  0.63316187,  1.01754107,  1.69590029,
       -0.2407918 ])]"
6665,movel_fit,"[array([1005.90793489, -712.89585115,  990.22045267])]","[array([-1.09357337,  0.19554488,  0.60474838,  1.005241  ,  1.67186223,
       -0.25399007])]"
8332,movel_fit,"[array([1036.12402365, -718.1569505 ,  974.94273038])]","[array([-1.06751237,  0.21060638,  0.572612  ,  0.98710179,  1.64634347,
       -0.27020887])]"
9999,movel_fit,"[array([1066.61744755, -723.25691025,  960.17007171])]","[array([-1.0400566 ,  0.22399093,  0.53796238,  0.96402013,  1.61968435,
       -0.28879497])]"
11665,movel_fit,"[array([1097.32350133, -728.10010628,  945.80582356])]","[array([-1.01169644,  0.23638543,  0.50229689,  0.93761263,  1.59251001,
       -0.30874283])]"
13332,movel_fit,"[array([1128.1976208 , -732.63932018,  931.65193085])]","[array([-0.98323156,  0.24875886,  0.46716555,  0.91017845,  1.56564754,
       -0.328755  ])]"
14999,movel_fit,"[array([1159.08617937, -736.89755231,  917.44206754])]","[array([-0.95587231,  0.26222764,  0.4340762 ,  0.88464181,  1.5401317 ,
       -0.34726765])]"
16665,movel_fit,"[array([1189.76931652, -741.01369499,  902.80195845])]","[array([-0.93108969,  0.27796677,  0.40426079,  0.86424682,  1.51703295,
       -0.36262077])]"
18332,movel_fit,"[array([1219.99430365, -745.25638216,  887.23328255])]","[array([-0.91045878,  0.29716835,  0.37866564,  0.85237793,  1.49736823,
       -0.37314143])]"
19999,movel_fit,"[array([1249.34738689, -749.95179795,  870.22190985])]","[array([-0.89565149,  0.32097336,  0.35831493,  0.85271131,  1.48225791,
       -0.37703023])]"
21665,movel_fit,"[array([1277.36836797, -755.33956136,  851.31713429])]","[array([-0.88821694,  0.35054356,  0.34461147,  0.8693736 ,  1.47304805,
       -0.37227977])]"
23332,movel_fit,"[array([1303.70970557, -761.35397369,  830.26073795])]","[array([-0.88923594,  0.38716838,  0.33972146,  0.90708549,  1.47154908,
       -0.35657601])]"
24999,movel_fit,"[array([1328.25872082, -767.44944522,  807.15667627])]","[array([-0.89858352,  0.43218141,  0.34671146,  0.97042916,  1.48020779,
       -0.32757022])]"
26665,movel_fit,"[array([1351.34210437, -772.70299034,  782.42213594])]","[array([-0.91365315,  0.4866602 ,  0.36849038,  1.06133865,  1.50185684,
       -0.28400712])]"
28332,movel_fit,"[array([1373.68900857, -776.18293074,  756.68772154])]","[array([-0.92834996,  0.5501036 ,  0.4042873 ,  1.17414884,  1.53836848,
       -0.22829326])]"
29999,movel_fit,"[array([1396.14752082, -777.46053484,  730.85792657])]","[array([-0.93507429,  0.61799979,  0.44508501,  1.29178907,  1.58697548,
       -0.16914703])]"
31665,movel_fit,"[array([1419.62132026, -777.15471757,  705.93204171])]","[array([-0.9307197 ,  0.68223065,  0.47661171,  1.39333106,  1.637485  ,
       -0.1184287 ])]"
33332,movel_fit,"[array([1445.00893685, -777.16472193,  682.94627353])]","[array([-0.91891679,  0.7347126 ,  0.48801773,  1.46463632,  1.6752949 ,
       -0.08511732])]"
34999,movel_fit,"[array([1472.82223293, -780.22421644,  663.27307289])]","[array([-0.90596758,  0.76909018,  0.47355497,  1.49691543,  1.68621242,
       -0.07522918])]"
36665,movel_fit,"[array([1502.63959349, -787.93150495,  648.44944235])]","[array([-0.89559713,  0.78094439,  0.43019068,  1.48139805,  1.66072606,
       -0.0938905 ])]"
38332,movel_fit,"[array([1533.70396515, -798.62785805,  638.83274247])]","[array([-0.88444585,  0.77031999,  0.35733192,  1.41097465,  1.60012195,
       -0.14373132])]"
39999,movel_fit,"[array([1565.91785129, -808.76839691,  633.13531144])]","[array([-0.86296424,  0.74432184,  0.26005994,  1.28797041,  1.51985063,
       -0.22065067])]"
41665,movel_fit,"[array([1599.19953044, -815.65877604,  629.10619457])]","[array([-0.8267438 ,  0.71824723,  0.15812398,  1.14139398,  1.44633796,
       -0.30587057])]"
43332,movel_fit,"[array([1632.82226695, -819.17811888,  623.63796925])]","[array([-0.78721337,  0.70723771,  0.07578481,  1.02148219,  1.397772  ,
       -0.37255492])]"
44999,movel_fit,"[array([1665.02311626, -822.15424289,  612.58186888])]","[array([-0.76118002,  0.71793681,  0.02176886,  0.96484568,  1.37571595,
       -0.40442402])]"
46665,movel_fit,"[array([1692.08162861, -827.87019002,  592.68580203])]","[array([-7.59896582e-01,  7.51937552e-01, -1.85789888e-05,  9.92930710e-01,
        1.37906395e+00, -3.93070793e-01])]"
48332,movel_fit,"[array([1712.37275914, -834.59918647,  565.99090555])]","[array([-0.78076866,  0.80725792,  0.01680997,  1.11054536,  1.41086323,
       -0.33638211])]"
49999,movel_fit,"[array([1729.46010644, -837.83215911,  536.48049636])]","[array([-0.80510667,  0.88119903,  0.07057379,  1.2964993 ,  1.4778073 ,
       -0.24247839])]"
