breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 888.16860658, -692.02053869, 1056.95666562])]","[array([-1.18514847,  0.11727721,  0.69672751,  1.02802472,  1.76256726,
       -0.21293668])]"
7771,movec_fit,"[array([ 956.20943138, -704.08125821, 1016.93147153]), array([1025.90934358, -716.49795738,  980.03299341])]","[array([-1.13166516,  0.1639474 ,  0.64585417,  1.01693211,  1.70926609,
       -0.23821875]), array([-1.08008324,  0.20955164,  0.59034215,  1.00446727,  1.65901767,
       -0.25614393])]"
9756,movel_fit,"[array([1062.11570219, -722.51197317,  962.20555873])]","[array([-1.04253356,  0.22023233,  0.5406462 ,  0.96293934,  1.62154422,
       -0.28943641])]"
14144,movec_fit,"[array([1102.5934909 , -728.84512474,  943.30693918]), array([1143.25083294, -734.70178646,  924.74110848])]","[array([-1.00633344,  0.23831556,  0.49553011,  0.93176838,  1.58768332,
       -0.31361566]), array([-0.97041074,  0.25532786,  0.45187785,  0.89915954,  1.55314479,
       -0.33568752])]"
17605,movec_fit,"[array([1175.26608184, -738.9913625 ,  909.82183405]), array([1206.92476203, -743.28243442,  894.20729495])]","[array([-0.94332815,  0.27095212,  0.41902371,  0.8755801 ,  1.52854888,
       -0.35425873]), array([-0.91679536,  0.28640655,  0.38731455,  0.85102843,  1.50333739,
       -0.37250818])]"
20317,movec_fit,"[array([1231.20079312, -746.89205749,  880.97163361]), array([1254.83279512, -750.83571404,  866.78629076])]","[array([-0.90444662,  0.3057701 ,  0.37079835,  0.85188081,  1.49129549,
       -0.37496145]), array([-0.89278302,  0.32555328,  0.35429851,  0.85235362,  1.47936945,
       -0.37802645])]"
23903,movec_fit,"[array([1284.58775762, -756.82437135,  845.86540827]), array([1312.31985909, -763.44208446,  822.56272129])]","[array([-0.88966586,  0.36146073,  0.34454164,  0.88304092,  1.47401341,
       -0.36562004]), array([-0.88753772,  0.39773268,  0.33591338,  0.91359542,  1.4686081 ,
       -0.35565971])]"
24833,movel_fit,"[array([1325.94847338, -766.89711484,  809.61206633])]","[array([-0.89887794,  0.4286427 ,  0.34758291,  0.96796466,  1.48046584,
       -0.32807377])]"
26036,movel_fit,"[array([1342.81297234, -770.93945576,  791.97898594])]","[array([-0.90641082,  0.46354323,  0.35648725,  1.01965082,  1.49022604,
       -0.30467288])]"
27244,movel_fit,"[array([1359.16951205, -774.24249756,  773.58805286])]","[array([-0.91945704,  0.5075715 ,  0.38029271,  1.09959657,  1.51251123,
       -0.26544051])]"
28445,movel_fit,"[array([1375.19550952, -776.43847036,  754.93464627])]","[array([-0.92902327,  0.55401991,  0.40675137,  1.18135372,  1.54047652,
       -0.22494239])]"
29646,movel_fit,"[array([1391.30594951, -777.45269463,  736.25995864])]","[array([-0.93482917,  0.60347169,  0.43766527,  1.26872658,  1.57587164,
       -0.18092144])]"
30864,movel_fit,"[array([1408.08620168, -777.45920451,  717.68266944])]","[array([-0.93426386,  0.65247134,  0.46426658,  1.34872887,  1.61404536,
       -0.14050968])]"
31971,movel_fit,"[array([1424.04746366, -777.03603398,  701.46236767])]","[array([-0.92901463,  0.69332473,  0.48131301,  1.41028061,  1.64644727,
       -0.11004081])]"
32908,movel_fit,"[array([1438.27314754, -776.93250851,  688.47696749])]","[array([-0.92228163,  0.72319238,  0.48794096,  1.45070446,  1.66826588,
       -0.09106307])]"
33706,movel_fit,"[array([1450.99186899, -777.42654914,  678.12453688])]","[array([-0.91588208,  0.74451879,  0.48763693,  1.47631213,  1.68107666,
       -0.0802021 ])]"
