breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1344.97293719, -248.15642266, 1037.38284604])]","[array([ 0.08977171,  0.00499005,  0.37888615,  2.57059332, -1.34361933,
       -3.0395241 ])]"
500,movej_fit,"[array([1353.51312518, -252.85641882, 1034.20116216])]","[array([ 0.08647609,  0.01327397,  0.37368537,  2.5684484 , -1.3397041 ,
       -3.03934476])]"
1000,movej_fit,"[array([1362.078938  , -257.52316156, 1030.97231796])]","[array([ 0.08354857,  0.02191375,  0.36842446,  2.56565224, -1.33623166,
       -3.03949548])]"
1500,movej_fit,"[array([1370.65314821, -262.14738176, 1027.70242329])]","[array([ 0.08099717,  0.03087296,  0.36312377,  2.56220688, -1.33321978,
       -3.0399766 ])]"
2000,movej_fit,"[array([1379.23548028, -266.72936507, 1024.39113327])]","[array([ 0.0788153 ,  0.04014792,  0.35778413,  2.55810762, -1.33066936,
       -3.04078651])]"
2500,movej_fit,"[array([1387.82484006, -271.26914867, 1021.03825139])]","[array([ 0.07699573,  0.04973443,  0.35240788,  2.55335104, -1.32858142,
       -3.04192271])]"
3000,movej_fit,"[array([1396.42020713, -275.76701332, 1017.64339982])]","[array([ 0.0755303 ,  0.05962861,  0.34699826,  2.54793481, -1.32695657,
       -3.04338186])]"
3500,movej_fit,"[array([1405.01983147, -280.22307445, 1014.20635034])]","[array([ 0.07440987,  0.0698258 ,  0.34155993,  2.54185859, -1.32579501,
       -3.04515941])]"
4000,movej_fit,"[array([1413.62341991, -284.63842562, 1010.72616526])]","[array([ 0.07362391,  0.08032306,  0.3360975 ,  2.53512271, -1.32509598,
       -3.04725003])]"
4500,movej_fit,"[array([1422.22941832, -289.0137375 , 1007.20229844])]","[array([ 0.07316076,  0.09111572,  0.33061721,  2.52773052, -1.32485795,
       -3.04964681])]"
5000,movej_fit,"[array([1430.83684477, -293.35021755, 1003.63388343])]","[array([ 0.07300722,  0.10219934,  0.32512563,  2.51968742, -1.32507805,
       -3.05234157])]"
5500,movej_fit,"[array([1439.44440667, -297.64916808, 1000.02011843])]","[array([ 0.07314847,  0.11356847,  0.31963019,  2.51100207, -1.32575185,
       -3.05532444])]"
6000,movej_fit,"[array([1448.0502369 , -301.91187213,  996.36041996])]","[array([ 0.07356784,  0.12521589,  0.31413913,  2.50168724, -1.32687287,
       -3.05858354])]"
6500,movej_fit,"[array([1456.65311455, -306.1402095 ,  992.65394887])]","[array([ 0.0742467 ,  0.13713398,  0.30866056,  2.49175915, -1.32843238,
       -3.06210523])]"
7000,movej_fit,"[array([1465.25147827, -310.33616951,  988.90007288])]","[array([ 0.07516435,  0.1493131 ,  0.3032029 ,  2.48123891, -1.33041889,
       -3.06587364])]"
7500,movej_fit,"[array([1473.84356927, -314.50192758,  985.09836786])]","[array([ 0.0762979 ,  0.16174143,  0.29777446,  2.47015297, -1.33281779,
       -3.06987054])]"
8000,movej_fit,"[array([1482.42730326, -318.63978333,  981.24874617])]","[array([ 0.0776222 ,  0.17440448,  0.29238325,  2.4585338 , -1.33561092,
       -3.07407518])]"
8500,movej_fit,"[array([1491.00216906, -322.7530641 ,  977.35067224])]","[array([ 0.07911025,  0.18728759,  0.28703547,  2.44641762, -1.33877692,
       -3.07846519])]"
9000,movej_fit,"[array([1499.56481032, -326.84398809,  973.40524825])]","[array([ 0.08073255,  0.20036907,  0.28173783,  2.43385088, -1.34228947,
       -3.08301431])]"
9500,movej_fit,"[array([1508.11451604, -330.91627813,  969.41281646])]","[array([ 0.08245827,  0.21362826,  0.27649377,  2.4208826 , -1.34611909,
       -3.08769531])]"
10000,movej_fit,"[array([1516.6504974 , -334.97382163,  965.37428013])]","[array([ 0.08425509,  0.22704129,  0.27130482,  2.40756818, -1.35023218,
       -3.09247869])]"
10500,movej_fit,"[array([1525.16981856, -339.01965619,  961.29221986])]","[array([ 0.08608909,  0.24057765,  0.26617139,  2.3939726 , -1.35458993,
       -3.09733168])]"
11000,movej_fit,"[array([1533.67323998, -343.05870191,  957.16823067])]","[array([ 0.08792645,  0.25420942,  0.26108899,  2.38016092, -1.35915133,
       -3.10222174])]"
11500,movej_fit,"[array([1542.15967894, -347.09507963,  953.00568179])]","[array([ 0.08973274,  0.26790254,  0.25605126,  2.36620657, -1.36387066,
       -3.10711374])]"
12000,movej_fit,"[array([1550.62760936, -351.13271681,  948.80920852])]","[array([ 0.0914737 ,  0.28161907,  0.25104896,  2.35218865, -1.36869838,
       -3.11197097])]"
12500,movej_fit,"[array([1559.07844792, -355.17689989,  944.5831583 ])]","[array([ 0.09311654,  0.29532291,  0.24606787,  2.33818564, -1.37358348,
       -3.11675746])]"
13000,movej_fit,"[array([1567.51221024, -359.2321414 ,  940.33386365])]","[array([ 0.0946294 ,  0.30897296,  0.2410914 ,  2.32428181, -1.37847145,
       -3.12143577])]"
13500,movej_fit,"[array([1575.9307219 , -363.30365155,  936.06816755])]","[array([ 0.09598247,  0.32252861,  0.2360988 ,  2.31056126, -1.38330655,
       -3.1259691 ])]"
14000,movej_fit,"[array([1584.33497807, -367.39600547,  931.79486419])]","[array([ 0.0971478 ,  0.33594571,  0.23106691,  2.29711152, -1.3880307 ,
       -3.13032007])]"
14500,movej_fit,"[array([1592.7269557 , -371.51395533,  927.52387676])]","[array([ 0.09809989,  0.34917984,  0.22596947,  2.28402   , -1.39258496,
       -3.13445191])]"
15000,movej_fit,"[array([1601.1105446 , -375.66285266,  923.26584484])]","[array([ 0.09881581,  0.36218799,  0.22077682,  2.27137218, -1.39691036,
       -3.13832896])]"
15500,movej_fit,"[array([1609.49028856, -379.84801518,  919.03280633])]","[array([ 0.09927487,  0.37492673,  0.21545703,  2.25925352, -1.40094731,
       -3.14191595])]"
16000,movej_fit,"[array([1617.86796238, -384.07298538,  914.83990639])]","[array([ 0.09945846,  0.3873473 ,  0.20997853,  2.24775418, -1.4046343 ,
       -3.1451766 ])]"
16500,movej_fit,"[array([1626.25046207, -388.34350033,  910.70135636])]","[array([ 0.09935001,  0.39940774,  0.20430546,  2.23695799, -1.40791158,
       -3.14807665])]"
17000,movej_fit,"[array([1634.64229105, -392.66376978,  906.63408227])]","[array([ 0.09893426,  0.41106169,  0.1984028 ,  2.22695354, -1.4107177 ,
       -3.15058052])]"
17500,movej_fit,"[array([1643.04835429, -397.03794683,  902.65608233])]","[array([ 0.09819688,  0.4222629 ,  0.19223501,  2.21783071, -1.41299072,
       -3.15265213])]"
18000,movej_fit,"[array([1651.47466576, -401.47063035,  898.78579992])]","[array([ 0.09712366,  0.43296615,  0.18576572,  2.20968105, -1.41466809,
       -3.15425448])]"
18500,movej_fit,"[array([1659.92509291, -405.96532437,  895.043212  ])]","[array([ 0.09570012,  0.44312335,  0.1789605 ,  2.20260203, -1.41568571,
       -3.15534843])]"
19000,movej_fit,"[array([1668.40465688, -410.52638114,  891.44776825])]","[array([ 0.0939102 ,  0.45268801,  0.17178454,  2.19669503, -1.4159783 ,
       -3.15589268])]"
19500,movej_fit,"[array([1676.91234073, -415.15537403,  888.02073513])]","[array([ 0.09173691,  0.46160762,  0.16420926,  2.19207132, -1.41547916,
       -3.15584283])]"
20000,movej_fit,"[array([1685.44968414, -419.85598097,  884.78068742])]","[array([ 0.08915964,  0.4698342 ,  0.15620549,  2.18884671, -1.41412068,
       -3.15515145])]"
20500,movej_fit,"[array([1694.01957704, -424.63373626,  881.74351134])]","[array([ 0.08615261,  0.47732231,  0.14774439,  2.18714606, -1.41183284,
       -3.15376626])]"
21000,movej_fit,"[array([1702.62278702, -429.49447342,  878.92302444])]","[array([ 0.08268435,  0.4840257 ,  0.13880093,  2.18710706, -1.40854308,
       -3.15162905])]"
21500,movej_fit,"[array([1711.25102408, -434.44060778,  876.33208589])]","[array([ 0.07871987,  0.48989388,  0.12936265,  2.18887925, -1.40418061,
       -3.14867772])]"
22000,movej_fit,"[array([1719.89541217, -439.47602088,  873.97862108])]","[array([ 0.07421698,  0.49488105,  0.11942289,  2.19262124, -1.39867579,
       -3.14484513])]"
22500,movej_fit,"[array([1728.54635173, -444.60614257,  871.8651855 ])]","[array([ 0.06912506,  0.49894679,  0.10898225,  2.19850145, -1.39196092,
       -3.14005844])]"
23000,movej_fit,"[array([1737.19142396, -449.83671465,  869.98911073])]","[array([ 0.0633857 ,  0.50205635,  0.0980532 ,  2.20669545, -1.38397372,
       -3.13424055])]"
23500,movej_fit,"[array([1745.81793423, -455.17513802,  868.34170967])]","[array([ 0.05693127,  0.50418388,  0.08665965,  2.21738431, -1.37465849,
       -3.12730968])]"
24000,movej_fit,"[array([1754.41005712, -460.62837873,  866.90892991])]","[array([ 0.04968814,  0.50531438,  0.07484394,  2.23074518, -1.36397357,
       -3.11918389])]"
24500,movej_fit,"[array([1762.95378262, -466.20553921,  865.67077832])]","[array([ 0.04157539,  0.50544837,  0.06266381,  2.24694858, -1.35189177,
       -3.10978054])]"
25000,movej_fit,"[array([1771.4329835 , -471.91470041,  864.60258319])]","[array([ 0.03251252,  0.50460577,  0.0502013 ,  2.26613908, -1.33841287,
       -3.09902538])]"
25500,movej_fit,"[array([1779.83182633, -477.76354847,  863.67530971])]","[array([ 0.02242472,  0.50283204,  0.03756222,  2.28842   , -1.32357054,
       -3.08685851])]"
26000,movej_fit,"[array([1788.13797077, -483.76066627,  862.85617311])]","[array([ 0.01124864,  0.50020318,  0.02487213,  2.3138399 , -1.30743707,
       -3.07323959])]"
26500,movej_fit,"[array([1796.33790155, -489.91114086,  862.11015829])]","[array([-1.04925613e-03,  4.96832698e-01,  1.22809232e-02,  2.34235362e+00,
       -1.29014296e+00, -3.05816726e+00])]"
27000,movej_fit,"[array([1804.42229035, -496.21914594,  861.40053526])]","[array([-1.44647915e-02,  4.92874389e-01, -5.22427843e-05,  2.37381010e+00,
       -1.27187693e+00, -3.04168506e+00])]"
27500,movej_fit,"[array([1812.38124883, -502.68291999,  860.69041826])]","[array([-0.02893361,  0.4885255 , -0.01196428,  2.40791064, -1.25290244,
       -3.02390497])]"
28000,movej_fit,"[array([1820.21120943, -509.29867681,  859.94330855])]","[array([-0.04433036,  0.48401919, -0.02331572,  2.44422032, -1.23354172,
       -3.00500552])]"
28500,movej_fit,"[array([1827.91078689, -516.05588315,  859.12461319])]","[array([-0.06045639,  0.47961597, -0.03400352,  2.48215235, -1.21417481,
       -2.98524651])]"
29000,movej_fit,"[array([1835.48535848, -522.93975892,  858.20228263])]","[array([-0.07705303,  0.47558443, -0.04398386,  2.52100906, -1.19520763,
       -2.96495554])]"
29500,movej_fit,"[array([1842.94285004, -529.92629145,  857.14830539])]","[array([-0.09380709,  0.47218304, -0.05327471,  2.5599986 , -1.17705299,
       -2.94452657])]"
30000,movej_fit,"[array([1850.3039908 , -536.99083194,  855.93809039])]","[array([-0.11039608,  0.46963547, -0.0619663 ,  2.59833768, -1.16007289,
       -2.9243703 ])]"
30500,movej_fit,"[array([1857.59504819, -544.100879  ,  854.55173603])]","[array([-0.12649631,  0.46812041, -0.0701984 ,  2.63526235, -1.14456955,
       -2.90490809])]"
31000,movej_fit,"[array([1864.84518715, -551.21286405,  852.975044  ])]","[array([-0.1417976 ,  0.46776399, -0.07813908,  2.67005386, -1.1307718 ,
       -2.88655364])]"
31500,movej_fit,"[array([1872.09413771, -558.27968136,  851.19805475])]","[array([-0.15603439,  0.4686394 , -0.08597378,  2.70210264, -1.11881335,
       -2.8696716 ])]"
32000,movej_fit,"[array([1879.38593366, -565.24524437,  849.21589306])]","[array([-0.16897789,  0.47077623, -0.09388268,  2.73088512, -1.10875332,
       -2.85458164])]"
32500,movej_fit,"[array([1886.77148624, -572.04837922,  847.02732631])]","[array([-0.18043969,  0.4741735 , -0.10203413,  2.75596869, -1.10058873,
       -2.84154926])]"
33000,movej_fit,"[array([1894.30247386, -578.61960986,  844.63511725])]","[array([-0.1902562 ,  0.47881207, -0.11057507,  2.77697415, -1.09428335,
       -2.83080138])]"
33500,movej_fit,"[array([1902.02713239, -584.88221252,  842.04558971])]","[array([-0.19827994,  0.48466451, -0.1196276 ,  2.79355342, -1.08978964,
       -2.8225361 ])]"
