breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1000. ,    0. ,  525.4])]","[array([ 0.16028367, -0.60014742,  1.22173038,  2.59695717, -0.57944439,
       -2.13068924])]"
500,movel_fit,"[array([1.01025412e+03, 2.97296099e-02, 5.25399991e+02])]","[array([ 0.1643502 , -0.58228129,  1.2152761 ,  2.57257136, -0.57532225,
       -2.09057395])]"
1000,movel_fit,"[array([1.02052880e+03, 1.19156702e-01, 5.25399860e+02])]","[array([ 0.16167873, -0.56702079,  1.20882279,  2.56705605, -0.56454062,
       -2.09247453])]"
1500,movel_fit,"[array([1.03080355e+03, 2.68279925e-01, 5.25399292e+02])]","[array([ 0.15957958, -0.55207165,  1.20248142,  2.56034692, -0.55402404,
       -2.09489915])]"
2000,movel_fit,"[array([1.04107838e+03, 4.77090337e-01, 5.25397760e+02])]","[array([ 0.15801973, -0.5374121 ,  1.19624602,  2.55243624, -0.54376365,
       -2.09785981])]"
2500,movel_fit,"[array([1.05135244e+03, 7.45538234e-01, 5.25394529e+02])]","[array([ 0.15696768, -0.5230175 ,  1.19010795,  2.54332333, -0.53375862,
       -2.10136913])]"
3000,movel_fit,"[array([1061.62515261,    1.07353366,  525.38865675])]","[array([ 0.15639332, -0.50885911,  1.18405498,  2.53301489, -0.52401564,
       -2.10543997])]"
3500,movel_fit,"[array([1071.89516644,    1.46089827,  525.37899386])]","[array([ 0.15626815, -0.49490577,  1.17807182,  2.52152705, -0.51455028,
       -2.11008443])]"
4000,movel_fit,"[array([1082.16303496,    1.90744612,  525.36418946])]","[array([ 0.15656547, -0.48112073,  1.17213844,  2.50888351, -0.50538502,
       -2.11531421])]"
4500,movel_fit,"[array([1092.42794164,    2.41284604,  525.34269856])]","[array([ 0.15726066, -0.46746658,  1.16623207,  2.49512026, -0.49655248,
       -2.12113824])]"
5000,movel_fit,"[array([1102.68989216,    2.97668292,  525.31278896])]","[array([ 0.15833139, -0.4539028 ,  1.16032607,  2.4802841 , -0.48809344,
       -2.12756259])]"
5500,movel_fit,"[array([1112.94865733,    3.59838492,  525.27255537])]","[array([ 0.1597578 , -0.44038784,  1.15439086,  2.46443491, -0.48005756,
       -2.13458876])]"
6000,movel_fit,"[array([1123.20345354,    4.27716252,  525.21993977])]","[array([ 0.16152248, -0.42688025,  1.14839461,  2.447647  , -0.47250281,
       -2.14221203])]"
6500,movel_fit,"[array([1133.45438867,    5.01206579,  525.152748  ])]","[array([ 0.16361069, -0.41333774,  1.1423031 ,  2.43000726, -0.46549332,
       -2.15042123])]"
7000,movel_fit,"[array([1143.70127389,    5.80187626,  525.06868338])]","[array([ 0.16601004, -0.39971967,  1.13608133,  2.41161685, -0.45909866,
       -2.15919672])]"
7500,movel_fit,"[array([1153.94377749,    6.64507163,  524.96538409])]","[array([ 0.16871008, -0.38598797,  1.12969455,  2.3925904 , -0.45339139,
       -2.16850941])]"
8000,movel_fit,"[array([1164.18125025,    7.53976423,  524.840472  ])]","[array([ 0.17170156, -0.37210854,  1.12310958,  2.37305521, -0.4484443 ,
       -2.17831985])]"
8500,movel_fit,"[array([1174.4149638 ,    8.48386149,  524.69157573])]","[array([ 0.17497621, -0.35804941,  1.11629471,  2.35314489, -0.44432616,
       -2.18858006])]"
