breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1090.16121372, -506.72253554,  994.04660022])]","[array([-0.58589046, -0.03341733,  0.40482559, -2.79157683, -1.61501501,
        0.95669868])]"
1000,movel_fit,"[array([1093.12976986, -488.38340654,  993.37642852])]","[array([-0.57343207, -0.03613464,  0.40924597, -2.78834535, -1.61677458,
        0.95639004])]"
2000,movel_fit,"[array([1096.62721371, -469.99911315,  993.80717305])]","[array([-0.56098815, -0.03952971,  0.41312056, -2.7844006 , -1.61814014,
        0.95563532])]"
3000,movel_fit,"[array([1100.64049408, -451.60148353,  995.31603239])]","[array([-0.54858386, -0.0435931 ,  0.41644546, -2.77977945, -1.61909206,
        0.95443685])]"
4000,movel_fit,"[array([1105.15981349, -433.18487028,  997.8728061 ])]","[array([-0.53621754, -0.04831084,  0.41922839, -2.77451584, -1.61961256,
        0.95279851])]"
5000,movel_fit,"[array([1110.17211525, -414.73677995, 1001.43899281])]","[array([-0.52388099, -0.05365866,  0.42148216, -2.76864735, -1.61968329,
        0.95072723])]"
6000,movel_fit,"[array([1115.65676823, -396.24222193, 1005.96256939])]","[array([-0.51156167, -0.05959836,  0.42322632, -2.76221946, -1.61928711,
        0.94823537])]"
7000,movel_fit,"[array([1121.58096175, -377.68481159, 1011.37212463])]","[array([-0.49924263, -0.06607482,  0.42449006, -2.75528967, -1.61841128,
        0.94534362])]"
8000,movel_fit,"[array([1127.89469757, -359.04796985, 1017.57133399])]","[array([-0.4869028 , -0.07301393,  0.42531511, -2.74793109, -1.61705182,
        0.94208401])]"
9000,movel_fit,"[array([1134.52610033, -340.31609632, 1024.43502317])]","[array([-0.47451777, -0.08032205,  0.42575808, -2.74023485, -1.61521891,
        0.93850261])]"
10000,movel_fit,"[array([1141.3766259 , -321.479065  , 1031.80667943])]","[array([-0.4620634 , -0.08788646,  0.4258916 , -2.73231155, -1.61294324,
        0.93466212])]"
11000,movel_fit,"[array([1148.31957224, -302.53282743, 1039.50089831])]","[array([-0.44951788, -0.09557958,  0.42580383, -2.72428822, -1.61028206,
        0.93064249])]"
12000,movel_fit,"[array([1155.20159686, -283.47927697, 1047.31016314])]","[array([-0.43686377, -0.10326549,  0.42559564, -2.71630197, -1.60732379,
        0.92653977])]"
13000,movel_fit,"[array([1161.84535157, -264.33091396, 1055.01259301])]","[array([-0.42409353, -0.11080516,  0.42537609, -2.70849348, -1.60419103,
        0.92246441])]"
