breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1799.18284252, -814.08177029,  576.96938736])]","[array([-0.64919695,  0.83032221, -0.25738266, -2.44302703, -1.40261757,
        2.99559438])]"
1666,movel_fit,"[array([1785.55967167, -807.20068082,  590.90302399])]","[array([-0.65050787,  0.82076507, -0.24924541, -2.44427758, -1.41867171,
        2.99628932])]"
3333,movel_fit,"[array([1772.18586338, -801.20857064,  607.32291735])]","[array([-0.65285458,  0.81060766, -0.24128551, -2.44293661, -1.43572088,
        2.99817066])]"
5000,movel_fit,"[array([1759.24320278, -795.90256369,  626.25682613])]","[array([-0.65612792,  0.79986369, -0.23354742, -2.43891135, -1.45371401,
        3.0012602 ])]"
6666,movel_fit,"[array([1746.9319647 , -791.02189364,  647.6201615 ])]","[array([-0.66015657,  0.78856878, -0.22604047, -2.43217324, -1.47250611,
        3.00554992])]"
8333,movel_fit,"[array([1735.40735096, -786.29637648,  671.1758053 ])]","[array([-0.66472647,  0.77678906, -0.2187361 , -2.42283252, -1.49187486,
        3.0109741 ])]"
10000,movel_fit,"[array([1724.73087828, -781.5355172 ,  696.39516798])]","[array([-0.66959554,  0.76467587, -0.21159838, -2.41128484, -1.51148094,
        3.01734585])]"
11666,movel_fit,"[array([1714.73735995, -776.70725422,  722.48515529])]","[array([-0.674553  ,  0.75244178, -0.20458214, -2.39830666, -1.53097405,
        3.02432302])]"
13333,movel_fit,"[array([1704.95445817, -771.9961029 ,  748.51846212])]","[array([-0.67948772,  0.74030743, -0.19764501, -2.38504325, -1.55011972,
        3.03141589])]"
15000,movel_fit,"[array([1694.68032809, -767.82402775,  773.4818987 ])]","[array([-0.68439897,  0.72850078, -0.19080701, -2.37295737, -1.56877795,
        3.03799735])]"
16666,movel_fit,"[array([1683.10107134, -764.76872901,  796.4701037 ])]","[array([-0.68938357,  0.71719357, -0.1841654 , -2.36363329, -1.58691912,
        3.04337934])]"
18333,movel_fit,"[array([1669.40487324, -763.46223056,  816.75909059])]","[array([-0.69458326,  0.70647913, -0.17789038, -2.35865426, -1.604573  ,
        3.04685997])]"
20000,movel_fit,"[array([1652.86499064, -764.54019834,  833.5911078 ])]","[array([-0.7000996 ,  0.69646234, -0.1722199 , -2.35968362, -1.62166294,
        3.04768412])]"
21666,movel_fit,"[array([1632.73408592, -768.62334141,  845.95194723])]","[array([-0.70595452,  0.68732488, -0.16735492, -2.36862778, -1.63796198,
        3.04498961])]"
23333,movel_fit,"[array([1608.09423729, -776.32041542,  852.23789716])]","[array([-0.71204196,  0.67943082, -0.16329489, -2.38787098, -1.65301364,
        3.03773038])]"
25000,movel_fit,"[array([1578.02195879, -788.05191478,  850.12710301])]","[array([-0.71798724,  0.67341211, -0.15964167, -2.42009057, -1.66593065,
        3.02477091])]"
26666,movel_fit,"[array([1542.36494066, -803.53643661,  837.35190964])]","[array([-0.72294954,  0.67000648, -0.15547486, -2.46697209, -1.67521156,
        3.00541623])]"
28333,movel_fit,"[array([1503.33630495, -821.05536352,  814.07755003])]","[array([-0.72569472,  0.6694609 , -0.14969758, -2.52609006, -1.67906207,
        2.98066188])]"
30000,movel_fit,"[array([1465.8880309 , -837.65379652,  786.10584541])]","[array([-0.72577598,  0.6705753 , -0.14211038, -2.58806925, -1.67759693,
        2.95441081])]"
31666,movel_fit,"[array([1434.00590048, -851.52066829,  762.96287115])]","[array([-0.72501807,  0.67096398, -0.13397349, -2.64099431, -1.67469361,
        2.93188004])]"
33333,movel_fit,"[array([1408.06307276, -863.33176254,  751.49933905])]","[array([-0.72669804,  0.66885419, -0.12698204, -2.67745184, -1.67536026,
        2.91672863])]"
35000,movel_fit,"[array([1386.70922722, -874.55009884,  754.58422332])]","[array([-0.73375401,  0.66372204, -0.1223118 , -2.69406189, -1.68320912,
        2.91100383])]"
36666,movel_fit,"[array([1369.6843545 , -884.99207172,  773.67628588])]","[array([-0.74758874,  0.65562465, -0.12043149, -2.68773799, -1.70047872,
        2.916429  ])]"
38333,movel_fit,"[array([1358.30163568, -892.07241962,  809.71876918])]","[array([-0.76733345,  0.64469325, -0.1206128 , -2.65548581, -1.72818158,
        2.9342975 ])]"
40000,movel_fit,"[array([1352.48335289, -893.18440958,  860.06686752])]","[array([-0.79009965,  0.63188798, -0.1201751 , -2.59944024, -1.76529238,
        2.963376  ])]"
41666,movel_fit,"[array([1346.62710664, -889.7577918 ,  912.89551423])]","[array([-0.81165187,  0.61993362, -0.11569408, -2.53674475, -1.80691289,
        2.99565256])]"
43333,movel_fit,"[array([1334.34205004, -887.58607736,  953.95408146])]","[array([-0.82927346,  0.61075335, -0.10789745, -2.49150983, -1.84485648,
        3.01977001])]"
45000,movel_fit,"[array([1315.39651761, -891.64405629,  978.35142281])]","[array([-0.84307358,  0.60343948, -0.10151905, -2.47515223, -1.87174424,
        3.02985368])]"
46666,movel_fit,"[array([1292.39827153, -903.61273423,  986.55925479])]","[array([-0.85270799,  0.59622888, -0.10085415, -2.49106264, -1.88274581,
        3.02351864])]"
48333,movel_fit,"[array([1266.40197015, -921.86962203,  978.99418557])]","[array([-0.85609792,  0.58882009, -0.10589263, -2.54054469, -1.87767432,
        2.99968597])]"
50000,movel_fit,"[array([1233.5439911 , -943.40285414,  958.97485916])]","[array([-0.85229549,  0.58175308, -0.1113192 , -2.62112289, -1.86472147,
        2.95994727])]"
