breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([  50.8076046 ,  510.0488404 , 1057.22048058])]","[array([ 0.66449482,  1.45156851, -2.48487101,  1.10462662,  0.35539994,
       -1.8897548 ])]"
1665,moveabsj,"[array([  36.2152139 ,  508.81124947, 1056.32693018])]","[array([ 0.67807167,  1.44408065, -2.49266393,  1.09943355,  0.35758746,
       -1.89441695])]"
3332,moveabsj,"[array([  21.2139335 ,  505.06437738, 1056.7834355 ])]","[array([ 0.68856559,  1.43454862, -2.50369578,  1.0947485 ,  0.35394896,
       -1.89891374])]"
4999,moveabsj,"[array([   5.65976452,  498.91840077, 1058.43224314])]","[array([ 0.69615899,  1.42288234, -2.51799187,  1.09047311,  0.3446604 ,
       -1.90336432])]"
6665,moveabsj,"[array([ -10.66915956,  490.52799196, 1061.02983778])]","[array([ 0.70121078,  1.4090294 , -2.53547008,  1.08648374,  0.33011918,
       -1.90790015])]"
8332,moveabsj,"[array([ -28.02231322,  480.10972174, 1064.24669011])]","[array([ 0.70430208,  1.39303164, -2.55587962,  1.08265582,  0.31103386,
       -1.91263028])]"
9999,moveabsj,"[array([ -46.51855034,  468.00994501, 1067.66710239])]","[array([ 0.70625141,  1.37517175, -2.57863691,  1.07891088,  0.28860699,
       -1.91757451])]"
11665,moveabsj,"[array([ -66.04870273,  454.71943048, 1070.83381866])]","[array([ 0.70806791,  1.35603079, -2.60279432,  1.07523171,  0.26455913,
       -1.92263323])]"
13332,moveabsj,"[array([ -86.22247118,  440.85234209, 1073.32157828])]","[array([ 0.71079095,  1.33645368, -2.62712863,  1.07164699,  0.24098215,
       -1.92761022])]"
14999,moveabsj,"[array([-106.29832544,  427.18741178, 1074.79631466])]","[array([ 0.71529512,  1.31753306, -2.65018308,  1.06820453,  0.2202342 ,
       -1.9322653 ])]"
16665,moveabsj,"[array([-125.32261401,  414.62382429, 1075.06729542])]","[array([ 0.72218467,  1.30044152, -2.67046735,  1.06491891,  0.20469826,
       -1.93640773])]"
18332,moveabsj,"[array([-142.28339267,  404.15902608, 1074.07640165])]","[array([ 0.73184135,  1.28633135, -2.68654221,  1.06173873,  0.19671161,
       -1.93993871])]"
19999,moveabsj,"[array([-156.10734137,  396.97512801, 1071.83271459])]","[array([ 0.7445201 ,  1.27642426, -2.69685106,  1.05853923,  0.19875443,
       -1.94281562])]"
21665,moveabsj,"[array([-165.75082917,  394.45605448, 1068.29474249])]","[array([ 0.76051251,  1.27202206, -2.69960006,  1.0550758 ,  0.21364513,
       -1.94501841])]"
23332,moveabsj,"[array([-170.33164899,  398.15839075, 1063.17696631])]","[array([ 0.78034052,  1.27447598, -2.69261417,  1.05091173,  0.24479802,
       -1.94651196])]"
24999,moveabsj,"[array([-169.52078214,  409.47260117, 1055.73118663])]","[array([ 0.80487806,  1.28486226, -2.6735173 ,  1.04536078,  0.29599275,
       -1.94725228])]"
26665,moveabsj,"[array([-164.44758704,  428.65865482, 1044.67098033])]","[array([ 0.83528205,  1.30301818, -2.64082492,  1.03749302,  0.36998209,
       -1.94743545])]"
28332,moveabsj,"[array([-158.53409642,  453.43312681, 1028.79092215])]","[array([ 0.87177462,  1.3260133 , -2.59658226,  1.02626529,  0.46454858,
       -1.94826043])]"
29999,moveabsj,"[array([-156.08321381,  478.56761666, 1008.79642359])]","[array([ 0.91111008,  1.34816243, -2.54893716,  1.01121115,  0.56672371,
       -1.95182512])]"
31665,moveabsj,"[array([-158.65335357,  498.21591362,  988.78094142])]","[array([ 0.94745833,  1.36481302, -2.50869934,  0.99442421,  0.65587072,
       -1.95773631])]"
33332,moveabsj,"[array([-164.97349161,  508.53070844,  974.61662528])]","[array([ 0.9765388 ,  1.37419131, -2.48354624,  0.98096068,  0.71536856,
       -1.96211516])]"
34999,moveabsj,"[array([-173.34349326,  507.53514605,  971.25492255])]","[array([ 0.99588855,  1.37554922, -2.47800351,  0.97610485,  0.73506709,
       -1.96084929])]"
36665,moveabsj,"[array([-182.7014169 ,  493.47445828,  981.46086445])]","[array([ 1.00348669,  1.36828836, -2.49536057,  0.9829959 ,  0.70703791,
       -1.95135361])]"
38332,moveabsj,"[array([-193.20284062,  464.42134744, 1004.06425804])]","[array([ 0.99856775,  1.35258363, -2.5370109 ,  1.00034845,  0.62618428,
       -1.93369677])]"
39999,moveabsj,"[array([-206.48643523,  420.95660724, 1031.6831105 ])]","[array([ 0.98313048,  1.32976949, -2.59963285,  1.0207195 ,  0.49773362,
       -1.91284839])]"
41665,moveabsj,"[array([-224.10447643,  372.24615418, 1052.39951929])]","[array([ 0.96538814,  1.30349699, -2.66909325,  1.03415504,  0.354477  ,
       -1.89823794])]"
43332,moveabsj,"[array([-243.15746108,  332.21222412, 1061.36624041])]","[array([ 0.95591858,  1.27985346, -2.72524536,  1.0382441 ,  0.24417969,
       -1.89307321])]"
44999,moveabsj,"[array([-257.63749295,  309.97003908, 1062.41987561])]","[array([ 0.9585542 ,  1.26483851, -2.75558944,  1.03645457,  0.19352888,
       -1.89350359])]"
46665,moveabsj,"[array([-263.01045673,  311.3727196 , 1059.09904895])]","[array([ 0.97301337,  1.26310282, -2.7530256 ,  1.03100985,  0.21502849,
       -1.89678498])]"
48332,moveabsj,"[array([-259.55122536,  338.36564266, 1049.75562348])]","[array([ 0.99777778,  1.27453483, -2.7155467 ,  1.0200423 ,  0.31273512,
       -1.90460151])]"
49999,moveabsj,"[array([-252.90399877,  385.75969778, 1027.31230975])]","[array([ 1.03104674,  1.29397862, -2.65037037,  0.99717194,  0.47309664,
       -1.92366698])]"
