breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1795.74810119, -356.95007991, 1116.06659392])]","[array([-0.51038906,  0.18229775,  0.7657341 ,  2.17201467,  1.44810883,
       -3.00302469])]"
999,moveabsj,"[array([1777.61735946,  -47.29788873, 1153.74658929])]","[array([-0.34935583,  0.11295083,  0.81239206,  2.16940593,  1.44472715,
       -3.05672411])]"
1999,moveabsj,"[array([1774.87488427,  -31.00230869, 1157.21872414])]","[array([-0.34066998,  0.10877188,  0.81488641,  2.16994344,  1.44569899,
       -3.06029561])]"
2999,moveabsj,"[array([1771.80481445,  -15.15214144, 1162.18570267])]","[array([-0.33215723,  0.10424049,  0.81730929,  2.1711775 ,  1.44782043,
       -3.06449777])]"
3999,moveabsj,"[array([1.76843351e+03, 2.57928126e-01, 1.16860048e+03])]","[array([-0.32380566,  0.09937603,  0.81963831,  2.17308744,  1.4510292 ,
       -3.06930861])]"
4999,moveabsj,"[array([1764.77379762,   15.24831637, 1176.40602301])]","[array([-0.31558882,  0.09421836,  0.82187533,  2.17569483,  1.45531652,
       -3.07476412])]"
5999,moveabsj,"[array([1760.84622862,   29.869832  , 1185.54021676])]","[array([-0.307461  ,  0.08881028,  0.8240072 ,  2.17900888,  1.4606485 ,
       -3.08087374])]"
6999,moveabsj,"[array([1756.68378407,   44.16263539, 1195.91776149])]","[array([-0.2993878 ,  0.08319243,  0.82599384,  2.18298469,  1.46692482,
       -3.08758274])]"
7999,moveabsj,"[array([1752.31173894,   58.19295967, 1207.39410165])]","[array([-0.29131688,  0.07744323,  0.82782366,  2.18759767,  1.47407597,
       -3.09488255])]"
8999,moveabsj,"[array([1747.76742788,   72.03565573, 1219.82742861])]","[array([-0.28319878,  0.07161477,  0.82945416,  2.1927657 ,  1.48194908,
       -3.10266635])]"
9999,moveabsj,"[array([1743.06803727,   85.77215433, 1232.94078265])]","[array([-0.2749832 ,  0.06581583,  0.83090959,  2.19841345,  1.4904232 ,
       -3.11090449])]"
10999,moveabsj,"[array([1738.24878527,   99.48650248, 1246.51431272])]","[array([-0.26663584,  0.0600745 ,  0.8321571 ,  2.20437102,  1.49923245,
       -3.11938037])]"
11999,moveabsj,"[array([1733.31035018,  113.25335337, 1260.14562653])]","[array([-0.25812397,  0.05453473,  0.8332863 ,  2.21054015,  1.50826994,
       -3.12808763])]"
12999,moveabsj,"[array([1728.27387482,  127.12927107, 1273.53263503])]","[array([-0.24945836,  0.04918903,  0.83430484,  2.21666588,  1.51718462,
       -3.13672978])]"
13999,moveabsj,"[array([1723.12832195,  141.16311386, 1286.28361616])]","[array([-0.24065415,  0.04408244,  0.83531257,  2.22255176,  1.52574552,
       -3.14515251])]"
14999,moveabsj,"[array([1717.85571572,  155.37185443, 1298.02437717])]","[array([-0.23175478,  0.0392202 ,  0.8364233 ,  2.22798545,  1.53369963,
       -3.15317435])]"
15999,moveabsj,"[array([1712.42588306,  169.75625099, 1308.40997884])]","[array([-0.22281939,  0.03457731,  0.83776596,  2.23275664,  1.54080496,
       -3.16061533])]"
16999,moveabsj,"[array([1706.80591317,  184.28097601, 1317.11882304])]","[array([-0.21393426,  0.03010864,  0.83947271,  2.23664838,  1.54682381,
       -3.16729142])]"
17999,moveabsj,"[array([1700.95644752,  198.92338547, 1323.88064778])]","[array([-0.20518551,  0.02570771,  0.84166328,  2.23942175,  1.55145618,
       -3.17296019])]"
18999,moveabsj,"[array([1694.84528352,  213.62961477, 1328.38042978])]","[array([-0.1966675 ,  0.02133926,  0.8444774 ,  2.24087991,  1.55450131,
       -3.17748075])]"
19999,moveabsj,"[array([1688.40746374,  228.34518662, 1330.35961257])]","[array([-0.18848064,  0.01683138,  0.84806515,  2.2407978 ,  1.55559639,
       -3.18059059])]"
20999,moveabsj,"[array([1681.63523436,  243.0487088 , 1329.49659826])]","[array([-0.18070219,  0.0121454 ,  0.85250935,  2.23892479,  1.55444438,
       -3.1820499 ])]"
21999,moveabsj,"[array([1674.54035655,  257.76792612, 1325.34888362])]","[array([-0.17337427,  0.00738331,  0.85787736,  2.23499538,  1.55083483,
       -3.18167978])]"
22999,moveabsj,"[array([1667.12405352,  272.53369069, 1317.56498632])]","[array([-1.66532048e-01,  2.36421691e-03,  8.64197764e-01,  2.22866828e+00,
        1.54406763e+00, -3.17896851e+00])]"
23999,moveabsj,"[array([1659.44516915,  287.53781363, 1305.577128  ])]","[array([-1.60072364e-01, -2.66601657e-03,  8.71434388e-01,  2.21966641e+00,
        1.53384118e+00, -3.17371400e+00])]"
24999,moveabsj,"[array([1651.67438296,  303.09128888, 1289.03729993])]","[array([-0.15374455, -0.00728878,  0.87930572,  2.20785086,  1.51999195,
       -3.16576762])]"
25999,moveabsj,"[array([1643.98518485,  319.64238075, 1267.71401638])]","[array([-0.14718792, -0.01128042,  0.88737086,  2.19294504,  1.50187482,
       -3.15471193])]"
26999,moveabsj,"[array([1636.67110558,  337.63990186, 1242.12256709])]","[array([-0.13987582, -0.01428129,  0.89486024,  2.17515487,  1.47939753,
       -3.14049712])]"
27999,moveabsj,"[array([1630.02953673,  357.47161149, 1213.42072296])]","[array([-0.13119155, -0.0157413 ,  0.90095336,  2.15530377,  1.45342112,
       -3.12388318])]"
28999,moveabsj,"[array([1624.26610344,  379.02339581, 1183.89856555])]","[array([-0.1208268 , -0.01562887,  0.90490165,  2.13469093,  1.42543644,
       -3.10593669])]"
29999,moveabsj,"[array([1619.29647923,  401.7323471 , 1156.11969481])]","[array([-0.10889235, -0.01417701,  0.90659968,  2.11502429,  1.39789775,
       -3.08846065])]"
30999,moveabsj,"[array([1614.73451378,  424.68863516, 1132.28922897])]","[array([-0.09597018, -0.0119418 ,  0.90663899,  2.09791457,  1.37350072,
       -3.07340382])]"
31999,moveabsj,"[array([1609.85053842,  446.7271625 , 1114.03928544])]","[array([-0.0830732 , -0.01056745,  0.90590143,  2.08363974,  1.35321467,
       -3.06098163])]"
32999,moveabsj,"[array([1603.91366161,  466.93636689, 1101.92801   ])]","[array([-0.07106044, -0.01092071,  0.90556752,  2.07258401,  1.33839343,
       -3.05200166])]"
33999,moveabsj,"[array([1596.21360279,  484.53613687, 1096.0055191 ])]","[array([-0.06065566, -0.01384156,  0.90677966,  2.06486597,  1.32971679,
       -3.04692681])]"
34999,moveabsj,"[array([1586.32360347,  498.7987715 , 1096.49062856])]","[array([-0.0524946 , -0.01990972,  0.91025474,  2.06058055,  1.32786486,
       -3.04605751])]"
35999,moveabsj,"[array([1574.08199944,  509.11864801, 1103.45066364])]","[array([-0.04690499, -0.02878737,  0.91692107,  2.06126213,  1.33469333,
       -3.05164721])]"
36999,moveabsj,"[array([1559.93338735,  515.20177289, 1117.75569489])]","[array([-0.04402125, -0.04114897,  0.92595811,  2.06628765,  1.34909577,
       -3.06243236])]"
37999,moveabsj,"[array([1544.72249865,  517.36055553, 1140.39434629])]","[array([-0.04334879, -0.05650746,  0.93624656,  2.07632983,  1.3711022 ,
       -3.07876731])]"
38999,moveabsj,"[array([1529.43771141,  516.46845092, 1172.2037767 ])]","[array([-0.04369997, -0.07370894,  0.94647556,  2.0928679 ,  1.40084993,
       -3.10177447])]"
39999,moveabsj,"[array([1515.56102439,  514.30684033, 1211.81535869])]","[array([-0.04324878, -0.09047784,  0.95445491,  2.1156588 ,  1.43614184,
       -3.13082143])]"
40999,moveabsj,"[array([1504.08522733,  513.05128726, 1255.60280124])]","[array([-0.04034756, -0.10516875,  0.95838034,  2.14207365,  1.47198004,
       -3.16233675])]"
