breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1687.31383162, -798.64522613, 1276.76536014])]","[array([-0.80972476,  0.22187409,  0.48418139,  1.70818732,  1.47267696,
        2.29985119])]"
999,moveabsj,"[array([1730.3088766 , -519.51137232, 1286.71289911])]","[array([-0.67074677,  0.16276269,  0.55589741,  1.72727293,  1.47779604,
        2.29037625])]"
1999,moveabsj,"[array([1731.3679885 , -503.03881685, 1288.77767272])]","[array([-0.66253997,  0.15904906,  0.5597466 ,  1.72906709,  1.47904106,
        2.28897367])]"
2999,moveabsj,"[array([1731.95762525, -486.76719778, 1292.35984301])]","[array([-0.65450694,  0.15491916,  0.56351891,  1.73167442,  1.48113852,
        2.28658263])]"
3999,moveabsj,"[array([1732.18202262, -470.68610007, 1297.41250523])]","[array([-0.64660067,  0.15046237,  0.56710401,  1.73504313,  1.48404476,
        2.28327992])]"
4999,moveabsj,"[array([1732.09016645, -454.74534304, 1303.92309835])]","[array([-0.63877444,  0.14570458,  0.57044118,  1.73912746,  1.48772557,
        2.27915464])]"
5999,moveabsj,"[array([1731.67383031, -438.9379054 , 1311.79681594])]","[array([-0.63101146,  0.14068226,  0.57359933,  1.74399339,  1.49218128,
        2.27411916])]"
6999,moveabsj,"[array([1731.00785283, -423.21818294, 1320.96240352])]","[array([-0.62325423,  0.13545269,  0.57650157,  1.7495723 ,  1.49733039,
        2.26830337])]"
7999,moveabsj,"[array([1730.12244918, -407.53002778, 1331.27801661])]","[array([-0.61545061,  0.13007389,  0.57917042,  1.75585085,  1.50311676,
        2.26173149])]"
8999,moveabsj,"[array([1729.05748321, -391.80387064, 1342.53705963])]","[array([-0.6075391 ,  0.12463909,  0.58163742,  1.76279834,  1.50948462,
        2.25441875])]"
9999,moveabsj,"[array([1727.87751766, -376.00747244, 1354.52190367])]","[array([-0.5994841 ,  0.11921243,  0.58383284,  1.7701996 ,  1.51625302,
        2.24665681])]"
10999,moveabsj,"[array([1726.62839882, -360.06015997, 1366.96314914])]","[array([-0.59123213,  0.11384749,  0.58576645,  1.77787885,  1.52324716,
        2.23867299])]"
11999,moveabsj,"[array([1725.29251909, -343.95269371, 1379.40822532])]","[array([-0.58277563,  0.1087155 ,  0.58764424,  1.78583909,  1.53047584,
        2.23029368])]"
12999,moveabsj,"[array([1723.92222491, -327.64808442, 1391.58082108])]","[array([-0.57411092,  0.10379139,  0.58939487,  1.79367724,  1.53761118,
        2.22208265])]"
13999,moveabsj,"[array([1722.49211765, -311.16877863, 1403.03271899])]","[array([-0.56527954,  0.09915104,  0.59117617,  1.80120022,  1.54452801,
        2.21414917])]"
14999,moveabsj,"[array([1720.95848837, -294.54661602, 1413.3894338 ])]","[array([-0.55634299,  0.09479159,  0.59313339,  1.80817648,  1.55106138,
        2.20671105])]"
15999,moveabsj,"[array([1719.28044775, -277.85444222, 1422.31102775])]","[array([-0.54739504,  0.0906792 ,  0.59537747,  1.81432303,  1.5570112 ,
        2.20006864])]"
16999,moveabsj,"[array([1717.3767952 , -261.17364433, 1429.46570043])]","[array([-0.53854387,  0.08676107,  0.59808954,  1.81942361,  1.56223248,
        2.19441528])]"
17999,moveabsj,"[array([1715.14614171, -244.62774376, 1434.54953998])]","[array([-0.52992927,  0.08296257,  0.60145375,  1.82326053,  1.5665891 ,
        2.18995095])]"
18999,moveabsj,"[array([1712.50128284, -228.28717009, 1437.36062602])]","[array([-0.52167321,  0.07907316,  0.60557736,  1.82549708,  1.56976112,
        2.18717212])]"
19999,moveabsj,"[array([1709.31061665, -212.34225469, 1437.49060586])]","[array([-0.51393197,  0.07514646,  0.61078588,  1.82613433,  1.57181552,
        2.18588503])]"
20999,moveabsj,"[array([1705.54722045, -196.85330059, 1434.75087601])]","[array([-0.50681604,  0.0710012 ,  0.61705174,  1.82471614,  1.5723589 ,
        2.18677483])]"
21999,moveabsj,"[array([1701.05304697, -181.96105108, 1428.7111377 ])]","[array([-0.50048558,  0.0664465 ,  0.62466975,  1.82097464,  1.57104227,
        2.19023282])]"
22999,moveabsj,"[array([1696.04705992, -167.64503703, 1418.73237685])]","[array([-0.49486172,  0.06215961,  0.6336031 ,  1.81489086,  1.56818667,
        2.1957599 ])]"
23999,moveabsj,"[array([1690.40828843, -153.92720056, 1404.58407023])]","[array([-0.49005952,  0.05734006,  0.64388841,  1.80563861,  1.56238636,
        2.20525689])]"
24999,moveabsj,"[array([1684.46109188, -140.56225416, 1385.58853447])]","[array([-0.48575818,  0.05279125,  0.6554541 ,  1.79342637,  1.55386607,
        2.21811607])]"
