breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-905.69394232, -201.77355477,  523.46133161])]","[array([-0.29441564, -0.51333629, -3.16127639,  0.62532831,  0.50356369,
        0.53206489])]"
999,moveabsj,"[array([-904.09277834, -207.95245764,  524.38152323])]","[array([-0.28805235, -0.51238903, -3.1598811 ,  0.62364277,  0.50237804,
        0.53216293])]"
1999,moveabsj,"[array([-902.66126724, -214.15588031,  527.01462352])]","[array([-0.28147872, -0.51020655, -3.15737374,  0.62180554,  0.50197342,
        0.53243822])]"
2999,moveabsj,"[array([-901.39045242, -220.37157642,  531.37256108])]","[array([-0.27471532, -0.50679052, -3.15375171,  0.61982696,  0.50235587,
        0.53289695])]"
3999,moveabsj,"[array([-900.25785936, -226.59562924,  537.46409184])]","[array([-0.26777834, -0.50215038, -3.1490155 ,  0.6177168 ,  0.50352551,
        0.53354591])]"
4999,moveabsj,"[array([-899.22987013, -232.82147855,  545.28933808])]","[array([-0.26069068, -0.49630732, -3.14317332,  0.61548743,  0.50547698,
        0.53439187])]"
5999,moveabsj,"[array([-898.26166571, -239.03815068,  554.829527  ])]","[array([-0.25348399, -0.48930076, -3.13624761,  0.61315474,  0.50819556,
        0.53544053])]"
6999,moveabsj,"[array([-897.29767236, -245.22994932,  566.03464593])]","[array([-0.24619883, -0.48119555, -3.12828233,  0.61073881,  0.51165226,
        0.53669518])]"
7999,moveabsj,"[array([-896.27337903, -251.37679561,  578.80995049])]","[array([-0.23888383, -0.47208914, -3.11935079,  0.60826425,  0.51579849,
        0.53815504])]"
8999,moveabsj,"[array([-895.11900759, -257.45557159,  593.00331676])]","[array([-0.2315932 , -0.46211722, -3.10956264,  0.60576017,  0.5205612 ,
        0.53981368])]"
9999,moveabsj,"[array([-893.76545135, -263.44160189,  608.3929363 ])]","[array([-0.22438368, -0.45145849, -3.09907055,  0.60326   ,  0.52583818,
        0.54165729])]"
10999,moveabsj,"[array([-892.15178133, -269.31259333,  624.68293189])]","[array([-0.21730833, -0.44033372, -3.08807199,  0.60080032,  0.53149615,
        0.54366387])]"
11999,moveabsj,"[array([-890.23339909, -275.05346082,  641.50698437])]","[array([-0.21040906, -0.42900003, -3.07680622,  0.5984193 ,  0.53737158,
        0.54580336])]"
12999,moveabsj,"[array([-887.98997101, -280.65957639,  658.43464053])]","[array([-0.2037115 , -0.41774474, -3.06555068,  0.59615587,  0.54327242,
        0.54803844])]"
13999,moveabsj,"[array([-885.4302436 , -286.14166468,  674.99069103])]","[array([-0.19721811, -0.40687225, -3.05460958,  0.59404834,  0.54898428,
        0.5503272 ])]"
14999,moveabsj,"[array([-882.59425109, -291.52647927,  690.66969508])]","[array([-0.19090724, -0.39669631, -3.0443067 ,  0.59213473,  0.55427514,
        0.55262544])]"
15999,moveabsj,"[array([-879.54988382, -296.8589259 ,  704.95868125])]","[array([-0.18473101, -0.38752838, -3.03497299,  0.59045279,  0.55890291,
        0.5548906 ])]"
16999,moveabsj,"[array([-876.38859471, -302.19723971,  717.33847875])]","[array([-0.1786223 , -0.37968091, -3.02694805,  0.58904267,  0.562616  ,
        0.55708284])]"
17999,moveabsj,"[array([-873.2171317 , -307.60986834,  727.2859366 ])]","[array([-0.17250032, -0.37347023, -3.02058028,  0.587949  ,  0.56515432,
        0.55916643])]"
18999,moveabsj,"[array([-870.14845796, -313.16940368,  734.26276515])]","[array([-0.16628022, -0.36922804, -3.0162349 ,  0.58722387,  0.56624601,
        0.56110943])]"
19999,moveabsj,"[array([-867.29209068, -318.94192245,  737.69964704])]","[array([-0.15988859, -0.3673159 , -3.01430386,  0.58692962,  0.56560431,
        0.56288177])]"
20999,moveabsj,"[array([-864.73349185, -324.98857878,  736.99220866])]","[array([-0.15326579, -0.36813385, -3.01520796,  0.58714009,  0.56292507,
        0.56445805])]"
21999,moveabsj,"[array([-862.51654487, -331.34756268,  731.48815098])]","[array([-0.14639069, -0.37213589, -3.01940377,  0.58794262,  0.55788651,
        0.56581601])]"
22999,moveabsj,"[array([-860.61069172, -338.02303092,  720.52006876])]","[array([-0.13929701, -0.37982   , -3.0273612 ,  0.58943534,  0.55016421,
        0.56694201])]"
23999,moveabsj,"[array([-858.86636782, -344.98265919,  703.46237603])]","[array([-0.1320784 , -0.39170759, -3.03952802,  0.59172226,  0.53944782,
        0.56784258])]"
24999,moveabsj,"[array([-856.9707836 , -352.1503792 ,  679.85549649])]","[array([-0.12489431, -0.40828146, -3.05625191,  0.59489888,  0.52548234,
        0.56855792])]"
25999,moveabsj,"[array([-854.42172008, -359.40961706,  649.64011348])]","[array([-0.11795519, -0.42984319, -3.0776291 ,  0.59901738,  0.50815058,
        0.56917381])]"
26999,moveabsj,"[array([-850.56637916, -366.62962818,  613.47801142])]","[array([-0.11147011, -0.4562778 , -3.10328715,  0.60402391,  0.48759869,
        0.56981453])]"
27999,moveabsj,"[array([-844.77023326, -373.70342151,  573.0727119 ])]","[array([-0.10556808, -0.48674105, -3.13214469,  0.60967512,  0.46440959,
        0.57059413])]"
28999,moveabsj,"[array([-836.70974352, -380.58277451,  531.14719439])]","[array([-0.10022404, -0.51949939, -3.16237912,  0.61550534,  0.4397021 ,
        0.57153591])]"
29999,moveabsj,"[array([-826.63559502, -387.26572961,  490.90949754])]","[array([-0.09526211, -0.55213511, -3.19174274,  0.62091739,  0.41504757,
        0.57252837])]"
30999,moveabsj,"[array([-815.36590548, -393.76332867,  455.1762374 ])]","[array([-0.09042808, -0.58215043, -3.21815145,  0.62537642,  0.39213712,
        0.57337655])]"
31999,moveabsj,"[array([-804.04261887, -400.06364318,  425.90237575])]","[array([-0.08548356, -0.6074384 , -3.24002956,  0.62853444,  0.37249586,
        0.5738939 ])]"
