breakpoints,primitives,points,q_bp
0,movej_fit,"[array([413.49140291, 506.82332718, 968.91080438])]","[array([ 1.66901873e-02, -4.84940938e-02,  5.33993138e-02,  1.58524653e-03,
       -1.72005233e+00, -1.57928563e+00])]"
1666,movel_fit,"[array([406.55446624, 512.21435787, 967.33572774])]","[array([ 0.02834692, -0.05048508,  0.05009056, -0.0063588 , -1.72180186,
       -1.58070863])]"
3333,movel_fit,"[array([397.11254689, 517.50324098, 968.33571288])]","[array([ 0.04040585, -0.05515919,  0.04413933, -0.01364011, -1.72689268,
       -1.58184343])]"
5000,movel_fit,"[array([385.18401148, 522.57522872, 971.86885669])]","[array([ 0.05279752, -0.06251145,  0.03554201, -0.0202482 , -1.73524151,
       -1.58268477])]"
6666,movel_fit,"[array([370.86462231, 527.30060792, 977.79465229])]","[array([ 0.06540867, -0.07245149,  0.02434796, -0.02619293, -1.74666082,
       -1.58328744])]"
8333,movel_fit,"[array([354.35903743, 531.55601545, 985.81775375])]","[array([ 0.07810251, -0.08474605,  0.0107149 , -0.03154096, -1.76080656,
       -1.58373835])]"
10000,movel_fit,"[array([336.08716507, 535.24005534, 995.38998322])]","[array([ 0.09070444, -0.09889903, -0.00495006, -0.03643042, -1.77705716,
       -1.58410335])]"
11666,movel_fit,"[array([ 316.69311356,  538.32032401, 1005.68730652])]","[array([ 0.10307402, -0.11412039, -0.02191843, -0.0410878 , -1.79449059,
       -1.584366  ])]"
13333,movel_fit,"[array([ 296.99728792,  540.86223115, 1015.68863434])]","[array([ 0.11517146, -0.12939146, -0.03914969, -0.04579206, -1.81195533,
       -1.58439314])]"
15000,movel_fit,"[array([ 278.03045527,  543.017307  , 1024.26828401])]","[array([ 0.12701754, -0.14351005, -0.05528641, -0.05079029, -1.82810027,
       -1.5839643 ])]"
16666,movel_fit,"[array([ 260.94905405,  545.00985031, 1030.35185771])]","[array([ 0.13867458, -0.15523073, -0.06880496, -0.05626829, -1.84151533,
       -1.58285734])]"
18333,movel_fit,"[array([ 246.98685505,  547.11821524, 1032.96198486])]","[array([ 0.1501943 , -0.16331552, -0.07812086, -0.06238298, -1.85078934,
       -1.58092516])]"
20000,movel_fit,"[array([ 237.52386216,  549.65701904, 1031.1085408 ])]","[array([ 0.16150551, -0.16643654, -0.08153162, -0.06930769, -1.85440331,
       -1.5781343 ])]"
21666,movel_fit,"[array([ 234.01859783,  552.96915937, 1023.63761636])]","[array([ 0.17238717, -0.16314131, -0.07719622, -0.07733281, -1.85066647,
       -1.57456466])]"
23333,movel_fit,"[array([ 237.90039136,  557.38371504, 1009.03106599])]","[array([ 0.18242248, -0.15182785, -0.0631378 , -0.08698797, -1.83765813,
       -1.57042493])]"
25000,movel_fit,"[array([250.24041715, 563.08130832, 985.42345169])]","[array([ 0.1909255 , -0.13090677, -0.03766928, -0.099111  , -1.81350239,
       -1.56617754])]"
26666,movel_fit,"[array([270.92746672, 569.8757025 , 951.25054988])]","[array([ 1.97095721e-01, -9.94022893e-02, -6.57776125e-04, -1.14674789e-01,
       -1.77730793e+00, -1.56275454e+00])]"
28333,movel_fit,"[array([297.21081639, 577.04037566, 907.3106258 ])]","[array([ 0.20069216, -0.05860579,  0.04430309, -0.13381656, -1.73106156,
       -1.56153942])]"
30000,movel_fit,"[array([322.82655584, 583.64118589, 859.42287215])]","[array([ 0.2031477 , -0.01433701,  0.08898007, -0.15450576, -1.6815497 ,
       -1.56330436])]"
31666,movel_fit,"[array([341.04212928, 589.41653774, 816.55605555])]","[array([ 0.20732834,  0.02456872,  0.12501273, -0.17358096, -1.63837614,
       -1.56713262])]"
33333,movel_fit,"[array([348.68411396, 594.7786441 , 785.98496322])]","[array([ 0.21542012,  0.05066261,  0.14846787, -0.18871922, -1.60979953,
       -1.57170601])]"
35000,movel_fit,"[array([345.62810001, 599.99656941, 772.72423942])]","[array([ 0.2279656 ,  0.05880672,  0.15810298, -0.19799307, -1.60192897,
       -1.57658974])]"
36666,movel_fit,"[array([332.11078931, 604.75829721, 780.82179904])]","[array([ 0.24459424,  0.04540839,  0.15187585, -0.19973216, -1.61884008,
       -1.58177225])]"
38333,movel_fit,"[array([306.61503213, 608.13308986, 811.73639979])]","[array([ 0.26537282,  0.00968354,  0.12625219, -0.19471022, -1.66067835,
       -1.58691677])]"
40000,movel_fit,"[array([266.25442477, 608.44560669, 860.72511448])]","[array([ 0.290868  , -0.04409008,  0.07952966, -0.18743785, -1.72205481,
       -1.59079491])]"
41666,movel_fit,"[array([214.76963155, 604.43834714, 912.32804863])]","[array([ 0.31917821, -0.10233403,  0.02123301, -0.18338671, -1.78852524,
       -1.59147735])]"
43333,movel_fit,"[array([167.89057956, 598.28972281, 948.82520525])]","[array([ 0.34463499, -0.14768846, -0.02782279, -0.18423349, -1.84099959,
       -1.58954364])]"
45000,movel_fit,"[array([141.17914546, 594.85469338, 962.78210955])]","[array([ 0.36224635, -0.16985996, -0.05122249, -0.18930258, -1.86682532,
       -1.58766352])]"
46666,movel_fit,"[array([143.94544778, 598.23398856, 951.64416276])]","[array([ 0.36881411, -0.1625909 , -0.03979214, -0.19776197, -1.85852784,
       -1.5881178 ])]"
48333,movel_fit,"[array([176.27591485, 608.26914316, 914.0688427 ])]","[array([ 0.36295648, -0.12476641,  0.00691749, -0.20911543, -1.81495137,
       -1.59260484])]"
50000,movel_fit,"[array([224.43115955, 620.07328181, 851.97436987])]","[array([ 0.34931782, -0.06288798,  0.07751714, -0.22363416, -1.74452521,
       -1.59983393])]"
