breakpoints,primitives,points
0,movej_fit,"[array([-0.57492655, -0.00617103,  0.38381481, -2.80915415, -1.64456216,
        0.98496554])]"
11813,movec_fit,"[array([1084.98721372, -385.4630201 ,  994.35016303]), array([1072.03246375, -264.7865419 ,  993.67673718])]"
17313,movel_fit,"[array([1058.15205683, -152.64808047,  989.46150784])]"
20201,movel_fit,"[array([1055.3590394 ,  -93.35035396,  988.21653003])]"
22632,movel_fit,"[array([1058.13207563,  -43.458312  ,  989.40965809])]"
25139,movel_fit,"[array([1066.96346625,    7.28075217,  992.05084436])]"
27742,movel_fit,"[array([1081.47232265,   58.78820424,  993.3176099 ])]"
30367,movel_fit,"[array([1097.79362009,  110.08373997,  989.29054997])]"
33896,movec_fit,"[array([1106.55981482,  144.92945931,  984.3203372 ]), array([1112.20916256,  180.47027652,  979.9364562 ])]"
37694,movec_fit,"[array([1111.88351848,  219.43377976,  979.98123498]), array([1104.33085315,  257.29236946,  984.95747238])]"
39576,movel_fit,"[array([1091.34993086,  293.38280495,  990.1872002 ])]"
42429,movec_fit,"[array([1079.07720698,  319.95055173,  992.15920419]), array([1066.70390217,  346.51000533,  991.35596407])]"
45304,movec_fit,"[array([1056.513519  ,  374.0442101 ,  988.41652442]), array([1051.56832329,  403.05391914,  986.57545265])]"
48168,movec_fit,"[array([1054.88057477,  432.23415995,  987.83014852]), array([1064.79204676,  459.70381551,  990.79835462])]"
49421,movel_fit,"[array([1075.83598577,  482.91535434,  992.13324731])]"
50000,movel_fit,"[array([1082.01376943,  493.13831067,  991.14897121])]"
