timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.002, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.006, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.008, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.011, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.016, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.02, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.024, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.028, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.032, -1, 20.5179, 12.829, 12.2212, 10.521, 96.5089, 18.7108
0.036, -1, 20.5178, 12.8289, 12.2212, 10.521, 96.5089, 18.7108
0.04, -1, 20.5176, 12.8289, 12.2212, 10.521, 96.5089, 18.7108
0.044, -1, 20.5169, 12.8286, 12.2212, 10.521, 96.5089, 18.7108
0.048, -1, 20.5156, 12.8282, 12.2211, 10.521, 96.5089, 18.7107
0.052, -1, 20.5136, 12.8274, 12.221, 10.5209, 96.5088, 18.7105
0.056, -1, 20.5106, 12.8262, 12.2209, 10.5209, 96.5085, 18.7101
0.06, -1, 20.5066, 12.8245, 12.2208, 10.5209, 96.5081, 18.7094
0.064, -1, 20.5015, 12.822, 12.2208, 10.5209, 96.5073, 18.7082
0.068, -1, 20.495, 12.8188, 12.221, 10.521, 96.5061, 18.7063
0.072, -1, 20.487, 12.8145, 12.2216, 10.5211, 96.5041, 18.7033
0.076, -1, 20.4771, 12.809, 12.2226, 10.5212, 96.5012, 18.6989
0.08, -1, 20.465, 12.8021, 12.2242, 10.5214, 96.4971, 18.6928
0.084, -1, 20.4503, 12.7935, 12.2267, 10.5218, 96.4916, 18.6844
0.088, -1, 20.4327, 12.7831, 12.2303, 10.5222, 96.4841, 18.6733
0.092, -1, 20.4121, 12.7708, 12.2352, 10.5229, 96.4745, 18.659
0.096, -1, 20.3884, 12.7564, 12.2417, 10.5238, 96.4623, 18.6409
0.1, -1, 20.3615, 12.74, 12.2502, 10.5249, 96.4472, 18.6186
0.104, -1, 20.3313, 12.7214, 12.2608, 10.5263, 96.4288, 18.5915
0.108, -1, 20.2975, 12.7005, 12.2737, 10.528, 96.4069, 18.5593
0.112, -1, 20.26, 12.6771, 12.2892, 10.5301, 96.3813, 18.5217
0.116, -1, 20.2188, 12.6513, 12.3072, 10.5325, 96.3519, 18.4785
0.12, -1, 20.1738, 12.623, 12.3278, 10.5352, 96.3186, 18.4296
0.124, -1, 20.1249, 12.5922, 12.3511, 10.5382, 96.2813, 18.375
0.128, -1, 20.0723, 12.559, 12.3768, 10.5416, 96.2403, 18.3149
0.131, -1, 20.0161, 12.5235, 12.4051, 10.5454, 96.1956, 18.2495
0.136, -1, 19.9564, 12.4858, 12.4355, 10.5494, 96.1475, 18.1791
0.139, -1, 19.8933, 12.4458, 12.468, 10.5537, 96.0963, 18.1042
0.144, -1, 19.8267, 12.4037, 12.5023, 10.5582, 96.0423, 18.0252
0.148, -1, 19.7569, 12.3595, 12.5381, 10.5629, 95.9858, 17.9425
0.152, -1, 19.684, 12.3135, 12.5751, 10.5678, 95.9273, 17.8568
0.156, -1, 19.6084, 12.2656, 12.6131, 10.5728, 95.8669, 17.7685
0.16, -1, 19.5306, 12.2162, 12.6519, 10.5779, 95.8052, 17.6781
0.164, -1, 19.4506, 12.1655, 12.6914, 10.5831, 95.7422, 17.5859
0.168, -1, 19.369, 12.1136, 12.7313, 10.5884, 95.6784, 17.4924
0.172, -1, 19.2857, 12.0607, 12.7715, 10.5937, 95.6138, 17.3978
0.176, -1, 19.201, 12.0071, 12.8119, 10.599, 95.5487, 17.3025
0.18, -1, 19.1149, 11.9527, 12.8525, 10.6044, 95.4833, 17.2065
0.184, -1, 19.0277, 11.8977, 12.8932, 10.6098, 95.4176, 17.1102
0.188, -1, 18.9395, 11.8423, 12.9339, 10.6152, 95.3517, 17.0136
0.192, -1, 18.8506, 11.7867, 12.9746, 10.6205, 95.2857, 16.9169
0.196, -1, 18.7612, 11.7308, 13.0153, 10.6259, 95.2196, 16.82
0.2, -1, 18.6714, 11.6747, 13.056, 10.6313, 95.1535, 16.723
0.204, -1, 18.5814, 11.6186, 13.0968, 10.6367, 95.0873, 16.6259
0.208, -1, 18.4913, 11.5624, 13.1376, 10.6421, 95.0211, 16.5288
0.212, -1, 18.401, 11.5062, 13.1783, 10.6475, 94.9548, 16.4317
0.216, -1, 18.3107, 11.4499, 13.2191, 10.6529, 94.8886, 16.3345
0.22, -1, 18.2203, 11.3936, 13.2598, 10.6583, 94.8223, 16.2374
0.224, -1, 18.1299, 11.3373, 13.3006, 10.6637, 94.7561, 16.1402
0.228, -1, 18.0395, 11.2809, 13.3414, 10.6691, 94.6898, 16.043
0.232, -1, 17.949, 11.2246, 13.3822, 10.6745, 94.6235, 15.9458
0.236, -1, 17.8585, 11.1682, 13.4229, 10.6799, 94.5572, 15.8486
0.24, -1, 17.768, 11.1119, 13.4637, 10.6853, 94.4909, 15.7514
0.244, -1, 17.6775, 11.0555, 13.5045, 10.6907, 94.4246, 15.6542
0.248, -1, 17.587, 10.9992, 13.5453, 10.6961, 94.3583, 15.557
