timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.003, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.006, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.008, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.011, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.016, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.02, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.024, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.028, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.032, -1, 39.5819, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.036, -1, 39.5818, 33.7762, 11.4097, 12.8476, 115.273, -47.749
0.04, -1, 39.5816, 33.7762, 11.4096, 12.8476, 115.273, -47.749
0.044, -1, 39.581, 33.776, 11.4096, 12.8476, 115.273, -47.749
0.048, -1, 39.5799, 33.7757, 11.4095, 12.8476, 115.273, -47.749
0.052, -1, 39.5782, 33.7753, 11.4093, 12.8476, 115.273, -47.7492
0.056, -1, 39.5757, 33.7745, 11.4091, 12.8476, 115.273, -47.7495
0.06, -1, 39.5724, 33.7735, 11.4088, 12.8476, 115.273, -47.7502
0.064, -1, 39.5683, 33.772, 11.4085, 12.8476, 115.273, -47.7512
0.068, -1, 39.5632, 33.7701, 11.4083, 12.8476, 115.272, -47.753
0.072, -1, 39.557, 33.7677, 11.408, 12.8476, 115.271, -47.7556
0.076, -1, 39.5496, 33.7645, 11.4078, 12.8477, 115.27, -47.7595
0.08, -1, 39.5405, 33.7605, 11.4078, 12.8478, 115.267, -47.7649
0.084, -1, 39.5297, 33.7556, 11.4079, 12.8481, 115.265, -47.7723
0.088, -1, 39.5167, 33.7496, 11.4084, 12.8483, 115.261, -47.7821
0.092, -1, 39.5015, 33.7424, 11.4093, 12.8487, 115.256, -47.7948
0.096, -1, 39.484, 33.7339, 11.4107, 12.8493, 115.25, -47.8109
0.1, -1, 39.4638, 33.724, 11.4127, 12.85, 115.242, -47.8308
0.104, -1, 39.4409, 33.7126, 11.4155, 12.8508, 115.232, -47.855
0.108, -1, 39.415, 33.6996, 11.4192, 12.8519, 115.221, -47.8841
0.112, -1, 39.3859, 33.6848, 11.4238, 12.8531, 115.207, -47.9185
0.116, -1, 39.3534, 33.6682, 11.4293, 12.8546, 115.192, -47.9584
0.12, -1, 39.3175, 33.6496, 11.436, 12.8564, 115.174, -48.0043
0.124, -1, 39.278, 33.629, 11.4439, 12.8584, 115.153, -48.0564
0.128, -1, 39.2349, 33.6064, 11.4529, 12.8606, 115.13, -48.115
0.131, -1, 39.188, 33.5817, 11.4631, 12.8632, 115.104, -48.1801
0.136, -1, 39.1375, 33.5549, 11.4746, 12.866, 115.076, -48.2517
0.139, -1, 39.0832, 33.526, 11.4872, 12.8691, 115.044, -48.3299
0.144, -1, 39.0252, 33.4951, 11.5011, 12.8724, 115.011, -48.4145
0.148, -1, 38.9636, 33.4622, 11.5161, 12.876, 114.975, -48.5054
0.152, -1, 38.8986, 33.4274, 11.5322, 12.8798, 114.936, -48.6023
0.156, -1, 38.8303, 33.3908, 11.5493, 12.8839, 114.896, -48.7048
0.16, -1, 38.7589, 33.3524, 11.5674, 12.8882, 114.853, -48.8125
0.164, -1, 38.6845, 33.3125, 11.5863, 12.8927, 114.808, -48.9251
0.168, -1, 38.6072, 33.271, 11.6059, 12.8973, 114.761, -49.042
0.172, -1, 38.5271, 33.2281, 11.6261, 12.9022, 114.713, -49.1628
0.176, -1, 38.4446, 33.1838, 11.6468, 12.9071, 114.664, -49.2869
0.18, -1, 38.3599, 33.1384, 11.6679, 12.9121, 114.614, -49.4138
0.184, -1, 38.2735, 33.0919, 11.6893, 12.9173, 114.562, -49.5432
0.188, -1, 38.1853, 33.0446, 11.7109, 12.9225, 114.51, -49.6746
